module,ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
3,GO:0002718,regulation of cytokine production involved in immune response,8/179,126/18986,0.06349206349206349,6.7344151813425555,6.300508701674768,2.6025354125002633e-5,7.330053622974042e-4,5.324758197062367e-4,APOA1/IL18R1/APOA2/LILRB4/CD74/TNFRSF1B/SPON2/KIT,8
3,GO:0002822,regulation of adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains,10/179,206/18986,0.04854368932038835,5.148885393502196,5.841028273588764,2.669274793291224e-5,7.445736707055616e-4,5.408793660090112e-4,CD4/IL18R1/C3/LILRB4/TNFRSF1B/HAVCR2/IL7R/FCER2/CD80/IL12B,10
3,GO:0002460,adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains,14/179,400/18986,0.035,3.7123463687150844,5.348773796800007,2.7396233694237793e-5,7.541000058164502e-4,5.477995651751785e-4,CFI/CD4/IL18R1/C1RL/C3/LILRB4/CD74/CD27/TNFRSF1B/HAVCR2/IL7R/FCER2/CD80/IL12B,14
3,GO:0002367,cytokine production involved in immune response,8/179,127/18986,0.06299212598425197,6.681388290150882,6.2671350876497245,2.7554153952617623e-5,7.541000058164502e-4,5.477995651751785e-4,APOA1/IL18R1/APOA2/LILRB4/CD74/TNFRSF1B/SPON2/KIT,8
3,GO:0050900,leukocyte migration,14/179,404/18986,0.034653465346534656,3.675590464074341,5.303177312642554,3.054997853405995e-5,8.26520583239797e-4,6.004079201894351e-4,RARRES2/LGALS9/LEP/KITLG/APOD/GDF15/TNFRSF11A/PGF/CSF1/THY1/CD74/KIT/HMOX1/DDT,14
3,GO:0002763,positive regulation of myeloid leukocyte differentiation,6/179,64/18986,0.09375,9.943784916201118,6.991975026504685,3.077015614956845e-5,8.26520583239797e-4,6.004079201894351e-4,CD4/KITLG/TNFRSF11A/CSF1/CD74/IL12B,6
3,GO:0006631,fatty acid metabolic process,14/179,405/18986,0.0345679012345679,3.66651493206428,5.2918685027547765,3.13865995171589e-5,8.353442678832841e-4,6.068176941897838e-4,CES1/ADIPOQ/LEP/ADH4/LPL/TNFRSF1A/GSTA1/C3/PTGDS/GDF15/GIP/PTGR1/CD74/FABP1,14
3,GO:0002761,regulation of myeloid leukocyte differentiation,8/179,130/18986,0.06153846153846154,6.527202406532016,6.169135568749978,3.259914646999049e-5,8.597283991767492e-4,6.245310165829757e-4,ADIPOQ/CD4/KITLG/LILRB4/TNFRSF11A/CSF1/CD74/IL12B,8
3,GO:0032757,positive regulation of interleukin-8 production,6/179,65/18986,0.09230769230769231,9.790803609798024,6.926044335458792,3.363641493881511e-5,8.712432119419878e-4,6.328957021382316e-4,ADIPOQ/LGALS9/LEP/APOA2/CHI3L1/CD74,6
3,GO:0051057,positive regulation of small GTPase mediated signal transduction,6/179,65/18986,0.09230769230769231,9.790803609798024,6.926044335458792,3.363641493881511e-5,8.712432119419878e-4,6.328957021382316e-4,APOA1/RTN4R/KITLG/ITGAV/CSF1/ADGRG1,6
3,GO:0015918,sterol transport,8/179,132/18986,0.06060606060606061,6.42830540037244,6.105504301828234,3.637427347343355e-5,9.261288041533685e-4,6.727661481213533e-4,PLTP/APOA1/CES1/FURIN/ADIPOQ/APOA2/NPC2/PON1,8
3,GO:0032623,interleukin-2 production,6/179,66/18986,0.09090909090909091,9.64245810055866,6.861526396222939,3.67131377034255e-5,9.261288041533685e-4,6.727661481213533e-4,CD4/LILRB4/VSIG4/HAVCR2/CD80/LAG3,6
3,GO:0032663,regulation of interleukin-2 production,6/179,66/18986,0.09090909090909091,9.64245810055866,6.861526396222939,3.67131377034255e-5,9.261288041533685e-4,6.727661481213533e-4,CD4/LILRB4/VSIG4/HAVCR2/CD80/LAG3,6
3,GO:0019915,lipid storage,7/179,97/18986,0.07216494845360824,7.654322409721821,6.409988891658497,3.703641405948796e-5,9.262296309187463e-4,6.728393915344364e-4,APOA1/CES1/LEP/LPL/NPC2/C3/ITGAV,7
3,GO:0001910,regulation of leukocyte mediated cytotoxicity,7/179,98/18986,0.07142857142857142,7.576217079010375,6.367489616977514,3.95716332307493e-5,9.752790637726647e-4,7.08470286352392e-4,LGALS9/LEP/HAVCR2/IL7R/KLRB1/LAG3/IL12B,7
3,GO:0006959,humoral immune response,12/179,310/18986,0.03870967741935484,4.105820868624978,5.378824470273143,3.967008946059098e-5,9.752790637726647e-4,7.08470286352392e-4,CFI/CFH/RARRES2/CFB/ADM/C1RL/C3/LGALS4/RNASE6/VSIG4/FCER2/SPON2,12
3,GO:0006956,complement activation,6/179,67/18986,0.08955223880597014,9.498540815475693,6.798368965701763,4.001161206492872e-5,9.754091310954472e-4,7.08564770933103e-4,CFI/CFH/CFB/C1RL/C3/VSIG4,6
3,GO:0043410,positive regulation of MAPK cascade,15/179,472/18986,0.03177966101694915,3.3707745478647855,5.088422679872575,4.2886391035919406e-05,0.0010367785032933516,7.5314521801676e-4,GCG/IGFBP4/LGALS9/HGF/LEP/CD4/NTRK3/CHI3L1/GDF15/TNFRSF11A/CD74/CD27/HAVCR2/KIT/DDT,15
3,GO:0044058,regulation of digestive system process,5/179,43/18986,0.11627906976744186,12.333376640249448,7.258405449832913,5.071890282243554e-5,0.0012159961742800455,8.833340013094037e-4,APOA1/PRAP1/LEP/OXT/APOA2,5
3,GO:0042102,positive regulation of T cell proliferation,7/179,104/18986,0.0673076923076923,7.139127632144392,6.12451058235288,5.795294813373506e-5,0.0013780451027538148,0.0010010509246224123,LGALS9/LEP/IGFBP2/KITLG/HAVCR2/CD80/IL12B,7
3,GO:0019058,viral life cycle,12/179,323/18986,0.03715170278637771,3.9405711123026097,5.200130870490222,5.894571253295595e-5,0.0013902561955943513,0.0010099214077105504,FURIN/LGALS9/SCARB2/CD4/MRC1/ITGAV/IL32/CD74/TNFRSF4/SIGLEC1/CD80/CTSB,12
3,GO:0032722,positive regulation of chemokine production,6/179,73/18986,0.0821917808219178,8.717838830642075,6.445386688712037,6.513864419677069e-5,0.0015239290872163852,0.0011070251755682082,ADIPOQ/LGALS9/LPL/CD74/HAVCR2/HMOX1,6
3,GO:0007586,digestion,8/179,144/18986,0.05555555555555555,5.892613283674737,5.749508102990952,6.753210657547002e-5,0.0015672851294035082,0.0011385202304344505,APOA1/PRAP1/LEP/OXT/APOA2/MUC13/FABP1/HEPH,8
3,GO:0034114,regulation of heterotypic cell-cell adhesion,4/179,24/18986,0.16666666666666666,17.677839851024206,7.975821078532865,7.004832303840179e-5,0.0015941240740556333,0.0011580167986572245,APOA1/ADIPOQ/IL1RN/SKAP1,4
3,GO:0098856,intestinal lipid absorption,4/179,24/18986,0.16666666666666666,17.677839851024206,7.975821078532865,7.004832303840179e-5,0.0015941240740556333,0.0011580167986572245,APOA1/PRAP1/LEP/APOA2,4
3,GO:0042130,negative regulation of T cell proliferation,6/179,74/18986,0.08108108108108109,8.600030197795562,6.390495040145554,7.033708427408516e-5,0.0015941240740556333,0.0011580167986572245,LGALS9/MAD1L1/LILRB4/VSIG4/HAVCR2/CD80,6
3,GO:0008203,cholesterol metabolic process,8/179,148/18986,0.05405405405405406,5.733353465197042,5.639679866350818,8.188849860088593e-5,0.0018412783456660902,0.0013375566494397621,APOA1/CES1/LEP/APOF/APOA2/NPC2/LEPR/PON1,8
3,GO:1903902,positive regulation of viral life cycle,4/179,25/18986,0.16,16.97072625698324,7.795358720216487,8.277915395931065e-5,0.0018412783456660902,0.0013375566494397621,FURIN/LGALS9/CD4/CD74,4
3,GO:0042113,B cell activation,11/179,284/18986,0.03873239436619718,4.108230387914077,5.148733339910881,8.3146316195194e-5,0.0018412783456660902,0.0013375566494397621,C3/MZB1/CD74/CD27/CD79B/IL7R/TNFRSF4/CD22/TNFRSF13B/FCRL1/KIT,11
3,GO:0097191,extrinsic apoptotic signaling pathway,10/179,236/18986,0.0423728813559322,4.494366063819714,5.269820449066497,8.395081106285072e-5,0.0018450098704040146,0.0013402673345121782,HGF/KITLG/TNFRSF1A/NOS3/KRT18/TNFRSF10A/ITGAV/CD27/TNFRSF1B/HMOX1,10
3,GO:0006909,phagocytosis,10/179,239/18986,0.04184100418410042,4.437951427035366,5.218009328925112,9.320430936939204e-5,0.002032975199102303,0.001476810663692306,APOA1/ADIPOQ/LEP/COLEC12/APOA2/C3/LEPR/ITGAV/MET/SPON2,10
3,GO:0045657,positive regulation of monocyte differentiation,3/179,10/18986,0.3,31.820111731843575,9.510512636214035,9.419107989449242e-5,0.0020391665878650932,0.0014813082635410358,CD4/CSF1/CD74,3
3,GO:0006693,prostaglandin metabolic process,5/179,49/18986,0.10204081632653061,10.823167255729109,6.71685608255655,9.598759275297961e-5,0.002062666715380695,0.0014983794205962197,TNFRSF1A/GSTA1/PTGDS/PTGR1/CD74,5
3,GO:0001776,leukocyte homeostasis,7/179,113/18986,0.061946902654867256,6.570524546398379,5.794112162368871,9.813777969611912e-5,0.0020933654330767765,0.0015206798370869235,SIT1/LGALS9/KITLG/CSF1/CD74/IL7R/TNFRSF13B,7
3,GO:0042267,natural killer cell mediated cytotoxicity,6/179,79/18986,0.0759493670886076,8.055724489074324,6.130782395790982,1.0151543223374626e-4,0.0021496078022634887,0.001561535884225586,LGALS9/LEP/HAVCR2/KLRB1/LAG3/IL12B,6
3,GO:0006692,prostanoid metabolic process,5/179,50/18986,0.1,10.606703910614526,6.635709103066119,1.0584470843431764e-4,0.0021989320026391977,0.0015973663779399751,TNFRSF1A/GSTA1/PTGDS/PTGR1/CD74,5
3,GO:0071827,plasma lipoprotein particle organization,5/179,50/18986,0.1,10.606703910614526,6.635709103066119,1.0584470843431764e-4,0.0021989320026391977,0.0015973663779399751,PLTP/APOA1/FURIN/LPL/APOA2,5
3,GO:0015850,organic hydroxy compound transport,11/179,292/18986,0.03767123287671233,3.9956761307109514,5.0327715774399016,1.0635539459707766e-4,0.0021989320026391977,0.0015973663779399751,PLTP/APOA1/CES1/FURIN/ADIPOQ/OXT/APOA2/NPC2/PON1/GAL/REN,11
3,GO:0009743,response to carbohydrate,10/179,243/18986,0.0411522633744856,4.364898728647953,5.150242000286388,1.0687673642610372e-4,0.0021989320026391977,0.0015973663779399751,ADIPOQ/GCG/SERPINF1/COL6A3/LEP/COLEC12/LPL/OXT/APOA2/GIP,10
3,GO:0010466,negative regulation of peptidase activity,9/179,198/18986,0.045454545454545456,4.82122905027933,5.273117443090799,1.1223433413052034e-4,0.0022929000233284473,0.0016656274049614654,CST3/SERPINF1/COL6A3/FETUB/SERPINA6/WFIKKN2/CSTB/FABP1/TIMP4,9
3,GO:0052547,regulation of peptidase activity,12/179,346/18986,0.03468208092485549,3.678625633739141,4.9056794848459875,1.1318077865051833e-4,0.0022960660060500258,0.001667927264323428,FURIN/CST3/SERPINF1/LGALS9/COL6A3/FETUB/SERPINA6/WFIKKN2/CSTB/FABP1/PSME2/TIMP4,12
3,GO:0008037,cell recognition,8/179,156/18986,0.05128205128205128,5.439335338776679,5.431592064456851,1.1825157597403395e-4,0.002382276540976892,0.001730553034356842,IGSF9/COLEC12/CD5/FETUB/HAVCR2/FOLR2/NCAM2/SPON2,8
3,GO:0031348,negative regulation of defense response,11/179,297/18986,0.037037037037037035,3.928408855783157,4.962367891691004,1.2350566971191463e-4,0.0024709651574776853,0.0017949789529092782,APOA1/FURIN/ADIPOQ/LGALS9/HGF/TNFRSF1A/VSIG4/TNFRSF1B/HAVCR2/SIGLEC10/IL12B,11
3,GO:0034115,negative regulation of heterotypic cell-cell adhesion,3/179,11/18986,0.2727272727272727,28.92737430167598,9.038734088337254,1.2861484966177137e-4,0.0025381746861823044,0.0018438018548003314,APOA1/ADIPOQ/IL1RN,3
3,GO:0070587,regulation of cell-cell adhesion involved in gastrulation,3/179,11/18986,0.2727272727272727,28.92737430167598,9.038734088337254,1.2861484966177137e-4,0.0025381746861823044,0.0018438018548003314,APOA1/ADIPOQ/IL1RN,3
3,GO:0016125,sterol metabolic process,8/179,159/18986,0.050314465408805034,5.336706370120516,5.35722729289592,1.34937338374724e-4,0.002625801212808363,0.0019074562412388987,APOA1/CES1/LEP/APOF/APOA2/NPC2/LEPR/PON1,8
3,GO:1902652,secondary alcohol metabolic process,8/179,159/18986,0.050314465408805034,5.336706370120516,5.35722729289592,1.34937338374724e-4,0.002625801212808363,0.0019074562412388987,APOA1/CES1/LEP/APOF/APOA2/NPC2/LEPR/PON1,8
3,GO:0033209,tumor necrosis factor-mediated signaling pathway,7/179,119/18986,0.058823529411764705,6.239237594479132,5.593223886136476,1.3577048670156995e-4,0.002625801212808363,0.0019074562412388987,APOA1/ADIPOQ/TNFRSF1A/KRT18/TNFRSF11A/TNFRSF1B/TNFRSF4,7
3,GO:0071825,protein-lipid complex organization,5/179,53/18986,0.09433962264150944,10.006324443975968,6.405423654338781,1.401248492051449e-4,0.0026920674671796385,0.0019555939219846642,PLTP/APOA1/FURIN/LPL/APOA2,5
3,GO:0002228,natural killer cell mediated immunity,6/179,84/18986,0.07142857142857142,7.576217079010375,5.892966310275654,1.4279715372395398e-4,0.0027253588352183587,0.001979777712987229,LGALS9/LEP/HAVCR2/KLRB1/LAG3/IL12B,6
3,GO:0051346,negative regulation of hydrolase activity,10/179,252/18986,0.03968253968253968,4.209009488339097,5.002971946060038,1.4395956002785206e-4,0.0027295861675869205,0.0019828485667406936,CST3/SERPINF1/COL6A3/APOA2/FETUB/SERPINA6/WFIKKN2/CSTB/FABP1/TIMP4,10
3,GO:0045861,negative regulation of proteolysis,11/179,303/18986,0.036303630363036306,3.850618581411214,4.879880342796627,1.4714925324077835e-4,0.002771947945788948,0.002013621360136967,FURIN/CST3/SERPINF1/COL6A3/PLAT/FETUB/SERPINA6/WFIKKN2/CSTB/FABP1/TIMP4,11
3,GO:0051347,positive regulation of transferase activity,11/179,304/18986,0.03618421052631579,3.8379520729197294,4.866337421976445,1.5144206941741076e-4,0.0028344093121284424,0.0020589950626394315,APOA1/ADIPOQ/GCG/LEP/CD4/APOA2/NTRK3/TNFRSF10A/CHI3L1/TNFRSF11A/CD74,11
3,GO:0010874,regulation of cholesterol efflux,5/179,54/18986,0.09259259259259259,9.821022139457893,6.332709965682172,1.532540566547399e-4,0.002849936015098721,0.002070274098669293,PLTP/APOA1/CES1/ADIPOQ/PON1,5
3,GO:0031330,negative regulation of cellular catabolic process,7/179,122/18986,0.05737704918032787,6.085813719205055,5.497883392273805,0.00015855730442598942,0.0029112325325303503,0.002114801621990878,FURIN/HGF/LEP/LEPR/MET/TIMP4/HMOX1,7
3,GO:0045582,positive regulation of T cell differentiation,7/179,122/18986,0.05737704918032787,6.085813719205055,5.497883392273805,0.00015855730442598942,0.0029112325325303503,0.002114801621990878,LGALS9/LILRB4/CD74/CD27/IL7R/CD80/IL12B,7
3,GO:0006935,chemotaxis,14/179,472/18986,0.029661016949152543,3.1460562446738,4.606107011531466,1.600548467783566e-4,0.002920245978012657,0.002121349243629725,APOA1/RARRES2/LGALS9/HGF/NTRK3/TNFRSF11A/PGF/ITGAV/CSF1/CD74/MET/AMOT/KIT/DDT,14
3,GO:0042330,taxis,14/179,474/18986,0.029535864978902954,3.132781745751126,4.587551672144207,1.6720631540525436e-4,0.002994150215455307,0.002175035371230075,APOA1/RARRES2/LGALS9/HGF/NTRK3/TNFRSF11A/PGF/ITGAV/CSF1/CD74/MET/AMOT/KIT/DDT,14
3,GO:0010883,regulation of lipid storage,5/179,55/18986,0.09090909090909091,9.64245810055866,6.261867930938807,1.673032795158556e-4,0.002994150215455307,0.002175035371230075,CES1/LEP/LPL/C3/ITGAV,5
3,GO:0031589,cell-substrate adhesion,12/179,361/18986,0.0332409972299169,3.5257741531128617,4.726852264851867,1.6808649763791112e-4,0.002994150215455307,0.002175035371230075,APOA1/APOD/SKAP1/EPHA1/TACSTD2/ITGAV/CSF1/THY1/ITGA11/SIGLEC1/DMP1/ITGBL1,12
3,GO:0034370,triglyceride-rich lipoprotein particle remodeling,3/179,12/18986,0.25,26.51675977653631,8.625986098225683,1.7029809912103607e-4,0.002994150215455307,0.002175035371230075,APOA1/LPL/APOA2,3
3,GO:0034372,very-low-density lipoprotein particle remodeling,3/179,12/18986,0.25,26.51675977653631,8.625986098225683,1.7029809912103607e-4,0.002994150215455307,0.002175035371230075,APOA1/LPL/APOA2,3
3,GO:0070586,cell-cell adhesion involved in gastrulation,3/179,12/18986,0.25,26.51675977653631,8.625986098225683,1.7029809912103607e-4,0.002994150215455307,0.002175035371230075,APOA1/ADIPOQ/IL1RN,3
3,GO:0032703,negative regulation of interleukin-2 production,4/179,30/18986,0.13333333333333333,14.142271880819367,7.027968053875215,1.7285675056951253e-4,0.00302082791206118,0.0021944148043130255,LILRB4/VSIG4/HAVCR2/LAG3,4
3,GO:0002825,regulation of T-helper 1 type immune response,4/179,31/18986,0.12903225806451613,13.686069562083256,6.896330952215185,1.9701177901298482e-4,0.003422342340818377,0.0024860862375291246,IL18R1/HAVCR2/CD80/IL12B,4
3,GO:0001906,cell killing,10/179,264/18986,0.03787878787878788,4.017690875232775,4.816955637148057,0.00020982865518580588,0.0036232912422263265,0.002632061201014933,CFH/LGALS9/LEP/C3/HAVCR2/IL7R/FCER2/KLRB1/LAG3/IL12B,10
