protein,metabolite,n_pair,r,p,q,r_s,p_s,q_s,sign,abs_r,metabolite_label
VMO1,fid_23622,10318,-0.2876210675770189,1.014981092185373e-195,1.3451031379861682e-193,-0.33185559948703086,1.0115708691396129e-263,2.4806219372414995e-261,-,0.2876210675770189,Free Cholesterol to Total Lipids in Medium LDL percentage
APOM,fid_23544,10312,0.28768824467417525,1.058415799945994e-195,1.4024096057296432e-193,0.2823213130235262,3.071079742072647e-188,3.1222443852961426e-186,+,0.28768824467417525,Concentration of Small LDL Particles
SMOC1,fid_23627,10438,-0.28600248620487495,1.1193356483439506e-195,1.4828589496309293e-193,-0.3118708232374066,3.2797326659835764e-234,5.688937052156407e-232,-,0.28600248620487495,Free Cholesterol to Total Lipids in Small LDL percentage
CD300LG,fid_23568,10349,0.28717104495538903,1.1448090769032825e-195,1.5163293103098916e-193,0.28137804758719664,1.3133582402446051e-187,1.326346035691009e-185,+,0.28717104495538903,Cholesterol in Medium HDL
TCTN3,fid_23448,9910,0.2931528008788828,1.2836323660913114e-195,1.699585763352994e-193,0.2801996945097706,3.452682146431199e-178,3.0974427321466537e-176,+,0.2931528008788828,Saturated Fatty Acids
DNAJB1,fid_23485,10318,0.2875391080456239,1.323425622897457e-195,1.7516364808812284e-193,0.2937570446104359,1.8556947786827053e-204,2.2764617624882813e-202,+,0.2875391080456239,Cholesteryl Esters in Chylomicrons and Extremely Large VLDL
DEFB4A_DEFB4B,fid_23640,10211,-0.28897075842024683,1.3532952642750187e-195,1.790845149657262e-193,-0.28136231441996906,4.114961612589293e-185,4.021187118160617e-183,-,0.28897075842024683,Cholesterol to Total Lipids in Medium HDL percentage
P4HB,fid_23442,10284,0.2879816490399511,1.3768698190037265e-195,1.8213795524464291e-193,0.277302133867378,6.379555370117064e-181,5.936093897169768e-179,+,0.2879816490399511,Total Fatty Acids
IL16,fid_23481,10432,0.2860064502015695,1.427810326402977e-195,1.88807940849364e-193,0.3141884210401888,1.0066842731323456e-237,1.8212577540668546e-235,+,0.2860064502015695,Concentration of Chylomicrons and Extremely Large VLDL Particles
FABP4,fid_23642,10431,-0.2859881599323259,1.5814418244418937e-195,2.090096347844689e-193,-0.286535684846669,2.6605002930067243e-196,2.9758474669712697e-194,-,0.2859881599323259,Free Cholesterol to Total Lipids in Medium HDL percentage
FAM20A,fid_23447,9910,0.2930599268058366,1.7247373468809504e-195,2.278653855451664e-193,0.2955844005068013,5.402802590541901e-199,6.214136537715457e-197,+,0.2930599268058366,Monounsaturated Fatty Acids
RARRES2,fid_23585,10256,-0.2882600116955823,1.8878148848921172e-195,2.493200225415306e-193,-0.31681963068407065,7.404214882585836e-238,1.342882508185348e-235,-,0.2882600116955823,Cholesterol to Total Lipids in Very Large VLDL percentage
LDLR,fid_23592,10337,0.28715279303454344,2.036675176928744e-195,2.6893091146562357e-193,0.2572172936431254,7.330198765831822e-156,4.866031172144361e-154,+,0.28715279303454344,Free Cholesterol to Total Lipids in Large VLDL percentage
SLC39A5,fid_23585,10209,-0.28886576300365113,2.0709983938202405e-195,2.733639006128045e-193,-0.326338300916763,6.349595982260857e-252,1.364454501027745e-249,-,0.28886576300365113,Cholesterol to Total Lipids in Very Large VLDL percentage
GHR,fid_23589,9675,0.2963750649347347,2.111254689437302e-195,2.786270474794349e-193,0.32219932074815427,1.5068125055169222e-232,2.562979260231047e-230,+,0.2963750649347347,Phospholipids to Total Lipids in Large VLDL percentage
ADAMTSL2,fid_23613,9921,0.29280487383850684,2.3682301427006685e-195,3.124273772106941e-193,0.2501414028746773,2.157320209186108e-141,1.1672285874898137e-139,+,0.29280487383850684,Triglycerides to Total Lipids in IDL percentage
PCBD1,fid_23454,9665,0.296483851324872,2.376182743104547e-195,3.134197095624417e-193,0.30593766803511335,1.6571014776993201e-208,2.132019086458305e-206,+,0.296483851324872,Monounsaturated Fatty Acids to Total Fatty Acids percentage
SKAP1,fid_23558,10256,-0.28816488434275567,2.566005252006646e-195,3.3839606895311485e-193,-0.2853699333764671,2.007247887939166e-191,2.117595605935787e-189,-,0.28816488434275567,Concentration of Large HDL Particles
BAIAP2,fid_23453,10117,-0.2900376912663292,2.6955971224596606e-195,3.554218055884868e-193,-0.28625100122721275,4.60792332546591e-190,4.78494936539289e-188,-,0.2900376912663292,Polyunsaturated Fatty Acids to Total Fatty Acids percentage
HGF,fid_23457,10424,-0.2859150814963163,2.70406829897435e-195,3.5647417457663546e-193,-0.30066781332069326,9.579246164196853e-217,1.358012075954208e-214,-,0.2859150814963163,Docosahexaenoic Acid to Total Fatty Acids percentage
CPM,fid_23588,10280,0.28782147522642,2.7470044491358163e-195,3.6206881695059285e-193,0.3184242392585591,6.099720839019979e-241,1.1513333815096978e-238,+,0.28782147522642,Triglycerides to Total Lipids in Very Large VLDL percentage
