dataset,feature,beta_sex,p_sex,q_sex,p_age,q_age,R2
metabolome,fid_23428,2.1073203694865516e-6,0.015013724828241766,0.016764203956198202,2.5203333862634346e-24,6.747989389027905e-24,0.011484793028918028
metabolome,fid_23551,-7.358579473031805e-5,0,0,7.331196453895358e-5,8.490548451255554e-5,0.1618059736339047
metabolome,fid_23488,9.296142124274902e-7,3.337655536137877e-104,9.444048051117401e-104,1.6424272554770261e-9,2.2106183060204296e-9,0.04869657969029506
metabolome,fid_23516,-4.346850898466059e-6,4.168249281365268e-58,7.688104230073717e-58,4.988954479504832e-35,3.357431528099198e-34,0.04137689707164127
metabolome,fid_23478,0.01276647474280412,0,0,4.889269698271382e-27,1.9324256426501177e-26,0.2623211045099276
metabolome,fid_23443,-0.040532001614446395,1.545217005587738e-149,6.107286260180108e-149,2.6983347398594763e-6,3.3097800503695053e-6,0.0675013420242121
metabolome,fid_23450,-0.037725529029392454,4.869743504343685e-120,1.4787391860750946e-119,1.0058880798090764e-64,4.174435531207667e-63,0.0786339670273355
metabolome,fid_23457,-0.23733749838664983,6.079326434086742e-73,1.2510349438740486e-72,7.104364555326503e-25,2.081160910913293e-24,0.041979153256971435
metabolome,fid_23486,0.00732881277070893,6.353334533216822e-88,1.42520747637026e-87,2.3444450868935916e-6,2.8899347853292294e-6,0.04066563956192171
metabolome,fid_23422,-0.0622824366290559,0,0,7.388658678133737e-14,1.1718318540479622e-13,0.19915710385166252
metabolome,fid_23528,-0.028605944301076068,1.4010473672910182e-147,5.36708914546867e-147,6.7352836990116505e-25,1.996530525064168e-24,0.07604097349260486
metabolome,fid_23421,-0.035921265196917324,7.052732380646164e-52,1.2454825267949609e-51,8.933231349516527e-26,2.9268086921442308e-25,0.03518837773956329
metabolome,fid_23563,-0.03200012322396755,0,0,2.4579856918336166e-4,2.7445669832581635e-4,0.19411839807207765
metabolome,fid_23535,-0.029231692247392492,4.960513615474674e-83,1.0740590350027772e-82,1.3494061731093821e-25,4.307719706464566e-25,0.048865975463856515
metabolome,fid_23500,0.009562619056987996,3.468990627226735e-91,8.2264634874234e-91,6.27741297808571e-11,9.087650183391521e-11,0.043495823588496796
metabolome,fid_23570,-0.01924827138642987,0,0,8.085549395814244e-15,1.333312450038243e-14,0.1689712139004258
metabolome,fid_23542,-0.004964854530083655,4.965355716973564e-15,6.5764551783320085e-15,3.4974761510591292e-25,1.0885894520171539e-24,0.01818283398036491
