name,v_01,v_02,v_03,v_04,v_05,metabolite_label
fid_23553,-0,-0,-0.20230901092925693,-0,-0,Phospholipids in Very Large HDL
fid_23490,0.08592525490828558,0,0,0.0130176808869537,0,Phospholipids in Very Large VLDL
fid_23518,0,0,0,0,0,Phospholipids in Very Small VLDL
fid_23579,0,0,0,0,0,Phospholipids to Total Lipids in Chylomicrons and Extremely Large VLDL percentage
fid_23609,0,-0,0,-0,-0,Phospholipids to Total Lipids in IDL percentage
fid_23634,0,0,0.1986198722016526,0,0,Phospholipids to Total Lipids in Large HDL percentage
fid_23614,-0,-0,-0,-0,0,Phospholipids to Total Lipids in Large LDL percentage
fid_23589,0,0,0.01208782129510445,0.17397139656521107,0,Phospholipids to Total Lipids in Large VLDL percentage
fid_23639,0,0.0551397277427101,0.06181951291118159,0,0,Phospholipids to Total Lipids in Medium HDL percentage
fid_23619,-0,-0,-0,-0,-0,Phospholipids to Total Lipids in Medium LDL percentage
fid_23594,-0,-0,-0,-0,-0,Phospholipids to Total Lipids in Medium VLDL percentage
fid_23644,0,0,-0,-0,-0,Phospholipids to Total Lipids in Small HDL percentage
fid_23624,-0,-0,-0,-0.16724520262533565,-0,Phospholipids to Total Lipids in Small LDL percentage
fid_23599,-0,-0,-0,-0,-0,Phospholipids to Total Lipids in Small VLDL percentage
fid_23629,-0,-0,-0,-0,-0,Phospholipids to Total Lipids in Very Large HDL percentage
fid_23584,0,0,0,0,0,Phospholipids to Total Lipids in Very Large VLDL percentage
fid_23604,0,0,0,0,0,Phospholipids to Total Lipids in Very Small VLDL percentage
fid_23446,0,0,0,0,-0,Polyunsaturated Fatty Acids
fid_23458,-0.4189528300558806,0.20796149965559857,-0,-0,-0.20069041290719009,Polyunsaturated Fatty Acids to Monounsaturated Fatty Acids ratio
fid_23453,-0.27173664418929283,0,0,0,-0.2881873077935574,Polyunsaturated Fatty Acids to Total Fatty Acids percentage
fid_23472,0,0,0,0,0,Pyruvate
fid_23402,0,0,0,0,-0,"Remnant Cholesterol (Non-HDL, Non-LDL -Cholesterol)"
fid_23448,0,0.08975925167316022,0,0,0,Saturated Fatty Acids
fid_23455,0,0,0,0,0,Saturated Fatty Acids to Total Fatty Acids percentage
fid_23438,-0,0,-0,0,-0,Sphingomyelins
fid_23400,0,0,-0,0,-0,Total Cholesterol
fid_23401,0,0,0,0,-0,Total Cholesterol Minus HDL-C
fid_23436,0,0,-0,0,-0,Total Cholines
fid_23464,0,0,0,0,0,Total Concentration of Branched-Chain Amino Acids (Leucine + Isoleucine + Valine)
fid_23427,-0,0,-0,0,-0,Total Concentration of Lipoprotein Particles
fid_23415,0,0,-0,0,-0,Total Esterified Cholesterol
fid_23442,0,0,0,0.3714692575633023,0.1731247535967017,Total Fatty Acids
fid_23419,0,0,-0,0,-0,Total Free Cholesterol
fid_23482,0.02886287207132182,0.00233041613901046,0,0.2688366932935696,0.1295691844287827,Total Lipids in Chylomicrons and Extremely Large VLDL
fid_23426,-0,-0,-0,-0,-0,Total Lipids in HDL
fid_23524,0,0,-0,0,-0,Total Lipids in IDL
fid_23425,0,0,0,0,-0,Total Lipids in LDL
fid_23559,-0,-0,-0.2313264572414752,-0,-0,Total Lipids in Large HDL
fid_23531,0,0,-0,0,-0,Total Lipids in Large LDL
fid_23496,0,0.2942789979057218,-0,-0,0.20936753827060312,Total Lipids in Large VLDL
fid_23423,0,0,0,0,-0,Total Lipids in Lipoprotein Particles
fid_23566,-0,-0,-0,-0,-0,Total Lipids in Medium HDL
fid_23538,0,0,0,0,0,Total Lipids in Medium LDL
fid_23503,0,0,0,0.2553779583286907,0,Total Lipids in Medium VLDL
fid_23573,0,0,0,0.05988405981259227,0,Total Lipids in Small HDL
fid_23545,0,0,0,0,0,Total Lipids in Small LDL
fid_23510,0,0.01984219718478969,0,0.2566230019713187,0.05457197995721314,Total Lipids in Small VLDL
fid_23424,0,0.23895201572764263,-0,-0,0.10900222026838846,Total Lipids in VLDL
fid_23552,-0,-0,-0.20910400205672264,-0,-0,Total Lipids in Very Large HDL
fid_23489,0.13915143422769757,0,0,0,0,Total Lipids in Very Large VLDL
fid_23517,0,0,0,0,0,Total Lipids in Very Small VLDL
fid_23411,0,0,-0,0,-0,Total Phospholipids in Lipoprotein Particles
fid_23407,0.16420438148209085,0,0,0,0.01064687418960539,Total Triglycerides
fid_23487,0,0.238516114191372,0,-0,0.129269210623986,Triglycerides in Chylomicrons and Extremely Large VLDL
fid_23410,0,0.13926176769529963,0,0,0,Triglycerides in HDL
fid_23529,0,0.13853290189391132,0,0,0,Triglycerides in IDL
fid_23409,3.594124916465904e-4,0.31169882217055717,-0,-0,0.2743029081903044,Triglycerides in LDL
fid_23564,0,0,0,0,0,Triglycerides in Large HDL
fid_23536,0,0.22102454999060905,0,0,0.11441263273518376,Triglycerides in Large LDL
fid_23501,0,0.2573371291803339,0,-0,0.1428539146366081,Triglycerides in Large VLDL
fid_23571,0,0.12549570542936697,0,0,0,Triglycerides in Medium HDL
fid_23543,0.08769211834482651,0,0,0.02145384766060384,0,Triglycerides in Medium LDL
fid_23508,0,0.24098692530613824,0,-0,0.10795547105990916,Triglycerides in Medium VLDL
fid_23578,0.4088147814475673,-0.04501749387267968,-0,-0,0.4130910454317144,Triglycerides in Small HDL
fid_23550,0.13920852195029393,0,0,0,0,Triglycerides in Small LDL
fid_23515,0.0724521108061349,0,0,0.07632557091083549,0,Triglycerides in Small VLDL
fid_23408,0.115050820161117,0,0,0,0,Triglycerides in VLDL
fid_23557,0,0,0,0.03642682415093327,0,Triglycerides in Very Large HDL
fid_23494,0.1783713071023617,0,0,0,0.04309240488525126,Triglycerides in Very Large VLDL
fid_23522,0,0.2803047528330334,-0,-0,0.19955088742950697,Triglycerides in Very Small VLDL
fid_23435,0.2122687169391548,0,0,0,0.11907840441085964,Triglycerides to Phosphoglycerides ratio
fid_23583,0,0,0,0,-0,Triglycerides to Total Lipids in Chylomicrons and Extremely Large VLDL percentage
fid_23613,0,0,0.13065259293995335,0,0,Triglycerides to Total Lipids in IDL percentage
fid_23638,0,0.22649168145201595,0,-0,0.1452543208479913,Triglycerides to Total Lipids in Large HDL percentage
fid_23618,0,0,0.05547064490130198,0,0,Triglycerides to Total Lipids in Large LDL percentage
fid_23593,-0,-0,-0,-0,-0,Triglycerides to Total Lipids in Large VLDL percentage
fid_23643,0.0885485194491494,0,0,0,0,Triglycerides to Total Lipids in Medium HDL percentage
fid_23623,0,0,0,0,0,Triglycerides to Total Lipids in Medium LDL percentage
fid_23598,0,0,0.02667335340871081,0,0,Triglycerides to Total Lipids in Medium VLDL percentage
fid_23648,0.17339789543902034,0,0,0,0.06086358231163965,Triglycerides to Total Lipids in Small HDL percentage
fid_23628,0,0.00333548678265223,0.02757078331359579,0.06308254074286399,0,Triglycerides to Total Lipids in Small LDL percentage
fid_23603,0,0,0,0,0,Triglycerides to Total Lipids in Small VLDL percentage
fid_23633,0,0.2051360846469514,0,0,0.10174283160827743,Triglycerides to Total Lipids in Very Large HDL percentage
fid_23588,0,0,0,0,0,Triglycerides to Total Lipids in Very Large VLDL percentage
fid_23608,0,0,0.14728823564178806,0,0,Triglycerides to Total Lipids in Very Small VLDL percentage
fid_23469,0,0,0,0,0,Tyrosine
fid_23403,0,0,0,0.16924537310069282,0,VLDL Cholesterol
fid_23467,0,0,0,0,0,Valine
