protein,metabolite,metabolite_label,r,q,r_s,q_s,sign,abs_r
IL1RN,fid_23550,Triglycerides in Small LDL,0.2862998557120409,8.115456190231754e-189,0.32065346941238204,2.2800704255289615e-239,+,0.2862998557120409
PAMR1,fid_23407,Total Triglycerides,0.2862899181568764,8.373833457441024e-189,0.28796161639271817,3.454151568708902e-191,+,0.2862899181568764
IGFBP1,fid_23454,Monounsaturated Fatty Acids to Total Fatty Acids percentage,-0.28628713663025374,8.446575780079905e-189,-0.2934206588065156,8.393756368245027e-199,-,0.28628713663025374
CES1,fid_23561,Cholesterol in Large HDL,-0.28627614002802504,8.744797012035144e-189,-0.314598330078318,5.673481494552999e-230,-,0.28627614002802504
GSTA1,fid_23508,Triglycerides in Medium VLDL,0.286257670972888,9.270590349040047e-189,0.29690298357094824,9.500258070963581e-204,+,0.286257670972888
VMO1,fid_23488,Concentration of Very Large VLDL Particles,0.286248132925533,9.55358506388843e-189,0.32394719331891086,1.4381376366670462e-244,+,0.286248132925533
LEPR,fid_23558,Concentration of Large HDL Particles,0.28623729243356155,9.885942951873543e-189,0.29814857542129974,1.5499693975381299e-205,+,0.28623729243356155
MZB1,fid_23479,Albumin,-0.2862328514425651,1.0024401590249775e-188,-0.28490147558730383,5.399695897417285e-187,-,0.2862328514425651
OXT,fid_23552,Total Lipids in Very Large HDL,-0.28622239136512956,1.0360615060802925e-188,-0.2920373579234443,7.392711912878504e-197,-,0.28622239136512956
GPD1,fid_23482,Total Lipids in Chylomicrons and Extremely Large VLDL,0.2862185540324392,1.048562879378269e-188,0.29171135983447644,2.1162416955431798e-196,+,0.2862185540324392
APOF,fid_23561,Cholesterol in Large HDL,0.2862120206601977,1.0703232485773351e-188,0.40514153943278386,0,+,0.2862120206601977
SSC5D,fid_23511,Phospholipids in Small VLDL,0.2861846604361481,1.1670921978226986e-188,0.2824622842798782,1.0934318710663548e-183,+,0.2861846604361481
BCHE,fid_23481,Concentration of Chylomicrons and Extremely Large VLDL Particles,0.2861810434013782,1.1803480419809612e-188,0.29934001896717405,2.9821006365124822e-207,+,0.2861810434013782
GUSB,fid_23508,Triglycerides in Medium VLDL,0.2861644338977604,1.2439370953358398e-188,0.29455887053088736,2.0653837626323048e-200,+,0.2861644338977604
SORT1,fid_23543,Triglycerides in Medium LDL,0.2861642162493787,1.2445834638381376e-188,0.26573252233233635,6.489596718180697e-162,+,0.2861642162493787
SERPINA5,fid_23624,Phospholipids to Total Lipids in Small LDL percentage,-0.2861514901022394,1.2955853576924487e-188,-0.31321156720194177,7.50747754176422e-228,-,0.2861514901022394
DEFB4A_DEFB4B,fid_23482,Total Lipids in Chylomicrons and Extremely Large VLDL,0.2861488405412402,1.306287483864376e-188,0.2925221236496326,1.5462116412504228e-197,+,0.2861488405412402
CCL27,fid_23453,Polyunsaturated Fatty Acids to Total Fatty Acids percentage,-0.286147903170479,1.3099507290724702e-188,-0.2790446901779409,4.115695381067843e-179,-,0.286147903170479
SERPINA5,fid_23503,Total Lipids in Medium VLDL,0.2861445205600148,1.3238432475086363e-188,0.3248340218735332,5.563785324286489e-246,+,0.2861445205600148
AGRP,fid_23446,Polyunsaturated Fatty Acids,0.286141425510782,1.3366643056374598e-188,0.2736926956849747,4.4296647158452497e-172,+,0.286141425510782
