protein,metabolite,r_F,p_F,q_F,r_M,p_M,q_M,abs_r_F,abs_r_M,p_diff,q_diff,r_diff
TFF3,fid_23462,-0.10813722986420912,7.832887761201254e-16,3.809591403757753e-15,0.09923542695944951,1.2603573842033615e-11,6.13147451151183e-11,0.10813722986420912,0.09923542695944951,1.5313084024509242e-25,3.590330378909057e-21,0.20737265682365863
MFGE8,fid_23620,-0.18962732203544355,7.29701559263098e-46,1.5044668936565876e-44,-0.37977730854380726,4.914462221760166e-159,3.4478605126488067e-156,0.18962732203544355,0.37977730854380726,1.771853778793872e-25,4.024494543420402e-21,-0.1901499865083637
APCS,fid_23556,-0.38909984420349947,4.992813377985942e-199,3.953084466595752e-196,-0.20062082558968503,2.5593824927203165e-43,7.309959668997173e-42,0.38909984420349947,0.20062082558968503,2.293874680482882e-25,5.05230069057592e-21,0.18847901861381444
TFF3,fid_23536,0.1918491519980272,6.36823607854016e-47,1.3633269703989347e-45,-0.0121139449084567,0.4094838848070258,0.504116054408308,0.1918491519980272,0.0121139449084567,3.858009101393378e-25,8.247413568161324e-21,-0.2039630969064839
APOE,fid_23622,-4.049938939821899e-4,0.9759987662545204,0.9825456368742131,-0.20372891778435842,1.2090289902339426e-44,3.630788538613919e-43,4.049938939821899e-4,0.20372891778435842,4.186740737720187e-25,8.694437020394003e-21,-0.20332392389037623
APCS,fid_23642,-0.29522421730284737,1.87319523471939e-111,2.5240941150284183e-109,-0.09979946638547614,9.637931564327922e-12,4.732504247228133e-11,0.29522421730284737,0.09979946638547614,1.2313335344767315e-24,2.486031622770159e-20,0.19542475091737121
TFF3,fid_23565,0.1064958312381098,2.125673641519256e-15,1.0073188452966412e-14,-0.09520282359320162,8.21570229238998e-11,3.734335867872438e-10,0.1064958312381098,0.09520282359320162,3.0481507276086314e-24,5.987812004050025e-20,-0.2016986548313114
TFF3,fid_23440,0.0965389839125867,6.557991902544535e-13,2.6663637450736424e-12,-0.10430785054643307,1.0700650835094017e-12,5.6761844878684434e-12,0.0965389839125867,0.10430785054643307,4.7507274000967704e-24,9.086778807736147e-20,-0.20084683445901977
APOE,fid_23627,-0.0393662660924982,0.003438807379028458,0.00643771972065956,-0.23596691636631348,1.0478190007434582e-59,5.453933916709886e-58,0.0393662660924982,0.23596691636631348,5.881299673927712e-24,1.0960797239232188e-19,-0.1966006502738153
APCS,fid_23551,-0.3875676243521174,2.3960095617213354e-197,1.8389588445147623e-194,-0.20576484028779116,1.5927903890137383e-45,4.950775877682365e-44,0.3875676243521174,0.20576484028779116,9.418104502124204e-24,1.7113425783458596e-19,0.18180278406432623
C9,fid_23454,-0.06819395514281278,3.9406593172088003e-7,1.0726673128899353e-6,-0.2609140237105433,4.730722372263596e-73,3.876477646623136e-71,0.06819395514281278,0.2609140237105433,1.9170671802585315e-23,3.398497209010948e-19,-0.1927200685677305
APOE,fid_23522,0.03203438566898627,0.017296825719687183,0.0292802124413457,0.22651550414428034,4.8638878215013375e-55,2.1550990302302114e-53,0.03203438566898627,0.22651550414428034,2.2545362400608954e-23,3.9015876902373824e-19,0.1944811184752941
RARRES2,fid_23625,0.057987155262135104,1.622998508558594e-5,3.872413661824099e-5,-0.1394370574645525,1.4263779272676683e-21,1.4134670746641126e-20,0.057987155262135104,0.1394370574645525,2.3290154252505703e-23,3.9367456059309244e-19,-0.19742421272668761
ADAMTSL2,fid_23644,-0.020783175796495447,0.12256934582007446,0.17490713509983616,0.17414047262319826,6.677736827582647e-33,1.240204684060407e-31,0.020783175796495447,0.17414047262319826,5.429833402020648e-23,8.969480094145612e-19,0.1949236484196937
SHBG,fid_23632,-0.35506257538364633,9.676759940428121e-164,3.887987343428033e-161,-0.17294674012837657,1.8098002153055933e-32,3.2914272495703233e-31,0.35506257538364633,0.17294674012837657,5.993764350997955e-23,9.681008304444876e-19,0.18211583525526975
C9,fid_23617,0.1314255190329712,1.0639127274171752e-22,7.623450994048927e-22,0.31679196480886707,1.2641661175399446e-108,3.0046930130074413e-106,0.1314255190329712,0.31679196480886707,8.230126482760824e-23,1.3004154481720723e-18,0.18536644577589587
TFF3,fid_23570,0.0959042265084482,9.274617153738968e-13,3.735083810100425e-12,-0.09923934948564812,1.2580146412569084e-11,6.12044606392048e-11,0.0959042265084482,0.09923934948564812,8.737490435112927e-23,1.3512082788177795e-18,-0.19514357599409632
LEP,fid_23620,-0.04444768203053702,9.548594847296055e-4,0.0019115099473814056,-0.23523699120915462,2.4446505355031916e-59,1.2563443352685571e-57,0.04444768203053702,0.23523699120915462,1.1305331405202492e-22,1.7118886105364026e-18,-0.19078930917861758
TFF3,fid_23448,0.12077675635235564,2.1551628730303406e-19,1.2892821931138345e-18,-0.07335986292601945,5.691260412859741e-7,1.8074421914933142e-6,0.12077675635235564,0.07335986292601945,1.370636872681195e-22,2.0331048343015216e-18,-0.1941366192783751
LDLR,fid_23629,-0.4208590015931316,5.946087783103262e-236,9.175798151763751e-233,-0.24916529566393048,1.4050156099618576e-66,9.25008062322633e-65,0.4208590015931316,0.24916529566393048,1.8893548994296124e-22,2.7464834218146494e-18,0.17169370592920113
APOE,fid_23643,-0.005679962211105829,0.67306258963196,0.7406394945221254,0.18622611263681949,1.8371600624818573e-37,4.1656680248752164e-36,0.005679962211105829,0.18622611263681949,1.992875418650177e-22,2.8401639870841703e-18,0.19190607484792532
APOE,fid_23641,-0.0025729176465430006,0.8484208932266586,0.8856118359186244,-0.19400798900891503,1.4324421506779723e-40,3.6806425595482775e-39,0.0025729176465430006,0.19400798900891503,2.1772570037937666e-22,3.0432651640854368e-18,-0.19143507136237203
FABP4,fid_23625,0.010355341713567293,0.44172483590471723,0.5279608101886848,-0.1798117389132806,5.305715303534782e-35,1.0847702840459884e-33,0.010355341713567293,0.1798117389132806,5.225451041122243e-22,7.166075105037587e-18,-0.1901670806268479
APOE,fid_23648,-0.012724794635423227,0.34449548437110944,0.42918863323589945,0.17745737907624468,4.027882925740124e-34,7.908131212313938e-33,0.012724794635423227,0.17745737907624468,5.386832914586404e-22,7.250587322484724e-18,0.1901821737116679
TFF3,fid_23409,0.17606004242868303,1.1140532127775292e-39,1.7960426629156318e-38,-0.012590848945723985,0.3912925264683895,0.48575883211903,0.17606004242868303,0.012590848945723985,1.1607443761559745e-21,1.533936355756042e-17,-0.18865089137440702
ORM1,fid_23551,-0.25367495539849433,8.162158522304545e-82,5.168141685621687e-80,-0.06947179913041633,2.183268834460109e-6,6.520792546771077e-6,0.25367495539849433,0.06947179913041633,1.6708954071074573e-21,2.1686760350773576e-17,0.18420315626807798
TFF3,fid_23414,0.1030097839075911,1.6845941839376914e-14,7.561853231877571e-14,-0.08598020300550036,4.49722239040091e-9,1.7518949562323716e-8,0.1030097839075911,0.08598020300550036,1.8255075386025557e-21,2.327781525947428e-17,-0.18898998691309143
APOE,fid_23628,0.014635533687080374,0.2769120368502374,0.35651662617222646,0.20105829772829872,1.6705665863711545e-43,4.803273794607115e-42,0.014635533687080374,0.20105829772829872,2.1830172913826195e-21,2.7356631739877943e-17,0.18642276404121835
C9,fid_23458,0.08948020635483005,2.7281461517089198e-11,9.972997608940163e-11,0.27064886654423187,1.1315604771397182e-78,1.1010083442569457e-76,0.08948020635483005,0.27064886654423187,4.18370789020822e-21,5.1539806602507296e-17,0.1811686601894018
APOE,fid_23529,0.043436190795397366,0.0012454972558167976,0.0024607711120846225,0.22723052594500198,2.194281762667938e-55,9.843673668940255e-54,0.043436190795397366,0.22723052594500198,4.26442039127769e-21,5.165854895687925e-17,0.1837943351496046
FABP4,fid_23629,-0.324443984804318,1.6650530729085498e-135,3.808093738310869e-133,-0.14826510488692918,3.289815422717462e-24,3.837736066364645e-23,0.324443984804318,0.14826510488692918,5.582237455061745e-21,6.651382347049153e-17,0.17617887991738884
C9,fid_23605,0.1028959694225212,1.800306791568848e-14,8.067416279009466e-14,0.2824561520188042,8.243091390462495e-86,1.0049202211374112e-83,0.1028959694225212,0.2824561520188042,6.0021943830041425e-21,7.036420879989167e-17,0.17956018259628298
PRCP,fid_23625,0.012153690579410877,0.36658439361693806,0.4522147002664506,-0.1730953523981835,1.5991705549462104e-32,2.9159497594694286e-31,0.012153690579410877,0.1730953523981835,6.2281564730102936e-21,7.185424122911975e-17,-0.18524904297759437
APCS,fid_23554,-0.4066310811438109,6.523040383786404e-219,7.489965189870231e-216,-0.24002429463197908,8.953373189543361e-62,5.030215033415004e-60,0.4066310811438109,0.24002429463197908,6.98793941994554e-21,7.936017182091307e-17,0.16660678651183183
C9,fid_23608,-0.13937613615983355,2.362473060384236e-25,1.948702456934194e-24,-0.3155978427700872,8.873430113740565e-108,2.0664800009612846e-105,0.13937613615983355,0.3155978427700872,8.086832525727101e-21,9.042708571548854e-17,-0.17622170661025363
TFF3,fid_23578,0.17441039944038106,5.8314335803876334e-39,9.126955146895333e-38,-0.010012023015097508,0.4954408549257341,0.587673717889487,0.17441039944038106,0.010012023015097508,9.04917242116626e-21,9.965483394013173e-17,-0.18442242245547857
TFF3,fid_23522,0.18733943662851205,8.71037947393986e-45,1.7194388439498053e-43,0.0035131113242766344,0.8109588854320648,0.859161110960047,0.18733943662851205,0.0035131113242766344,9.75749930992913e-21,1.0585153702888209e-16,-0.1838263253042354
PZP,fid_23571,0.17962872702245228,2.933415075750193e-41,5.043995772232288e-40,-0.0042026917221363634,0.7747713132301601,0.8304752224540068,0.17962872702245228,0.0042026917221363634,1.1054783397510532e-20,1.1816116575876438e-16,-0.18383141874458864
BMP10,fid_23458,0.18257423487380542,1.37546421666658e-42,2.495457121621454e-41,-0.0011197333820312867,0.9392309295448453,0.9565435236045622,0.18257423487380542,0.0011197333820312867,1.125320826902328e-20,1.1853884955626752e-16,-0.1836939682558367
APCS,fid_23614,0.11401360634852203,1.9387687363752215e-17,1.0367548700914792e-16,-0.07105347578330878,1.274025534969187e-6,3.901120848670373e-6,0.11401360634852203,0.07105347578330878,1.1682892035227415e-20,1.2130697286937682e-16,-0.18506708213183082
TFF3,fid_23576,0.056480069036253425,2.6801981808469682e-5,6.271048744159459e-5,-0.128340962260549,1.7191173593986697e-18,1.3901491822136494e-17,0.056480069036253425,0.128340962260549,1.2202577462536364e-20,1.231834941621218e-16,-0.18482103129680244
MFGE8,fid_23623,0.3304242478601308,9.045310404682132e-141,2.3313517754416733e-138,0.48455119802638913,9.702786583039841e-272,2.988256811414165e-268,0.3304242478601308,0.48455119802638913,1.2101603832683564e-20,1.231834941621218e-16,0.15412695016625833
ORM1,fid_23556,-0.22881006508980067,1.6790007205622495e-66,6.859751392506916e-65,-0.047385951120359725,0.00124631777907877,0.0026720028248646143,0.22881006508980067,0.047385951120359725,1.2678474207502153e-20,1.2614499496353395e-16,0.18142411396944094
APOE,fid_23617,0.028899004872583085,0.03177279017332651,0.05141246015955537,-0.15531046134572699,1.9653922067492774e-26,2.610625163149517e-25,0.028899004872583085,0.15531046134572699,1.2843053787333661e-20,1.2614499496353395e-16,-0.18420946621831008
APOE,fid_23515,0.021798346702089525,0.10533593498144356,0.1528230071769141,0.2042470509453287,7.232765291374207e-45,2.1884098033031412e-43,0.021798346702089525,0.2042470509453287,1.3630384929159734e-20,1.3209315077928132e-16,0.18244870424323917
ORM1,fid_23552,-0.2609875786511622,1.1728657200453479e-86,8.462971946453691e-85,-0.08180265523062491,2.4212112346837997e-8,8.814747164535177e-8,0.2609875786511622,0.08180265523062491,1.481583904085593e-20,1.416922513934784e-16,0.17918492342053727
FURIN,fid_23625,0.013902832027583965,0.301676845362412,0.3835430034609733,-0.16944530292168292,3.2338588002389198e-31,5.5284335912043806e-30,0.013902832027583965,0.16944530292168292,1.6149418938246684e-20,1.52440237874088e-16,-0.18334813494926688
C9,fid_23622,0.1597441656226794,7.010159787815518e-33,8.419454779215329e-32,0.3328535320142908,2.1688557644467417e-120,7.028049951531831e-118,0.1597441656226794,0.3328535320142908,1.6844900693295996e-20,1.5696661558729517e-16,0.1731093663916114
NPY,fid_23625,0.06854030030604599,3.4394755966686337e-7,9.406567081957457e-7,-0.1155228364017197,2.979808339968187e-15,1.9180271482632838e-14,0.06854030030604599,0.1155228364017197,1.8691426341512224e-20,1.71968456952249e-16,-0.1840631367077657
APOE,fid_23640,0.02101058186207956,0.11852914475822464,0.169777402758128,-0.16214993188469315,1.0782547694382292e-28,1.6208073797397422e-27,0.02101058186207956,0.16214993188469315,1.9419774642731685e-20,1.7643617779189144e-16,-0.18316051374677272
CDH15,fid_23634,0.04295468477244328,0.0014108054588200297,0.0027703494419398633,0.22362732522313644,1.1780064387804611e-53,4.945769396402735e-52,0.04295468477244328,0.22362732522313644,2.0523409417761935e-20,1.8416111346322625e-16,0.18067264045069314
ORM1,fid_23553,-0.2651149618110565,1.8479226445314703e-89,1.4372685539298588e-87,-0.08696765232871315,2.985528413909053e-9,1.1824765832075086e-8,0.2651149618110565,0.08696765232871315,2.1267874439836666e-20,1.8851402984123077e-16,0.17814730948234334
LCAT,fid_23614,-0.011480707801601613,0.3937197877480276,0.47999581851477496,-0.19318954561838697,3.0855744065258873e-40,7.825434004918585e-39,0.011480707801601613,0.19318954561838697,2.3884757715490708e-20,2.0915882331455213e-16,-0.18170883781678535
GDF2,fid_23453,0.09583492511544033,9.630989247552177e-13,3.874802274911903e-12,-0.08731405184572837,2.5830989515454137e-9,1.0290925203084327e-8,0.09583492511544033,0.08731405184572837,3.0193164492819634e-20,2.612539040652451e-16,-0.1831489769611687
APOE,fid_23645,-0.01884735038300173,0.16144443113158902,0.2232515137893219,-0.19972037217705516,6.13929000803465e-43,1.7280046066800265e-41,0.01884735038300173,0.19972037217705516,3.1274378478569624e-20,2.67425738634791e-16,-0.18087302179405343
PLTP,fid_23614,-0.1675378674571812,4.833407166811516e-36,6.678840616845591e-35,0.013994181688008318,0.34067438327400446,0.4332915742926177,0.1675378674571812,0.013994181688008318,3.885035233644581e-20,3.2834465626803777e-16,0.1815320491451895
APCS,fid_23634,0.33173540088634085,6.111457679880272e-142,1.611755042425638e-139,0.16102239060713147,2.5844503073187447e-28,3.8047813520463236e-27,0.33173540088634085,0.16102239060713147,5.603618748725912e-20,4.681475653741613e-16,-0.17071301027920938
BMP10,fid_23453,0.15082701499848014,1.8678948100502017e-29,1.9014886100415946e-28,-0.029928649914798364,0.04153654484600445,0.06859223340626408,0.15082701499848014,0.029928649914798364,6.799319938049997e-20,5.615859670332747e-16,-0.1807556649132785
C9,fid_23606,0.08112610542641834,1.5745890571514313e-9,5.107897271669405e-9,0.2567302035757195,1.0439551372181991e-70,7.909714962362566e-69,0.08112610542641834,0.2567302035757195,9.07721923989473e-20,7.413038581294299e-16,0.17560409814930117
C9,fid_23615,0.02594035114956317,0.053936652029206715,0.08349626153536907,0.20408096241209775,8.52896457371568e-45,2.5739560912133955e-43,0.02594035114956317,0.20408096241209775,1.0230015645238851e-19,8.261658334938444e-16,0.17814061126253458
F9,fid_23629,-0.34725088457546427,3.1278154392329214e-156,1.0851518966649659e-153,-0.17936095086446927,7.838746604899466e-35,1.5906206297176594e-33,0.34725088457546427,0.17936095086446927,1.0464251003311247e-19,8.3579582648216665e-16,0.167889933710995
C9,fid_23555,0.003488275286350542,0.7955326820187187,0.8431940858718264,0.18232292867817165,5.9195322418321254e-36,1.2616560726242114e-34,0.003488275286350542,0.18232292867817165,1.0937005249654974e-19,8.5913707190756115e-16,0.1788346533918211
ORM1,fid_23647,-0.1816942942401339,3.45021131938972e-42,6.157390781258991e-41,-0.0028491632479773093,0.8461882007135961,0.8865048893488156,0.1816942942401339,0.0028491632479773093,1.0992892114866205e-19,8.5913707190756115e-16,0.17884513099215657
APCS,fid_23555,-0.40738177476963217,8.628139910200296e-220,1.0017890669442157e-216,-0.24670674143361218,2.881614769854119e-65,1.819992131376294e-63,0.40738177476963217,0.24670674143361218,1.2739986926300688e-19,9.85086961450006e-16,0.16067503333601998
APOE,fid_23409,0.04151179517494142,0.0020348358940456193,0.003920480875041608,0.21834896072127352,3.5527261994944516e-51,1.3600713874985527e-49,0.04151179517494142,0.21834896072127352,1.3832375513496442e-19,1.0582946659842245e-15,0.1768371655463321
IL1RN,fid_23625,-0.06784461723118941,4.5172070210831564e-7,1.224027653696932e-6,-0.24325012944414917,1.9033059906358748e-63,1.129199082915569e-61,0.06784461723118941,0.24325012944414917,1.454529916053955e-19,1.1012473264743877e-15,-0.17540551221295975
ENPP2,fid_23577,0.07382312154263387,3.983914077647557e-8,1.1683002836274566e-7,-0.10579800471622411,5.067181416513588e-13,2.7569519467515945e-12,0.07382312154263387,0.10579800471622411,1.5395625164606776e-19,1.1457158513899906e-15,-0.17962112625885798
SHBG,fid_23647,0.25853546886011103,5.134764328444762e-85,3.541569454932468e-83,0.08419284775514409,9.332966982800171e-9,3.533656507894874e-8,0.25853546886011103,0.08419284775514409,1.5447903768031233e-19,1.1457158513899906e-15,-0.17434262110496695
C9,fid_23613,-0.11426667868400875,1.6460345757472783e-17,8.83791797831846e-17,-0.28657912284698267,2.1875802429422227e-88,2.8861883019748387e-86,0.11426667868400875,0.28657912284698267,1.6013649505560501e-19,1.1756784731086915e-15,-0.17231244416297392
TFF3,fid_23442,0.09989628616298914,1.0101268973322015e-13,4.322511482957978e-13,-0.07943635209958039,6.062557957488372e-8,2.1221405413159338e-7,0.09989628616298914,0.07943635209958039,1.7817678216024561e-19,1.2948469970560075e-15,-0.1793326382625695
APOE,fid_23407,0.027001375268118823,0.04483424066512796,0.0705100939499236,0.20392189611059128,9.986252593680518e-45,3.0062615800685074e-43,0.027001375268118823,0.20392189611059128,1.7993116240591934e-19,1.2948469970560075e-15,0.17692052084247245
ACHE,fid_23578,-0.08925615369426348,3.056970270343664e-11,1.1137793789044954e-10,0.08998805881202818,8.29114907067772e-10,3.4521210596445824e-9,0.08925615369426348,0.08998805881202818,1.8723453706434516e-19,1.334194762833481e-15,0.17924421250629166
APOE,fid_23550,0.04205227333124804,0.0017762191288585602,0.003446216070406298,0.21821097722463612,4.1163193134436347e-51,1.5714420310465626e-49,0.04205227333124804,0.21821097722463612,1.8953773703016897e-19,1.3374942033337355e-15,0.17615870389338809
APCS,fid_23637,-0.25822405558391404,8.273641119125213e-85,5.67529147626925e-83,-0.08446008976836104,8.375652493872334e-9,3.183552123841652e-8,0.25822405558391404,0.08446008976836104,2.0365850018715086e-19,1.4200079783595828e-15,0.17376396581555298
IL1RN,fid_23632,0.3601579476566941,9.366997487486157e-169,4.126196455046698e-166,0.1950103348427514,5.570409961828334e-41,1.4538733995136635e-39,0.3601579476566941,0.1950103348427514,2.0513824771887301e-19,1.4200079783595828e-15,-0.16514761281394272
C9,fid_23607,0.22528718716036042,1.791127936448361e-64,6.88883318358742e-63,0.3872544082965516,8.197543611433333e-166,6.420505194657005e-163,0.22528718716036042,0.3872544082965516,2.227559388897642e-19,1.5274143567847756e-15,0.1619672211361912
APOE,fid_23484,0.03209090776523046,0.017100545941948923,0.028971767408137967,0.20822389537615693,1.3376278983131977e-46,4.327751715819629e-45,0.03209090776523046,0.20822389537615693,2.3691594720222636e-19,1.5937993178500447e-15,0.17613298761092647
CFH,fid_23647,-0.2806279627332255,1.901017861342986e-100,1.964622086133633e-98,-0.10871376730774165,1.1386339973517334e-13,6.513619875717461e-13,0.2806279627332255,0.10871376730774165,2.3622667585251906e-19,1.5937993178500447e-15,0.17191419542548383
C9,fid_23578,-0.20649919794242821,3.0842611600126927e-54,8.563764461906198e-53,-0.3702429496519412,1.2013095437499052e-150,7.318935599273154e-148,0.20649919794242821,0.3702429496519412,2.390158450116394e-19,1.5937993178500447e-15,-0.163743751709513
C9,fid_23554,0.007432824833933587,0.5808339646725126,0.6591876037407067,0.1844180262635281,9.267666605904073e-37,2.042024854286799e-35,0.007432824833933587,0.1844180262635281,2.4715374445031945e-19,1.6330818475688194e-15,0.1769852014295945
MFGE8,fid_23601,-0.2336104356331829,2.5442226418957137e-69,1.1293635562670719e-67,-0.3944431909982123,1.692417698713244e-172,1.4928418062784538e-169,0.2336104356331829,0.3944431909982123,2.5557213653508545e-19,1.673493257386781e-15,-0.1608327553650294
