protein,metabolite,r_F,p_F,q_F,r_M,p_M,q_M,abs_r_F,abs_r_M,p_diff,q_diff,r_diff,metabolite_label
PZP,fid_23573,0.13635856024664797,2.5071566655353568e-24,1.960325293538726e-23,-0.07656012347957078,1.787097428115422e-7,5.972337960883357e-7,0.13635856024664797,0.07656012347957078,6.833436955983187e-27,2.159458180936616e-22,-0.21291868372621875,Total Lipids in Small HDL
SHBG,fid_23614,-0.1026320598781819,2.099541141818019e-14,9.37002466918865e-14,0.10936936609419004,8.094611512074667e-14,4.685142527180943e-13,0.1026320598781819,0.10936936609419004,1.25416533093606e-26,3.7981926735399475e-22,0.21200142597237193,Phospholipids to Total Lipids in Large LDL percentage
TFF3,fid_23430,0.0841012644576848,3.8823055751812385e-10,1.312816095353867e-9,-0.12687834678429502,4.1895459699499845e-18,3.2970169522025107e-17,0.0841012644576848,0.12687834678429502,2.0793137598373622e-26,6.0452387975054e-22,-0.21097961124197984,Concentration of HDL Particles
LDLR,fid_23614,-0.07285510704957825,5.981232843678236e-8,1.7319066386484857e-7,-0.27691933420187076,2.028443505906692e-82,2.212056446874219e-80,0.07285510704957825,0.27691933420187076,2.732726686100201e-26,7.639347961480365e-22,-0.2040642271522925,Phospholipids to Total Lipids in Large LDL percentage
IL1RN,fid_23629,-0.3104974684404371,1.1042662108059324e-123,1.9556893622472867e-121,-0.10942663597934103,7.856137909421831e-14,4.551536477787059e-13,0.3104974684404371,0.10942663597934103,2.928289519117431e-26,7.882857775813486e-22,0.20107083246109603,Phospholipids to Total Lipids in Very Large HDL percentage
LDLR,fid_23647,-0.24798417257729993,3.7383306293568884e-78,2.1344340845766662e-76,-0.04266154121070238,0.00366183361955953,0.00732154178586128,0.24798417257729993,0.04266154121070238,4.15529441491143e-26,1.0786417124587464e-21,0.20532263136659756,Free Cholesterol to Total Lipids in Small HDL percentage
TFF3,fid_23411,0.06704305423898718,6.163856203000501e-7,1.652867845992074e-6,-0.14218558154292005,2.2435691791845697e-22,2.3381495348291587e-21,0.06704305423898718,0.14218558154292005,4.818683707542965e-26,1.2077133440817795e-21,-0.20922863578190723,Total Phospholipids in Lipoprotein Particles
TFF3,fid_23529,0.20052862821532683,3.467976641832204e-51,8.62964473470349e-50,-0.00541958157542891,0.7121335039239062,0.7795559632128666,0.20052862821532683,0.00541958157542891,1.1273904540065539e-25,2.7314077702534588e-21,-0.20594820979075573,Triglycerides in IDL
TFF3,fid_23462,-0.10813722986420912,7.832887761201255e-16,3.809591403757753e-15,0.09923542695944952,1.2603573842033616e-11,6.13147451151183e-11,0.10813722986420912,0.09923542695944952,1.5313084024509242e-25,3.590330378909057e-21,0.20737265682365863,Glycine
MFGE8,fid_23620,-0.18962732203544355,7.29701559263098e-46,1.5044668936565876e-44,-0.37977730854380726,4.914462221760165e-159,3.4478605126488067e-156,0.18962732203544355,0.37977730854380726,1.771853778793872e-25,4.024494543420402e-21,-0.1901499865083637,Cholesterol to Total Lipids in Medium LDL percentage
APCS,fid_23556,-0.38909984420349947,4.992813377985942e-199,3.9530844665957516e-196,-0.20062082558968505,2.559382492720316e-43,7.309959668997172e-42,0.38909984420349947,0.20062082558968505,2.293874680482882e-25,5.05230069057592e-21,0.18847901861381444,Free Cholesterol in Very Large HDL
TFF3,fid_23536,0.1918491519980272,6.368236078540161e-47,1.3633269703989349e-45,-0.0121139449084567,0.4094838848070258,0.504116054408308,0.1918491519980272,0.0121139449084567,3.858009101393378e-25,8.247413568161324e-21,-0.2039630969064839,Triglycerides in Large LDL
APOE,fid_23622,-4.049938939821899e-4,0.9759987662545204,0.9825456368742131,-0.2037289177843584,1.2090289902339426e-44,3.630788538613919e-43,4.049938939821899e-4,0.2037289177843584,4.186740737720187e-25,8.694437020394003e-21,-0.20332392389037623,Free Cholesterol to Total Lipids in Medium LDL percentage
APCS,fid_23642,-0.29522421730284737,1.8731952347193902e-111,2.524094115028419e-109,-0.09979946638547614,9.637931564327922e-12,4.732504247228133e-11,0.29522421730284737,0.09979946638547614,1.2313335344767315e-24,2.486031622770159e-20,0.1954247509173712,Free Cholesterol to Total Lipids in Medium HDL percentage
TFF3,fid_23565,0.1064958312381098,2.125673641519256e-15,1.0073188452966412e-14,-0.09520282359320162,8.21570229238998e-11,3.734335867872438e-10,0.1064958312381098,0.09520282359320162,3.048150727608631e-24,5.987812004050025e-20,-0.2016986548313114,Concentration of Medium HDL Particles
TFF3,fid_23440,0.0965389839125867,6.557991902544535e-13,2.6663637450736424e-12,-0.10430785054643309,1.0700650835094017e-12,5.6761844878684434e-12,0.0965389839125867,0.10430785054643309,4.7507274000967704e-24,9.086778807736148e-20,-0.20084683445901977,Apolipoprotein A1
APOE,fid_23627,-0.0393662660924982,0.00343880737902845,0.00643771972065956,-0.23596691636631348,1.0478190007434582e-59,5.4539339167098864e-58,0.0393662660924982,0.23596691636631348,5.8812996739277114e-24,1.0960797239232188e-19,-0.1966006502738153,Free Cholesterol to Total Lipids in Small LDL percentage
APCS,fid_23551,-0.3875676243521174,2.3960095617213348e-197,1.8389588445147623e-194,-0.20576484028779116,1.5927903890137383e-45,4.950775877682364e-44,0.3875676243521174,0.20576484028779116,9.418104502124203e-24,1.7113425783458596e-19,0.18180278406432623,Concentration of Very Large HDL Particles
C9,fid_23454,-0.06819395514281278,3.9406593172088003e-7,1.0726673128899353e-6,-0.2609140237105433,4.730722372263596e-73,3.876477646623136e-71,0.06819395514281278,0.2609140237105433,1.9170671802585315e-23,3.3984972090109476e-19,-0.1927200685677305,Monounsaturated Fatty Acids to Total Fatty Acids percentage
APOE,fid_23522,0.03203438566898627,0.01729682571968718,0.0292802124413457,0.22651550414428032,4.8638878215013375e-55,2.155099030230211e-53,0.03203438566898627,0.22651550414428032,2.254536240060895e-23,3.9015876902373824e-19,0.1944811184752941,Triglycerides in Very Small VLDL
RARRES2,fid_23625,0.0579871552621351,1.622998508558594e-5,3.872413661824099e-5,-0.1394370574645525,1.4263779272676683e-21,1.4134670746641126e-20,0.0579871552621351,0.1394370574645525,2.3290154252505703e-23,3.936745605930925e-19,-0.1974242127266876,Cholesterol to Total Lipids in Small LDL percentage
ADAMTSL2,fid_23644,-0.02078317579649544,0.12256934582007446,0.17490713509983616,0.17414047262319826,6.677736827582647e-33,1.240204684060407e-31,0.02078317579649544,0.17414047262319826,5.429833402020648e-23,8.969480094145612e-19,0.1949236484196937,Phospholipids to Total Lipids in Small HDL percentage
SHBG,fid_23632,-0.35506257538364633,9.676759940428118e-164,3.887987343428033e-161,-0.17294674012837655,1.809800215305593e-32,3.291427249570323e-31,0.35506257538364633,0.17294674012837655,5.993764350997955e-23,9.681008304444874e-19,0.18211583525526975,Free Cholesterol to Total Lipids in Very Large HDL percentage
C9,fid_23617,0.1314255190329712,1.0639127274171752e-22,7.623450994048926e-22,0.31679196480886707,1.2641661175399446e-108,3.0046930130074413e-106,0.1314255190329712,0.31679196480886707,8.230126482760824e-23,1.3004154481720723e-18,0.18536644577589587,Free Cholesterol to Total Lipids in Large LDL percentage
TFF3,fid_23570,0.0959042265084482,9.274617153738968e-13,3.735083810100425e-12,-0.09923934948564812,1.2580146412569084e-11,6.12044606392048e-11,0.0959042265084482,0.09923934948564812,8.737490435112927e-23,1.3512082788177795e-18,-0.19514357599409632,Free Cholesterol in Medium HDL
LEP,fid_23620,-0.04444768203053702,9.548594847296056e-4,0.0019115099473814,-0.23523699120915464,2.4446505355031916e-59,1.2563443352685572e-57,0.04444768203053702,0.23523699120915464,1.1305331405202492e-22,1.7118886105364026e-18,-0.1907893091786176,Cholesterol to Total Lipids in Medium LDL percentage
TFF3,fid_23448,0.12077675635235564,2.1551628730303409e-19,1.2892821931138343e-18,-0.07335986292601945,5.691260412859741e-7,1.8074421914933144e-6,0.12077675635235564,0.07335986292601945,1.370636872681195e-22,2.0331048343015216e-18,-0.1941366192783751,Saturated Fatty Acids
LDLR,fid_23629,-0.4208590015931316,5.946087783103261e-236,9.175798151763751e-233,-0.24916529566393048,1.4050156099618576e-66,9.25008062322633e-65,0.4208590015931316,0.24916529566393048,1.8893548994296124e-22,2.7464834218146494e-18,0.1716937059292011,Phospholipids to Total Lipids in Very Large HDL percentage
APOE,fid_23643,-0.00567996221110582,0.67306258963196,0.7406394945221254,0.18622611263681949,1.8371600624818573e-37,4.165668024875216e-36,0.00567996221110582,0.18622611263681949,1.9928754186501768e-22,2.8401639870841703e-18,0.19190607484792532,Triglycerides to Total Lipids in Medium HDL percentage
APOE,fid_23641,-0.002572917646543,0.8484208932266586,0.8856118359186244,-0.19400798900891503,1.4324421506779723e-40,3.6806425595482775e-39,0.002572917646543,0.19400798900891503,2.1772570037937666e-22,3.0432651640854368e-18,-0.19143507136237203,Cholesteryl Esters to Total Lipids in Medium HDL percentage
FABP4,fid_23625,0.01035534171356729,0.4417248359047172,0.5279608101886848,-0.1798117389132806,5.305715303534782e-35,1.0847702840459883e-33,0.01035534171356729,0.1798117389132806,5.225451041122242e-22,7.166075105037587e-18,-0.1901670806268479,Cholesterol to Total Lipids in Small LDL percentage
APOE,fid_23648,-0.01272479463542322,0.34449548437110944,0.42918863323589945,0.17745737907624468,4.027882925740124e-34,7.908131212313938e-33,0.01272479463542322,0.17745737907624468,5.386832914586404e-22,7.250587322484724e-18,0.1901821737116679,Triglycerides to Total Lipids in Small HDL percentage
TFF3,fid_23409,0.17606004242868303,1.1140532127775292e-39,1.7960426629156318e-38,-0.01259084894572398,0.3912925264683895,0.48575883211903,0.17606004242868303,0.01259084894572398,1.1607443761559743e-21,1.5339363557560418e-17,-0.18865089137440705,Triglycerides in LDL
ORM1,fid_23551,-0.25367495539849433,8.162158522304545e-82,5.168141685621687e-80,-0.06947179913041633,2.183268834460109e-6,6.520792546771077e-6,0.25367495539849433,0.06947179913041633,1.670895407107457e-21,2.1686760350773573e-17,0.184203156268078,Concentration of Very Large HDL Particles
TFF3,fid_23414,0.1030097839075911,1.6845941839376914e-14,7.561853231877572e-14,-0.08598020300550036,4.49722239040091e-9,1.7518949562323716e-8,0.1030097839075911,0.08598020300550036,1.8255075386025557e-21,2.3277815259474278e-17,-0.18898998691309143,Phospholipids in HDL
APOE,fid_23628,0.01463553368708037,0.2769120368502374,0.35651662617222646,0.20105829772829872,1.6705665863711543e-43,4.803273794607114e-42,0.01463553368708037,0.20105829772829872,2.1830172913826195e-21,2.735663173987794e-17,0.18642276404121835,Triglycerides to Total Lipids in Small LDL percentage
C9,fid_23458,0.08948020635483005,2.7281461517089198e-11,9.972997608940163e-11,0.27064886654423187,1.1315604771397182e-78,1.1010083442569456e-76,0.08948020635483005,0.27064886654423187,4.18370789020822e-21,5.153980660250729e-17,0.1811686601894018,Polyunsaturated Fatty Acids to Monounsaturated Fatty Acids ratio
APOE,fid_23529,0.04343619079539736,0.00124549725581679,0.00246077111208462,0.227230525945002,2.194281762667938e-55,9.843673668940255e-54,0.04343619079539736,0.227230525945002,4.26442039127769e-21,5.165854895687925e-17,0.1837943351496046,Triglycerides in IDL
FABP4,fid_23629,-0.324443984804318,1.6650530729085498e-135,3.808093738310869e-133,-0.14826510488692918,3.289815422717462e-24,3.837736066364645e-23,0.324443984804318,0.14826510488692918,5.5822374550617445e-21,6.651382347049153e-17,0.17617887991738884,Phospholipids to Total Lipids in Very Large HDL percentage
