protein_metabolite_from,protein_metabolite_to,r,q,abs_r,sign
APOA1,fid_23440,0.5399643374490137,0,0.5399643374490137,+
PLA2G7,fid_23527,0.5372390538202523,0,0.5372390538202523,+
PLA2G7,fid_23516,0.53563918868209,0,0.53563918868209,+
LDLR,fid_23636,-0.5347413171902168,0,0.5347413171902168,-
PLTP,fid_23418,0.5339343475342916,0,0.5339343475342916,+
PLTP,fid_23406,0.5331523578079224,0,0.5331523578079224,+
PLA2G7,fid_23521,0.5328514991069793,0,0.5328514991069793,+
LDLR,fid_23617,-0.5304697282323493,0,0.5304697282323493,-
APOA1,fid_23570,0.530138150637718,0,0.530138150637718,+
APOA1,fid_23426,0.5294189389887248,0,0.5294189389887248,+
PLTP,fid_23642,0.5293665519816444,0,0.5293665519816444,+
APOA1,fid_23565,0.5291107362482197,0,0.5291107362482197,+
APOA1,fid_23568,0.5283652120205361,0,0.5283652120205361,+
LDLR,fid_23453,-0.5273259413255605,0,0.5273259413255605,-
APOA1,fid_23430,0.5262417563665402,0,0.5262417563665402,+
APOA1,fid_23406,0.5255224047082032,0,0.5255224047082032,+
APOA1,fid_23569,0.52454600210048,0,0.52454600210048,+
LDLR,fid_23416,0.5243552482561683,0,0.5243552482561683,+
APOA1,fid_23418,0.5241106327508986,0,0.5241106327508986,+
PLTP,fid_23555,0.5173414134091405,0,0.5173414134091405,+
LDLR,fid_23635,-0.5153373451219877,0,0.5153373451219877,-
APOA1,fid_23414,0.5150821043273419,0,0.5150821043273419,+
PLA2G7,fid_23400,0.5133367530766839,0,0.5133367530766839,+
OLR1,fid_23471,0.5122302818317638,0,0.5122302818317638,+
PLA2G7,fid_23428,0.5122130557743361,0,0.5122130557743361,+
APOA1,fid_23427,0.5114191562006428,0,0.5114191562006428,+
APOA1,fid_23422,0.5105807392405216,0,0.5105807392405216,+
PLTP,fid_23422,0.5101806784782192,0,0.5101806784782192,+
APOA1,fid_23566,0.5095635419072594,0,0.5095635419072594,+
LDLR,fid_23621,0.5092441400835745,0,0.5092441400835745,+
PLA2G7,fid_23503,0.5092144693751656,0,0.5092144693751656,+
PLA2G7,fid_23517,0.5085085724500956,0,0.5085085724500956,+
PLA2G7,fid_23420,0.5079030741412102,0,0.5079030741412102,+
MFGE8,fid_23550,0.5073455880726374,0,0.5073455880726374,+
IGSF9,fid_23453,-0.507293769459998,0,0.507293769459998,-
FGFBP1,fid_23506,0.5070307630733474,0,0.5070307630733474,+
TNFSF14,fid_23471,0.5059817314802484,0,0.5059817314802484,+
FGFBP1,fid_23528,0.5044432053449355,0,0.5044432053449355,+
LDLR,fid_23518,0.5041650873199618,0,0.5041650873199618,+
MFGE8,fid_23578,0.5039424463448721,0,0.5039424463448721,+
APOM,fid_23427,0.5033920383997372,0,0.5033920383997372,+
MFGE8,fid_23410,0.5032539748573317,0,0.5032539748573317,+
LDLR,fid_23562,-0.5016898813807451,0,0.5016898813807451,-
PLTP,fid_23553,0.5014247324220832,0,0.5014247324220832,+
MFGE8,fid_23628,0.5003012702266433,0,0.5003012702266433,+
PLTP,fid_23552,0.5000365929896616,0,0.5000365929896616,+
ORM1,fid_23480,0.4996198307910241,0,0.4996198307910241,+
PLTP,fid_23554,0.4993700949973058,0,0.4993700949973058,+
APOM,fid_23438,0.4988126298778357,0,0.4988126298778357,+
FGFBP1,fid_23526,0.4985967338461645,0,0.4985967338461645,+
IGSF9,fid_23458,-0.49753729781749706,0,0.49753729781749706,-
FGFBP1,fid_23525,0.4972811256402104,0,0.4972811256402104,+
PRAP1,fid_23454,0.4970353701005225,0,0.4970353701005225,+
PLTP,fid_23632,-0.4970231790281679,0,0.4970231790281679,-
LDLR,fid_23639,0.49676854519646746,0,0.49676854519646746,+
PRAP1,fid_23458,-0.4955767840145363,0,0.4955767840145363,-
MFGE8,fid_23407,0.49542819506615027,0,0.49542819506615027,+
PLA2G7,fid_23518,0.4951577743751175,0,0.4951577743751175,+
PLA2G7,fid_23415,0.4946157662474699,0,0.4946157662474699,+
FGFBP1,fid_23535,0.4944404255375726,0,0.4944404255375726,+
FGFBP1,fid_23524,0.4940092391773238,0,0.4940092391773238,+
MXRA8,fid_23562,0.4933912533993147,0,0.4933912533993147,+
MFGE8,fid_23571,0.4933821211591968,0,0.4933821211591968,+
APOM,fid_23415,0.4929227418319595,0,0.4929227418319595,+
FGFBP1,fid_23527,0.4927022966059862,0,0.4927022966059862,+
PLTP,fid_23551,0.4923338426499944,0,0.4923338426499944,+
MFGE8,fid_23447,0.49198313513527847,0,0.49198313513527847,+
CFB,fid_23480,0.4909935113191212,0,0.4909935113191212,+
PLTP,fid_23426,0.49046873285336207,0,0.49046873285336207,+
LDLR,fid_23561,-0.49017608222804093,0,0.49017608222804093,-
MFGE8,fid_23515,0.4901501076245835,0,0.4901501076245835,+
MXRA8,fid_23561,0.48933980991553566,0,0.48933980991553566,+
IGSF9,fid_23452,-0.4890790137539666,0,0.4890790137539666,-
MFGE8,fid_23627,-0.48859721479188384,0,0.48859721479188384,-
MFGE8,fid_23522,0.487564338120708,0,0.487564338120708,+
MXRA8,fid_23558,0.4871535572384308,0,0.4871535572384308,+
MFGE8,fid_23622,-0.4867571438007007,0,0.4867571438007007,-
LDLR,fid_23507,0.4865884383066123,0,0.4865884383066123,+
FGFBP1,fid_23421,0.4865561241208897,0,0.4865561241208897,+
APOM,fid_23411,0.4863761395250485,0,0.4863761395250485,+
APOM,fid_23436,0.4858343475665083,0,0.4858343475665083,+
PLA2G7,fid_23492,0.48494445202682385,0,0.48494445202682385,+
LDLR,fid_23628,0.4846364173722686,0,0.4846364173722686,+
FGFBP1,fid_23523,0.4843076865071253,0,0.4843076865071253,+
IGSF9,fid_23636,-0.4839738696442355,0,0.4839738696442355,-
PLA2G7,fid_23423,0.48388710377745464,0,0.48388710377745464,+
