module_protein,category,subcategory,ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
1,Human Diseases,Infectious disease: bacterial,hsa05132,Salmonella infection,30/461,251/9521,0.11952191235059761,2.4684774999783947,5.318254648449985,3.989504358283549e-6,4.268769663363397e-5,2.5336852240327096e-5,208/10000/302/382/581/329/55845/836/840/841/1639/10540/10671/6993/6990/8772/2597/8517/3553/3654/51135/5604/5608/5601/4790/6237/51429/23118/7186/10810,30
1,Organismal Systems,Immune system,hsa04620,Toll-like receptor signaling pathway,18/461,109/9521,0.1651376146788991,3.4105753348325343,5.709496831580716,4.289833722226564e-6,4.314366114575242e-5,2.560748538246004e-5,208/10000/841/6351/6352/958/6373/8772/8517/3553/3654/51135/5604/5608/5601/4790/6773/23118,18
1,Human Diseases,Infectious disease: viral,hsa05170,Human immunodeficiency virus 1 infection,27/461,214/9521,0.1261682242990654,2.6057433048837346,5.35899050633247,4.405320271158719e-6,4.314366114575242e-5,2.560748538246004e-5,208/10000/8906/581/598/637/836/841/842/1399/6923/8772/8517/3654/51135/3708/5604/5608/5601/4772/4790/10298/2923/5534/23118/7186/85363,27
1,Organismal Systems,Nervous system,hsa04722,Neurotrophin signaling pathway,19/461,120/9521,0.15833333333333333,3.270046999276934,5.644731432411298,4.4353296504979125e-6,4.314366114575242e-5,2.560748538246004e-5,25/208/10000/581/627/1399/2309/3654/51135/9500/5604/4217/5601/9261/4790/4794/10019/6272/7157,19
1,Human Diseases,Infectious disease: viral,hsa05169,Epstein-Barr virus infection,26/461,205/9521,0.12682926829268293,2.6193957991640655,5.28713058460937,6.022079355400749e-6,5.565382832338974e-5,3.303276906553055e-5,208/10000/581/10018/637/836/841/842/958/1026/5610/8772/8517/3654/51135/4067/5608/5601/57506/4790/4794/2923/6773/23118/7157/7186,26
1,Human Diseases,Endocrine and metabolic disease,hsa04933,AGE-RAGE signaling pathway in diabetic complications,17/461,101/9521,0.16831683168316833,3.4762354760421816,5.643285403244802,6.0681744277839284e-6,5.565382832338974e-5,3.303276906553055e-5,208/10000/581/836/2308/3553/5601/4772/4790/5330/5054/4087/4088/6777/7040/7422/7424,17
1,Human Diseases,Endocrine and metabolic disease,hsa04932,Non-alcoholic fatty liver disease,22/461,157/9521,0.14012738853503184,2.89404092460312,5.397756888595885,6.290549601634169e-6,5.609073394790467e-5,3.329208999695277e-5,208/10000/581/10018/637/836/840/841/1329/1340/9451/3553/4217/5601/4698/4713/4790/4726/5564/6390/7040/7186,22
1,Organismal Systems,Immune system,hsa04625,C-type lectin receptor signaling pathway,17/461,105/9521,0.1619047619047619,3.343807457907241,5.4473865540217865,1.0397886455444844e-5,9.020869059994041e-5,5.3542459414950686e-5,208/10000/23365/841/6361/51266/8517/3553/3708/5601/9261/4772/4790/5534/6237/6714/6773,17
1,Environmental Information Processing,Signal transduction,hsa04015,Rap1 signaling pathway,26/461,212/9521,0.12264150943396226,2.5329063152294027,5.091395879860582,1.1122513393562656e-5,9.285572501390418e-5,5.511358002136959e-5,208/10000/284/1399/1950/55740/2149/2247/2533/2778/27040/5604/5608/56288/5154/5155/5330/25865/9693/6237/56034/6714/7408/10451/7422/7424,26
1,Organismal Systems,Immune system,hsa04657,IL-17 signaling pathway,16/461,95/9521,0.16842105263157894,3.4783879438292042,5.476110598113562,1.1281536683932285e-5,9.285572501390418e-5,5.511358002136959e-5,836/841/6361/2919/2921/6374/6372/8772/8517/3553/5601/4312/4790/23118/7186/29761,16
1,Genetic Information Processing,"Folding, sorting and degradation",hsa04130,SNARE interactions in vesicular transport,9/461,33/9521,0.2727272727272727,5.63261684085979,6.013133578937589,1.8423051261904887e-5,1.4784498637678673e-4,8.775190206328379e-5,8773/9342/8675/6810/10228/8417/9482/8673/143187,9
