dataset,feature,n,R2_all,partR2_sex,partR2_age,p_sex,p_age,beta_sex,q_sex,q_age
metabolome,fid_23420,10536,0.013374642573696582,0.004462605282934962,0.009386073645517135,6.75026662852376e-12,2.1802557137936763e-21,0.014135086248258622,8.488971669204123e-12,4.176028251804811e-21
metabolome,fid_23556,10536,0.12337514523637794,0.12176762743346847,9.769337940702671e-4,2.649396560233312e-299,0.016228374397091568,-0.004932998521536656,2.1989991449936493e-298,0.016697790185437194
metabolome,fid_23493,10536,0.040438726841086736,0.036400502707313986,0.004896543238857465,6.552669388593815e-87,3.4792905132114884e-11,0.0053157526654912905,1.4187953719650956e-86,4.7864272806058595e-11
metabolome,fid_23521,10536,0.049760608823331665,0.03314101676089676,0.016500107126415364,3.621708935109388e-79,9.496251369006436e-38,-0.005399150766854497,7.515046040351981e-79,6.954607620242948e-37
metabolome,fid_23582,10198,0.0237164001765644,0.023430192154780594,5.267135844466697e-4,1.713826762153309e-54,0.1465945457442458,-1.3264514230435132,3.026545133164354e-54,0.14778154611464456
metabolome,fid_23612,10536,0.010398838100787233,0.008951630537370137,0.0012403202031887606,2.2270649166618813e-22,0.004486516275348391,-0.19802294667989856,3.187006691085106e-22,0.004774113472486108
metabolome,fid_23637,10536,0.11542407983337422,0.11265141261425671,0.0018023468508953089,1.1345937944714292e-275,2.735887551961985e-4,-0.772867107823523,8.309231024217231e-275,3.001039649508962e-4
metabolome,fid_23617,10536,0.07426124565936698,0.06031891673507572,0.014328914967473905,1.6926513731998886e-144,9.773604443524086e-33,-0.6216256251917236,5.936199886292568e-144,5.07005730507812e-32
metabolome,fid_23592,10535,0.012906913830981859,0.009253891114385793,0.0037051619979935335,4.417246487211325e-23,1.6613817060184983e-8,0.2473107316965978,6.432130849798948e-23,2.1106328816255412e-8
metabolome,fid_23642,10536,0.20121722826858157,0.19537504761056257,0.0060707725286416325,0,7.702131632455267e-14,-0.6139265371090589,0,1.1623216827159765e-13
metabolome,fid_23622,10536,0.05624808907369705,0.04278770456653813,0.013763628629933411,3.742447570851335e-102,1.9612398115809446e-31,-0.753316703536148,9.318694451419825e-102,8.879067510611914e-31
metabolome,fid_23597,10536,0.08436257577609385,0.0764126024356625,0.007037428179121008,4.70994181543746e-184,4.928229434271793e-16,-0.9564313880474029,2.299559827537113e-183,8.073217954826819e-16
metabolome,fid_23647,10536,0.09106253825801747,0.08390354315574655,0.006888827153473609,1.0709334224220175e-202,1.0724532885728576e-15,-0.30248485018773424,5.797009177893094e-202,1.7340316159392308e-15
metabolome,fid_23627,10536,0.03031404219728495,0.018224579507939875,0.011927381947653859,4.990853861014623e-44,3.2780716866628096e-27,-0.5112065003550205,8.229951068825438e-44,9.17123426942741e-27
metabolome,fid_23602,10536,0.07780851063286509,0.0603254248671955,0.017515355128368326,1.6319472913245182e-144,4.2516750522973786e-40,-1.0726865118795654,5.805069650568643e-144,4.41111286675853e-39
metabolome,fid_23632,10532,0.18086724100166318,0.17955651251365046,0.001312554704640423,0,0.0031503537550957414,3.0205458546301,0,0.003366687060166694
metabolome,fid_23587,10444,0.057135117537506,0.05507096937801925,0.001735315619963651,1.3107195731718652e-130,4.1320503115097154e-4,-0.7708849403659189,4.07961467149743e-130,4.5126338928329785e-4
metabolome,fid_23607,10536,0.017093771064387475,0.012372745670267915,0.004223660667296514,2.349743281604864e-30,1.1387714821493033e-9,-0.12987190682913716,3.54597622496734e-30,1.492389995027245e-9
metabolome,fid_23470,10512,0.014153542557150733,7.9631228028898e-5,0.014051336116212787,0.3603483630832104,5.046848171885525e-32,0.020667398508424195,0.3754257004507087,2.4166638361528765e-31
metabolome,fid_23461,10497,0.006917886237300164,0.00313480833334312,0.003955877968255916,9.502293686548065e-9,4.903486105730028e-9,0.00879946615152049,1.1485782174516835e-8,6.3262592763045434e-9
metabolome,fid_23462,10525,0.11257551840201108,0.10831247657699028,0.0037183791226899077,3.104508572107401e-264,1.5803903857673252e-8,-0.04162232784417628,2.089250363391197e-263,2.0180369541336614e-8
metabolome,fid_23480,10536,0.014381210375852271,3.006022920000184e-4,0.014080682853928828,0.07518783628727792,3.648723236549012e-32,-0.003945537861102253,0.08139900537187914,1.8121466572864455e-31
metabolome,fid_23406,10536,0.18470595998289896,0.1813460535228354,0.002955885203693387,0,7.805159649066183e-7,-0.26829551591559647,0,9.526886042242548e-7
