protein,module_protein,degree_pp
CXCL3,1,791
CXCL5,1,719
CCL2,2,13
CXCL6,1,735
CRTAM,3,50
CSTB,2,388
CWC15,2,232
CPTP,4,34
CXCL8,2,400
CYB5R2,1,832
DAAM1,1,860
DAB2,1,852
DAG1,1,883
DAPK2,1,740
DAPP1,1,780
DARS1,1,842
DBI,1,881
DBN1,1,818
CREBZF,4,37
DBNL,1,867
DCTD,1,854
DCTN1,1,841
DCTN2,1,743
CTHRC1,3,32
CCAR2,4,9
CDKL5,4,8
CHCHD6,3,22
DCTN6,1,791
DCTPP1,3,142
DCXR,3,140
DDAH1,3,891
CLNS1A,2,71
DDI2,2,126
CYTH3,4,21
DCUN1D1,4,48
CD164L2,4,4
CHRM1,4,18
DDX1,4,40
DDHD2,1,862
DDT,2,253
DDX58,2,727
CLEC5A,3,50
CRISP3,3,5
DECR1,1,856
DENR,1,798
DFFA,1,895
DGKA,1,888
DGKZ,1,513
DHRS4L2,1,716
CXCL12,1,48
DIABLO,1,849
DCN,3,13
DKK1,1,758
CLEC7A,3,21
CTSS,3,47
CTSZ,3,166
CX3CL1,3,102
DDR1,3,117
DEFA1_DEFA1B,3,77
DLK1,3,69
DLG4,1,858
APOL1,3,5
DMD,1,647
DNAJA2,1,862
DNAJB1,2,887
DNAJA4,2,111
DNAJB14,1,865
DNAJB2,2,814
DNAJB6,1,869
DNAJB8,1,415
DNAJC21,1,790
DNAJC6,1,884
CA6,3,1
DNAJC9,2,856
DNM1,1,810
DNM3,1,785
DNMBP,1,848
DNPEP,2,29
DNPH1,2,679
DOK1,1,840
CNTNAP2,3,16
CLEC3B,3,14
DNER,3,29
DPP10,3,14
CTSC,3,9
DOK2,1,863
DLL1,3,298
BCL2,2,21
DPP7,1,666
DPY30,2,920
DPT,3,124
DSC2,3,248
CST6,3,25
DSG3,3,84
DRG2,1,870
DTD1,1,864
DTNB,1,754
DTYMK,2,904
DUSP3,1,529
DUT,1,847
DXO,1,885
DYNLT1,1,662
DYNLT3,1,764
C1QA,3,2
CSF1R,3,66
CXADR,3,33
EBAG9,1,869
ECHDC3,3,69
ECHS1,1,850
DTX3,3,129
ECI2,1,741
EDAR,1,698
CXCL17,3,19
CEBPA,4,24
EDF1,1,705
EDA2R,3,134
EDN1,3,57
EEF1D,1,868
CXCL16,3,52
DSG2,3,68
EFCAB14,3,195
EFEMP1,3,231
CALCA,3,6
CD7,3,10
CLEC10A,3,4
CXCL9,3,48
DKK4,3,8
DRAXIN,3,49
EFNA1,3,235
EFCAB2,1,772
EGF,1,840
CNDP1,3,3
DPP4,3,62
CEBPB,2,40
EGLN1,2,823
EHBP1,1,852
DDX25,4,37
EHD3,1,806
EIF2AK2,1,869
EIF1AX,4,163
EIF2AK3,1,686
EIF2S2,1,731
EIF4B,1,860
EIF4E,1,890
EIF4EBP1,2,796
EIF4G1,1,870
EIF4G3,1,777
EIF5,1,494
ELAC1,1,859
DSG4,3,10
DKK3,3,63
EGFR,3,28
ELOB,1,693
ENAH,1,589
ENO1,1,854
DDA1,4,5
ENO2,1,863
ENG,3,96
ELOA,2,231
CLEC12A,4,11
DCBLD2,3,4
EFNA4,3,336
CD207,3,3
ELN,3,40
EPHA1,3,159
DIPK2B,3,12
EPHA2,3,286
CTSB,3,7
EPHA4,3,132
ADGRB3,3,7
CCER2,3,6
EPHB4,3,244
DDC,3,6
ENO3,3,43
CPB2,3,35
ERBB2,3,130
CNTN5,3,11
DPP6,3,40
ENOX2,1,665
ENSA,1,726
ENTR1,2,486
EPPK1,1,541
EGFL7,3,54
ERBIN,1,863
EREG,1,825
EFHD1,3,28
ERMAP,1,656
ERP29,1,868
EPHB6,3,227
ERP44,1,832
COL4A1,3,6
DMP1,3,9
CFC1,4,23
EDNRB,4,22
ESAM,3,872
ESYT2,1,849
CD6,2,6
EPS8L2,3,123
ERBB3,3,32
CLU,3,20
EVI5,1,856
F11R,1,869
EPCAM,3,7
F10,3,16
F7,3,72
CES2,3,6
CLIC5,3,5
FABP1,3,127
CSRP3,3,10
DUSP29,3,6
EZR,2,117
F9,3,94
FABP3,3,112
ERI1,2,223
F2R,1,863
FABP4,3,212
FABP2,3,15
ENDOU,3,15
FABP5,1,904
FADD,1,869
FAM13A,1,839
CTSE,3,4
FAM3B,3,9
CLEC4M,3,3
FAM172A,1,870
FAM3C,3,251
ESM1,3,23
FBLN2,3,181
FCAMR,3,112
FCER2,3,105
FCRL1,3,77
FCRL2,3,19
C4BPB,3,2
F11,3,24
F13B,3,16
FAM20A,3,80
EP300,4,61
FARSA,1,797
FDX2,1,408
FES,1,272
FGD3,1,874
EPO,3,2
CLSTN3,3,25
FAS,3,92
FGF21,3,48
FGA,3,40
ARID4B,2,5
FEN1,2,113
FGF2,1,791
FGR,2,304
FGFBP3,1,370
FHIT,1,868
FIS1,1,874
FKBP14,1,855
FKBP1B,1,839
FKBP4,1,878
FKBP5,1,856
FKBP7,1,631
FKBPL,1,887
CD200R1,3,4
FLI1,1,869
ECM1,3,5
FAP,3,49
ESR1,4,36
F3,3,50
FGFR2,3,265
FLRT2,3,102
FNTA,1,825
FMR1,1,413
FOXJ3,1,828
FOLH1,4,35
FOXO1,1,847
FOXO3,1,771
CGA,4,2
FOLR1,3,140
FOLR2,3,143
FSTL1,3,82
ENPP7,3,8
FBP1,3,52
FTCD,3,111
FLT4,3,9
FN1,3,26
FSTL3,3,328
FUOM,3,123
FMNL1,2,75
FRMD4B,1,772
FUS,2,776
FUT8,1,579
FXN,1,869
FURIN,3,247
FXYD5,1,834
FYB1,1,860
GADD45GIP1,1,857
ENPP2,3,8
CHGA,3,9
GAPDH,1,670
GATD3,1,844
GBP2,1,261
GBP4,1,473
GCC1,1,860
GBP1,2,107
GCLM,2,646
FNDC1,3,32
GAS6,3,96
GDF15,3,129
GFER,1,888
GGACT,1,858
CEACAM1,3,8
ENTPD2,3,8
GGCT,1,874
GCG,3,13
AGR2,3,7
GCHFR,2,159
GIGYF2,1,811
GIPC3,1,842
GGT1,3,106
GHR,3,70
GIT1,1,845
GLA,3,511
ARHGEF5,3,1
ATP6V1D,3,1
B3GNT7,3,3
CDH4,3,1
CDK1,3,1
CEND1,3,1
CLSPN,3,1
CSH1,3,1
DBH,3,1
ENPP5,3,2
ENTPD6,3,1
EPHX2,3,2
EXOSC10,3,1
FABP9,3,5
FCRL6,3,9
FGFBP2,3,1
GALNT5,3,3
GLB1,1,633
GLO1,2,667
CD3D,4,9
GLOD4,2,896
GGA1,4,31
GFRA1,3,275
GLRX5,1,861
GLRX,2,254
GMFG,1,866
GET3,2,5
GMPR,2,757
GMPR2,1,892
GNAS,1,459
GNE,1,827
GNPDA2,1,820
GGH,3,50
GOLGA3,1,801
GOPC,1,856
GORASP2,1,862
GLIPR1,3,153
GP1BA,1,772
CTRL,5,17
CUZD1,5,1
GP1BB,1,815
GP5,1,777
GFRA3,3,64
GP6,1,854
CES3,3,6
GOT1,3,118
GPC5,1,224
GLP1R,4,26
GPHA2,4,2
GPI,1,892
GRAP2,1,852
GRHPR,1,888
GOLM2,3,104
GALNT10,3,50
GPD1,3,113
GPRC5C,3,33
GRK5,1,644
GRPEL1,3,727
GPC1,3,73
GSN,3,25
GSTA1,3,119
GRSF1,1,807
GSR,2,618
GSTT2B,1,179
CALY,4,12
ERN1,3,7
GSTA3,3,91
GTPBP2,1,865
GCNT1,3,58
GNLY,3,3
GZMA,3,45
GZMB,3,9
GIPC2,2,50
GNPDA1,2,22
GSTP1,1,134
GYS1,1,843
GM2A,3,148
GRN,3,82
HARS1,1,872
HAGH,2,123
HBQ1,2,66
HBEGF,1,738
GLI2,4,54
HCLS1,1,867
HDDC2,2,353
GPKOW,2,66
HDGF,2,583
HEG1,3,67
HDGFL2,2,874
CST7,3,5
CXCL13,3,8
FCAR,3,12
FCN1,3,13
GUSB,3,163
HAVCR2,3,284
HEXIM1,1,867
HGF,3,287
HGS,1,864
HHEX,1,888
GPR37,3,73
HLA_A,3,1
HAO1,3,71
HMGCL,1,844
HIP1R,2,118
HMOX2,3,629
DHPS,2,3
HNRNPK,1,872
HNRNPUL1,2,930
HPCAL1,1,841
HPSE,1,843
HS1BP3,1,868
HSBP1,1,729
HSD17B3,1,323
HSDL2,1,652
HSPA1A,1,898
HNMT,3,197
FGF23,3,12
GUCA2A,3,57
HLA_E,3,129
HSPB6,3,102
CTNNA1,4,4
ECSCR,4,7
HSPB1,1,789
HSPG2,3,305
HTRA2,1,868
HYAL1,3,28
FCRL5,3,12
ICAM1,3,163
ICAM2,3,37
GALNT7,3,2
CLC,2,12
IDO1,3,20
