name,wX_01,wX_02,wX_03,wX_04,wX_05,wX_06,wX_07,wX_08,wX_09,wX_10
IGFBP7,-0.054430777960913244,0.014789933937523946,-0.09158996639063288,0.1257243506218028,0.015509461402345328,-0.02873468021555735,-0.09198082503682894,0.07324407938156886,-0.012612283028305344,0.21674596510841287
IL12B,-0.0022932457058782328,-0.023478329556816824,-0.02890696148807685,-0.005903014319307316,-0.04242714378921157,-0.0037934571952861146,-0.03665023282840882,-0.01923939579427579,-0.051377466633705134,-0.033871220226477476
IL16,0.08046694422617785,-0.021955021788964805,-0.07582197612003536,0.005530112325465482,-0.034091579613884794,0.041956628300613544,-0.06556630049408005,-0.05915073465379407,-0.0567495759157056,0.04354274179512548
IL18R1,0.06487287460297526,2.822929161212968e-4,0.019393726230418257,-0.054434311438999725,-0.10436864586549482,-0.04261789507453851,0.011582831207639276,-0.044500103042816694,0.04542996887934346,0.041817648008892754
ITGAV,-0.06626944898295213,-0.13557671246137745,0.1048432572741209,-0.07733142551314155,-0.054488119034557955,0.12967387518885917,-0.05534356632136279,0.0880822698190005,-0.0016854906921581435,-0.09767857909537306
ITGB7,-0.022334237216240692,0.00395743476343093,-0.05001753332523356,-0.0011103857289789638,0.04127341129875065,-0.01397213779038847,0.04090443855867939,-0.008666993267797945,0.06539599209942114,0.10522984240642896
KLK14,-0.0015801856130495569,0.08982979649322523,0.06278627981377001,-0.0555181271368138,-0.03280276383092441,-0.016083874271289805,0.014731560515545116,0.07239691475338131,0.023492719943920576,-0.04884056947233166
KLK4,0.009628519106325095,0.03458249212659257,0.009307914285085421,-0.020114853116192467,0.0023695986647255768,0.024954436663539248,0.029018187406489173,-0.018036516610162492,0.040664754329221175,0.023028378989584975
KLRB1,0.023992314138193842,0.023303068569053283,-0.05551538834983794,0.03060684322760053,-0.05262772732787169,0.024069480384514126,0.15947641673051444,0.08209901881556067,0.08933043357563389,0.013237561899276603
KLRD1,0.02831063412645377,0.0033432576417516684,0.04448411309621659,-0.012405164496004397,-0.05106068385120208,-0.04480012909265991,-0.0207563129725071,-0.06618042755443965,-0.022043535799996135,0.021026049032266313
KYNU,0.005077613136385517,-0.09028863978292277,-0.0021060128783077885,0.028842010397315605,-0.04894887586950733,-0.12022429773505244,-0.08141756533230186,-0.06561608192023323,-0.15100654361803237,-0.007097184668513358
LAT,-0.005217883124821865,0.07246357926049725,-0.10373920108908725,0.0032136776300684417,0.13279670721095213,0.05791778395884441,0.2072410396713298,-0.3824662288093501,-0.02655290563518016,-0.11342860825627842
LILRB1,0.01593119799765759,0.08703378826786784,-0.022524163021579387,0.010658535714515317,-0.003085571974156708,0.014254339851599067,-0.052484787379108534,-0.05863490485990689,-0.00759884458572855,0.11387563999604815
LILRB5,1.535884751392934e-4,0.0020741112175273898,0.032101987420602135,-0.004219606553622263,0.0015597579396794661,0.010058886066289295,-0.016900718084433303,-0.02022399121765826,0.04452951254228287,0.016715181525041197
LTA4H,-0.013218538296749726,0.08256441295978138,-0.012101111916059068,-0.07906382170526734,0.021934211718605486,-0.01606310837535407,0.008166200295546126,0.044243305285596016,-0.031732657573166505,-0.014593103213243681
LTBP2,0.03383148916612921,0.15754270655518868,0.09776946034693737,-0.06528127724503117,-0.09140241226075968,-0.015443575635356713,0.03470126810702798,0.02477095468227882,0.21934344402362363,0.07044820354749103
MB,-0.05266784873821315,0.041329753718586805,-0.1031597735145659,0.07590197597441453,0.016596437845845972,-0.20199182934919638,0.19933625962604312,0.11901542933966475,-0.0011880142835807848,-0.13584700005619502
MERTK,-0.027071079896747965,-0.03673113386935436,0.08375458572114142,0.010106741742206047,-0.015889740701792138,0.06272113474131624,0.03146882314053962,0.06351182778094931,-0.058629270813831874,-0.19250035514334796
MFAP5,0.026457943919649944,-0.010556840291235253,-0.07910261557797295,-0.009765533036065083,0.08719258594129344,0.10027477603386976,-0.13959535183720412,0.07595831843889843,0.037621541118712,-0.03441523273694259
MOG,-0.04568310157840959,0.012870227932012942,0.09967393564310209,-0.12788774457289245,-0.09617850600203454,-0.07277676753241215,-0.08628370871688297,-0.004871970906105466,-0.06215401090206965,0.022614314505645706
NCS1,-0.009973496474449657,-0.08799410211890474,-0.19385098102888557,-0.05764602819573697,-0.021189569977969915,-0.22776433676321003,0.2279117089007911,-0.2461565630526174,0.035144867241483004,0.21923421267643903
NFASC,0.04170656127221837,-0.0740479559187846,-0.09627940423613081,0.30435375921445795,0.016241769837825184,-0.03658804984026194,0.040015718800442045,-0.07037320743833621,0.09563178556424191,0.027036870718811386
NOTCH1,0.01680360554806961,0.02257619025703157,-0.13675560174786483,-0.01028435200365124,0.1422646173153135,-0.07070942679916505,0.09260186413227155,0.10945481009932544,0.13632472484673605,-0.03193969536985889
NOTCH3,-0.16894743077778898,0.03397964218804398,0.17856481071389402,0.16948327252859355,-0.006980967866120529,0.23450087799561029,-0.21842896863713362,-0.0990251445760117,0.050413563521662555,-0.11675388247563186
NPY,0.05967701051396114,-0.14146643467754536,-0.16801756432485426,-0.048200578771024814,0.08176122192062527,0.10375394232094308,-0.015414037180336517,-0.03219516622501661,0.2613896530842387,-0.36431839169384017
NUDC,-0.0504434903003097,-0.06904154317806704,0.10038629912140459,-0.02287512232051269,-0.07950935486658725,-0.159058219777361,0.11467231050094143,0.09978526889742145,0.038894538887821725,0.2065394321353475
PCSK9,0.07531509469116053,-0.23557854004979964,0.25926120640537037,0.09428333917619636,-0.1664122592618687,0.028511460681683972,0.04326486530310809,0.37576409893615037,0.29199616969238973,-0.11365605111392132
