name,u_01,u_02,u_03,u_04,u_05
DARS1,0,0,0,0,0
DBI,0,0,0,0,0.011964728096180323
DBNL,0,0,0,0,0.018932818145244584
DCBLD2,0,0,0,-0,0
DCN,-0,-0,-0,-0,-0
DCTN1,0,0,0,0,0.03291836403960322
DCTN2,0,0,0,0,0
DCTN6,0,0,0,0,0
DCTPP1,0,0,0,0,0
DCXR,0.041658822032020294,0.05416928095256367,0.030039982247894642,0.052790133473736824,0
DDAH1,0.0382212416033964,0.038093785172542825,0,0.035615331574163224,0
DDC,-0,-0,-0,-0,-0
DDR1,0,0,0,0,0
DDX58,0,0,0,0,0
DECR1,0,0,0,0,8.121940649928746e-5
DEFA1_DEFA1B,0,0,0,0,0
DEFB4A_DEFB4B,0.06303295345503995,0.06420123382649932,0.01013875493772366,0.0580348127111872,-0
DFFA,0,0,0,0,0.009228323235827413
DGKZ,0,0,0,0,0
DIABLO,0,0,0,0,0
DKK1,2.239632167982588e-5,0.00738368878192619,0,0.02281424281857172,0.03739645750298308
DKK3,-0,-0,-0,-0,-0
DKK4,0,0,0,0,0
DKKL1,-0,-0,-0,-0,-0
DLK1,0,0.004282158851075541,0,0.010554633415380713,0.03492048195531795
DLL1,0,0,0,0,0
DNAJA2,0,0.006518856366089478,0,0.0228874977628767,0.035252708680241954
DNAJB1,0.03958004290298698,0.04926460124448501,0,0.06172807314890662,0
DNAJB8,0,0,0,0,0
DNER,-0,-0,-0,0,-0
DNMBP,0,0,0,0,0.03601423639472086
DNPH1,0,0,0,0,0
DOK2,0,0,0,0.010545994824333268,0.034016285504290485
DPEP1,-0,-0,-0,-0,-0
DPEP2,-0,-0,-0,-0,-0
DPP10,-0,0,-0,-0,-0
DPP4,0,0,-0,0,0
DPP6,-0,-0,-0,-0,-0
DPP7,0,0,0,0,0
DPT,0,0,0.012952636472427488,0,0.025006798406700052
DPY30,0.06922719842604504,0.05982223600104858,0.0613176570929928,0.04338401514727612,-0
DRAXIN,0,0,0,0,0
DRG2,0,0,0,0,0
DSC2,0,0,0,-0,0
DSG2,-0.056970790321286685,-0.06215221850285394,-0.06259881018754972,-0.05798916837991428,0
DSG3,0,0,0,0,0
DSG4,0,0,-0,0,0
DTX3,0,0,0,0,1.817099268792999e-4
DUOX2,0,0,0,0,0
