ontology,pathway_id,pathway_description,module_protein,protein,metabolite_label
GO,GO:0010721,negative regulation of cell development,3,ADIPOQ,Concentration of Chylomicrons and Extremely Large VLDL Particles
GO,GO:0010721,negative regulation of cell development,3,ADIPOQ,Phospholipids in HDL
GO,GO:0010721,negative regulation of cell development,3,ADIPOQ,Triglycerides to Total Lipids in Medium VLDL percentage
GO,GO:0010721,negative regulation of cell development,3,ADIPOQ,Triglycerides to Total Lipids in Very Large HDL percentage
GO,GO:0010721,negative regulation of cell development,3,ADIPOQ,Free Cholesterol in Medium HDL
GO,GO:0010721,negative regulation of cell development,3,ADIPOQ,Total Lipids in Chylomicrons and Extremely Large VLDL
GO,GO:0010721,negative regulation of cell development,3,ADIPOQ,Phospholipids to Total Lipids in Large VLDL percentage
GO,GO:0010721,negative regulation of cell development,3,ADIPOQ,Apolipoprotein A1
GO,GO:0010721,negative regulation of cell development,3,ADIPOQ,Cholesterol to Total Lipids in Very Large VLDL percentage
GO,GO:0010721,negative regulation of cell development,3,ADIPOQ,Free Cholesterol to Total Lipids in Small VLDL percentage
GO,GO:0010721,negative regulation of cell development,3,ADIPOQ,Triglycerides to Total Lipids in IDL percentage
GO,GO:0010721,negative regulation of cell development,3,ADIPOQ,Cholesteryl Esters to Total Lipids in Very Large VLDL percentage
GO,GO:0010721,negative regulation of cell development,3,ADIPOQ,Concentration of Medium HDL Particles
GO,GO:0010721,negative regulation of cell development,3,ADIPOQ,Phospholipids to Total Lipids in Small VLDL percentage
GO,GO:0010721,negative regulation of cell development,3,ADIPOQ,Free Cholesterol to Total Lipids in Medium VLDL percentage
GO,GO:0010721,negative regulation of cell development,3,ADIPOQ,Cholesteryl Esters to Total Lipids in Large VLDL percentage
GO,GO:0010721,negative regulation of cell development,3,ADIPOQ,Free Cholesterol to Total Lipids in Very Large VLDL percentage
GO,GO:0010721,negative regulation of cell development,3,ADIPOQ,Phospholipids to Total Lipids in Very Large HDL percentage
GO,GO:0010721,negative regulation of cell development,3,ADIPOQ,Cholesterol to Total Lipids in IDL percentage
GO,GO:0010721,negative regulation of cell development,3,ADIPOQ,Valine
GO,GO:0010721,negative regulation of cell development,3,ADIPOQ,Total Lipids in Medium HDL
GO,GO:0010721,negative regulation of cell development,3,ADIPOQ,Triglycerides to Total Lipids in Very Large VLDL percentage
GO,GO:0010721,negative regulation of cell development,3,ADIPOQ,Phospholipids to Total Lipids in Very Small VLDL percentage
GO,GO:0010721,negative regulation of cell development,3,ADIPOQ,Concentration of HDL Particles
GO,GO:0010721,negative regulation of cell development,3,ADIPOQ,Cholesteryl Esters to Total Lipids in IDL percentage
GO,GO:0010721,negative regulation of cell development,3,ADIPOQ,Total Concentration of Branched-Chain Amino Acids (Leucine + Isoleucine + Valine)
GO,GO:0010721,negative regulation of cell development,3,ADIPOQ,Triglycerides to Total Lipids in Small VLDL percentage
GO,GO:0010721,negative regulation of cell development,3,ADIPOQ,Free Cholesterol to Total Lipids in Large HDL percentage
GO,GO:0010721,negative regulation of cell development,3,ADIPOQ,Phospholipids to Total Lipids in Medium VLDL percentage
GO,GO:0010721,negative regulation of cell development,3,ADIPOQ,Phospholipids in Medium HDL
GO,GO:0010721,negative regulation of cell development,3,ADIPOQ,Leucine
GO,GO:0010721,negative regulation of cell development,3,ADIPOQ,Apolipoprotein B to Apolipoprotein A1 ratio
GO,GO:0010721,negative regulation of cell development,3,ADIPOQ,Cholesterol to Total Lipids in Small VLDL percentage
GO,GO:0010721,negative regulation of cell development,3,ADIPOQ,Free Cholesterol to Total Lipids in Small HDL percentage
GO,GO:0010721,negative regulation of cell development,3,ADIPOQ,Average Diameter for LDL Particles
GO,GO:0010721,negative regulation of cell development,3,APCS,Glycoprotein Acetyls
GO,GO:0010721,negative regulation of cell development,3,APCS,Average Diameter for HDL Particles
GO,GO:0010721,negative regulation of cell development,3,APCS,Phospholipids in Very Large HDL
GO,GO:0010721,negative regulation of cell development,3,APCS,Free Cholesterol in Large VLDL
GO,GO:0010721,negative regulation of cell development,3,APCS,Cholesteryl Esters in Large HDL
GO,GO:0010721,negative regulation of cell development,3,APCS,Cholesteryl Esters in Very Large VLDL
GO,GO:0010721,negative regulation of cell development,3,APCS,Total Lipids in Very Large HDL
GO,GO:0010721,negative regulation of cell development,3,APCS,Cholesterol in Very Large VLDL
GO,GO:0010721,negative regulation of cell development,3,APCS,Cholesteryl Esters in Very Large HDL
GO,GO:0010721,negative regulation of cell development,3,APCS,Cholesterol in Large HDL
GO,GO:0010721,negative regulation of cell development,3,APCS,Cholesterol in Large VLDL
GO,GO:0010721,negative regulation of cell development,3,APCS,Phospholipids in Large VLDL
GO,GO:0010721,negative regulation of cell development,3,APCS,Cholesterol in Very Large HDL
GO,GO:0010721,negative regulation of cell development,3,APCS,Monounsaturated Fatty Acids
GO,GO:0010721,negative regulation of cell development,3,APCS,Concentration of Large VLDL Particles
GO,GO:0010721,negative regulation of cell development,3,APCS,Concentration of Very Large VLDL Particles
GO,GO:0010721,negative regulation of cell development,3,APCS,Free Cholesterol in Very Large VLDL
GO,GO:0010721,negative regulation of cell development,3,APCS,Total Lipids in Large VLDL
GO,GO:0010721,negative regulation of cell development,3,APCS,Phospholipids in Very Large VLDL
GO,GO:0010721,negative regulation of cell development,3,APCS,Total Lipids in VLDL
GO,GO:0010721,negative regulation of cell development,3,APCS,Total Lipids in Small VLDL
GO,GO:0010721,negative regulation of cell development,3,APCS,Phospholipids in VLDL
GO,GO:0010721,negative regulation of cell development,3,APCS,Total Lipids in Very Large VLDL
GO,GO:0010721,negative regulation of cell development,3,APCS,Cholesteryl Esters in Large VLDL
GO,GO:0010721,negative regulation of cell development,3,APCS,Concentration of Large HDL Particles
GO,GO:0010721,negative regulation of cell development,3,APCS,Concentration of Small VLDL Particles
GO,GO:0010721,negative regulation of cell development,3,APCS,Triglycerides in Medium VLDL
GO,GO:0010721,negative regulation of cell development,3,APCS,Free Cholesterol in Large HDL
GO,GO:0010721,negative regulation of cell development,3,APCS,Total Lipids in Large HDL
GO,GO:0010721,negative regulation of cell development,3,APCS,Free Cholesterol in VLDL
GO,GO:0010721,negative regulation of cell development,3,APCS,Cholesteryl Esters in Chylomicrons and Extremely Large VLDL
GO,GO:0010721,negative regulation of cell development,3,APCS,Concentration of Very Large HDL Particles
GO,GO:0010721,negative regulation of cell development,3,APCS,Free Cholesterol in Very Large HDL
GO,GO:0010721,negative regulation of cell development,3,APCS,Triglycerides in Small VLDL
GO,GO:0010721,negative regulation of cell development,3,APCS,Concentration of VLDL Particles
GO,GO:0010721,negative regulation of cell development,3,APCS,Total Lipids in Medium VLDL
GO,GO:0010721,negative regulation of cell development,3,APCS,Phospholipids in Large HDL
GO,GO:0010721,negative regulation of cell development,3,APCS,Cholesteryl Esters in Small VLDL
GO,GO:0010721,negative regulation of cell development,3,APCS,Phospholipids in Small VLDL
GO,GO:0010721,negative regulation of cell development,3,APCS,VLDL Cholesterol
GO,GO:0010721,negative regulation of cell development,3,APCS,Concentration of Medium VLDL Particles
GO,GO:0010721,negative regulation of cell development,3,APCS,Total Fatty Acids
GO,GO:0010721,negative regulation of cell development,3,APCS,Cholesterol in Small VLDL
GO,GO:0010721,negative regulation of cell development,3,APCS,Cholesteryl Esters in Medium LDL
GO,GO:0010721,negative regulation of cell development,3,APCS,Phospholipids to Total Lipids in Large VLDL percentage
GO,GO:0010721,negative regulation of cell development,3,APCS,Phospholipids in Medium VLDL
GO,GO:0010721,negative regulation of cell development,3,APCS,Cholesteryl Esters to Total Lipids in Small LDL percentage
GO,GO:0010721,negative regulation of cell development,3,APCS,Cholesteryl Esters to Total Lipids in Medium LDL percentage
GO,GO:0010721,negative regulation of cell development,3,APCS,Total Lipids in Medium LDL
GO,GO:0010721,negative regulation of cell development,3,APCS,Phospholipids to Total Lipids in Small LDL percentage
GO,GO:0010721,negative regulation of cell development,3,APCS,Cholesteryl Esters in Small LDL
GO,GO:0010721,negative regulation of cell development,3,APCS,Cholesteryl Esters in VLDL
GO,GO:0010721,negative regulation of cell development,3,APCS,Phospholipids to Total Lipids in Very Large HDL percentage
GO,GO:0010721,negative regulation of cell development,3,APCS,Phospholipids in Medium LDL
GO,GO:0010721,negative regulation of cell development,3,APCS,Cholesterol in Medium LDL
GO,GO:0010721,negative regulation of cell development,3,APCS,Free Cholesterol in Small VLDL
GO,GO:0010721,negative regulation of cell development,3,APCS,Free Cholesterol in Medium VLDL
GO,GO:0010721,negative regulation of cell development,3,APCS,Concentration of Medium LDL Particles
GO,GO:0010721,negative regulation of cell development,3,APCS,Apolipoprotein B to Apolipoprotein A1 ratio
GO,GO:0010721,negative regulation of cell development,3,APCS,Concentration of Small HDL Particles
GO,GO:0010721,negative regulation of cell development,3,APCS,Total Lipids in Small LDL
GO,GO:0010721,negative regulation of cell development,3,APCS,Concentration of Small LDL Particles
GO,GO:0010721,negative regulation of cell development,3,APCS,Cholesterol in Small LDL
GO,GO:0010721,negative regulation of cell development,3,APCS,Apolipoprotein B
GO,GO:0010721,negative regulation of cell development,3,APCS,Concentration of LDL Particles
GO,GO:0010721,negative regulation of cell development,3,APCS,"Remnant Cholesterol (Non-HDL, Non-LDL -Cholesterol)"
GO,GO:0010721,negative regulation of cell development,3,APCS,Phospholipids in Very Small VLDL
GO,GO:0010721,negative regulation of cell development,3,APCS,Cholesteryl Esters in LDL
GO,GO:0010721,negative regulation of cell development,3,APCS,Concentration of Very Small VLDL Particles
GO,GO:0010721,negative regulation of cell development,3,APCS,Phospholipids in LDL
GO,GO:0010721,negative regulation of cell development,3,APCS,Total Lipids in LDL
GO,GO:0010721,negative regulation of cell development,3,APCS,Total Cholesterol Minus HDL-C
GO,GO:0010721,negative regulation of cell development,3,APCS,Cholesteryl Esters in Small HDL
GO,GO:0010721,negative regulation of cell development,3,APCS,Total Lipids in Very Small VLDL
GO,GO:0010721,negative regulation of cell development,3,APCS,Free Cholesterol to Total Lipids in Large VLDL percentage
GO,GO:0010721,negative regulation of cell development,3,APCS,Concentration of Large LDL Particles
GO,GO:0010721,negative regulation of cell development,3,APCS,Free Cholesterol in Very Small VLDL
GO,GO:0010721,negative regulation of cell development,3,APCS,Cholesterol in Medium VLDL
GO,GO:0010721,negative regulation of cell development,3,APCS,Phospholipids in Small LDL
GO,GO:0010721,negative regulation of cell development,3,APCS,LDL Cholesterol
GO,GO:0010721,negative regulation of cell development,3,FSTL3,Creatinine
GO,GO:0010721,negative regulation of cell development,3,FSTL3,Degree of Unsaturation
GO,GO:0010721,negative regulation of cell development,3,FSTL3,Docosahexaenoic Acid to Total Fatty Acids percentage
GO,GO:0010721,negative regulation of cell development,3,FSTL3,Omega-3 Fatty Acids to Total Fatty Acids percentage
GO,GO:0010721,negative regulation of cell development,3,IL6,Albumin
GO,GO:0010721,negative regulation of cell development,3,LDLR,Triglycerides in Small HDL
GO,GO:0010721,negative regulation of cell development,3,LDLR,Phospholipids in Large VLDL
GO,GO:0010721,negative regulation of cell development,3,LDLR,Free Cholesterol in Large VLDL
GO,GO:0010721,negative regulation of cell development,3,LDLR,Cholesterol in Very Large VLDL
GO,GO:0010721,negative regulation of cell development,3,LDLR,Free Cholesterol in Very Large VLDL
GO,GO:0010721,negative regulation of cell development,3,LDLR,Concentration of Very Large VLDL Particles
GO,GO:0010721,negative regulation of cell development,3,LDLR,Triglycerides in Small VLDL
GO,GO:0010721,negative regulation of cell development,3,LDLR,Concentration of Large VLDL Particles
GO,GO:0010721,negative regulation of cell development,3,LDLR,Phospholipids in Very Large VLDL
GO,GO:0010721,negative regulation of cell development,3,LDLR,Cholesterol in Large VLDL
GO,GO:0010721,negative regulation of cell development,3,LDLR,Cholesteryl Esters in Chylomicrons and Extremely Large VLDL
GO,GO:0010721,negative regulation of cell development,3,LDLR,Total Lipids in VLDL
GO,GO:0010721,negative regulation of cell development,3,LDLR,Total Triglycerides
GO,GO:0010721,negative regulation of cell development,3,LDLR,Total Lipids in Very Large VLDL
GO,GO:0010721,negative regulation of cell development,3,LDLR,Cholesterol in Chylomicrons and Extremely Large VLDL
GO,GO:0010721,negative regulation of cell development,3,LDLR,Total Lipids in Large VLDL
GO,GO:0010721,negative regulation of cell development,3,LDLR,Phospholipids in VLDL
GO,GO:0010721,negative regulation of cell development,3,LDLR,Triglycerides in Very Small VLDL
GO,GO:0010721,negative regulation of cell development,3,LDLR,Cholesteryl Esters in Very Large VLDL
GO,GO:0010721,negative regulation of cell development,3,LDLR,Triglycerides in Small LDL
GO,GO:0010721,negative regulation of cell development,3,LDLR,Concentration of Small VLDL Particles
GO,GO:0010721,negative regulation of cell development,3,LDLR,Triglycerides in VLDL
GO,GO:0010721,negative regulation of cell development,3,LDLR,Triglycerides in Medium VLDL
GO,GO:0010721,negative regulation of cell development,3,LDLR,Total Lipids in Small VLDL
GO,GO:0010721,negative regulation of cell development,3,LDLR,Triglycerides to Total Lipids in Small HDL percentage
GO,GO:0010721,negative regulation of cell development,3,LDLR,Triglycerides to Total Lipids in Medium HDL percentage
GO,GO:0010721,negative regulation of cell development,3,LDLR,Cholesteryl Esters in Large VLDL
GO,GO:0010721,negative regulation of cell development,3,LDLR,Triglycerides in Very Large VLDL
GO,GO:0010721,negative regulation of cell development,3,LDLR,Free Cholesterol in Chylomicrons and Extremely Large VLDL
GO,GO:0010721,negative regulation of cell development,3,LDLR,Triglycerides in Medium LDL
GO,GO:0010721,negative regulation of cell development,3,LDLR,Triglycerides to Phosphoglycerides ratio
GO,GO:0010721,negative regulation of cell development,3,LDLR,Phospholipids in Chylomicrons and Extremely Large VLDL
GO,GO:0010721,negative regulation of cell development,3,LDLR,Free Cholesterol in VLDL
GO,GO:0010721,negative regulation of cell development,3,LDLR,Triglycerides in LDL
GO,GO:0010721,negative regulation of cell development,3,LDLR,Monounsaturated Fatty Acids
GO,GO:0010721,negative regulation of cell development,3,LDLR,Free Cholesterol to Total Lipids in Medium LDL percentage
GO,GO:0010721,negative regulation of cell development,3,LDLR,Concentration of Chylomicrons and Extremely Large VLDL Particles
GO,GO:0010721,negative regulation of cell development,3,LDLR,Triglycerides in Large VLDL
GO,GO:0010721,negative regulation of cell development,3,LDLR,Concentration of VLDL Particles
GO,GO:0010721,negative regulation of cell development,3,LDLR,Cholesteryl Esters to Total Lipids in Medium HDL percentage
GO,GO:0010721,negative regulation of cell development,3,LDLR,Cholesterol to Total Lipids in Medium HDL percentage
GO,GO:0010721,negative regulation of cell development,3,LDLR,Triglycerides in IDL
GO,GO:0010721,negative regulation of cell development,3,LDLR,Total Lipids in Chylomicrons and Extremely Large VLDL
GO,GO:0010721,negative regulation of cell development,3,LDLR,Triglycerides in Large LDL
GO,GO:0010721,negative regulation of cell development,3,LDLR,Average Diameter for VLDL Particles
GO,GO:0010721,negative regulation of cell development,3,LDLR,Total Lipids in Medium VLDL
GO,GO:0010721,negative regulation of cell development,3,LDLR,Triglycerides in HDL
GO,GO:0010721,negative regulation of cell development,3,LDLR,Triglycerides to Total Lipids in Large HDL percentage
GO,GO:0010721,negative regulation of cell development,3,LDLR,Triglycerides in Medium HDL
GO,GO:0010721,negative regulation of cell development,3,LDLR,VLDL Cholesterol
GO,GO:0010721,negative regulation of cell development,3,LDLR,Triglycerides in Chylomicrons and Extremely Large VLDL
GO,GO:0010721,negative regulation of cell development,3,LDLR,Cholesteryl Esters to Total Lipids in Small LDL percentage
GO,GO:0010721,negative regulation of cell development,3,LDLR,Polyunsaturated Fatty Acids to Monounsaturated Fatty Acids ratio
GO,GO:0010721,negative regulation of cell development,3,LDLR,Cholesteryl Esters in Small VLDL
GO,GO:0010721,negative regulation of cell development,3,LDLR,Total Fatty Acids
GO,GO:0010721,negative regulation of cell development,3,LDLR,Monounsaturated Fatty Acids to Total Fatty Acids percentage
GO,GO:0010721,negative regulation of cell development,3,LDLR,Phospholipids in Small VLDL
GO,GO:0010721,negative regulation of cell development,3,LDLR,Free Cholesterol to Total Lipids in Small LDL percentage
GO,GO:0010721,negative regulation of cell development,3,LDLR,Saturated Fatty Acids
GO,GO:0010721,negative regulation of cell development,3,LDLR,Omega-6 Fatty Acids to Total Fatty Acids percentage
GO,GO:0010721,negative regulation of cell development,3,LDLR,Concentration of Medium VLDL Particles
GO,GO:0010721,negative regulation of cell development,3,LDLR,Phospholipids to Total Lipids in Large VLDL percentage
GO,GO:0010721,negative regulation of cell development,3,LDLR,Triglycerides to Total Lipids in Very Large HDL percentage
GO,GO:0010721,negative regulation of cell development,3,LDLR,Phospholipids to Total Lipids in Small LDL percentage
GO,GO:0010721,negative regulation of cell development,3,LDLR,Phospholipids in Medium VLDL
GO,GO:0010721,negative regulation of cell development,3,LDLR,Cholesterol in Small VLDL
GO,GO:0010721,negative regulation of cell development,3,LDLR,Cholesteryl Esters to Total Lipids in Large HDL percentage
GO,GO:0010721,negative regulation of cell development,3,LDLR,Free Cholesterol to Total Lipids in Large LDL percentage
GO,GO:0010721,negative regulation of cell development,3,LDLR,Polyunsaturated Fatty Acids to Total Fatty Acids percentage
GO,GO:0010721,negative regulation of cell development,3,LDLR,Cholesteryl Esters in VLDL
GO,GO:0010721,negative regulation of cell development,3,LDLR,Cholesterol to Total Lipids in Large HDL percentage
GO,GO:0010721,negative regulation of cell development,3,LDLR,Cholesteryl Esters to Total Lipids in Medium LDL percentage
GO,GO:0010721,negative regulation of cell development,3,LDLR,Phospholipids in Very Small VLDL
GO,GO:0010721,negative regulation of cell development,3,LDLR,Cholesteryl Esters in Large HDL
GO,GO:0010721,negative regulation of cell development,3,LDLR,Phospholipids to Total Lipids in Medium HDL percentage
GO,GO:0010721,negative regulation of cell development,3,LDLR,Cholesterol in Large HDL
GO,GO:0010721,negative regulation of cell development,3,LDLR,Free Cholesterol in Medium VLDL
GO,GO:0010721,negative regulation of cell development,3,LDLR,Triglycerides to Total Lipids in Small LDL percentage
GO,GO:0010721,negative regulation of cell development,3,LDLR,Glycoprotein Acetyls
GO,GO:0010721,negative regulation of cell development,3,LDLR,Free Cholesterol in Small VLDL
GO,GO:0010721,negative regulation of cell development,3,LDLR,Total Lipids in Very Small VLDL
GO,GO:0010721,negative regulation of cell development,3,LDLR,Average Diameter for HDL Particles
GO,GO:0010721,negative regulation of cell development,3,LDLR,Cholesteryl Esters in Very Large HDL
GO,GO:0010721,negative regulation of cell development,3,LDLR,Concentration of Very Small VLDL Particles
GO,GO:0010721,negative regulation of cell development,3,LDLR,Cholesterol in Very Large HDL
GO,GO:0010721,negative regulation of cell development,3,LDLR,Cholesteryl Esters in Medium LDL
GO,GO:0010721,negative regulation of cell development,3,LDLR,Triglycerides in Very Large HDL
GO,GO:0010721,negative regulation of cell development,3,LDLR,Cholesteryl Esters in Small LDL
GO,GO:0010721,negative regulation of cell development,3,LDLR,Total Lipids in Large HDL
GO,GO:0010721,negative regulation of cell development,3,LDLR,Concentration of Small LDL Particles
GO,GO:0010721,negative regulation of cell development,3,LDLR,Free Cholesterol in Large HDL
GO,GO:0010721,negative regulation of cell development,3,LDLR,Phospholipids in Very Large HDL
GO,GO:0010721,negative regulation of cell development,3,LDLR,Cholesteryl Esters to Total Lipids in Very Small VLDL percentage
GO,GO:0010721,negative regulation of cell development,3,LDLR,Concentration of Large HDL Particles
GO,GO:0010721,negative regulation of cell development,3,LDLR,Free Cholesterol in Very Small VLDL
GO,GO:0010721,negative regulation of cell development,3,LDLR,Total Lipids in Very Large HDL
GO,GO:0010721,negative regulation of cell development,3,LDLR,Triglycerides to Total Lipids in IDL percentage
GO,GO:0010721,negative regulation of cell development,3,LDLR,Phospholipids in Large HDL
GO,GO:0010721,negative regulation of cell development,3,LDLR,Total Lipids in Lipoprotein Particles
GO,GO:0010721,negative regulation of cell development,3,LDLR,Cholesteryl Esters to Total Lipids in Medium VLDL percentage
GO,GO:0010721,negative regulation of cell development,3,LDLR,Concentration of Medium LDL Particles
GO,GO:0010721,negative regulation of cell development,3,LDLR,Cholesterol to Total Lipids in Very Small VLDL percentage
GO,GO:0010721,negative regulation of cell development,3,LDLR,Total Lipids in Medium LDL
GO,GO:0010721,negative regulation of cell development,3,LDLR,Cholesterol to Total Lipids in Small HDL percentage
GO,GO:0010721,negative regulation of cell development,3,LDLR,Free Cholesterol in Very Large HDL
GO,GO:0010721,negative regulation of cell development,3,LDLR,Apolipoprotein B to Apolipoprotein A1 ratio
GO,GO:0010721,negative regulation of cell development,3,LDLR,Cholesteryl Esters to Total Lipids in Very Large VLDL percentage
GO,GO:0010721,negative regulation of cell development,3,LDLR,Apolipoprotein B
GO,GO:0010721,negative regulation of cell development,3,LDLR,Cholesterol to Total Lipids in Very Large VLDL percentage
GO,GO:0010721,negative regulation of cell development,3,LDLR,Triglycerides to Total Lipids in Very Small VLDL percentage
GO,GO:0010721,negative regulation of cell development,3,LDLR,Polyunsaturated Fatty Acids
GO,GO:0010721,negative regulation of cell development,3,LDLR,"Remnant Cholesterol (Non-HDL, Non-LDL -Cholesterol)"
GO,GO:0010721,negative regulation of cell development,3,LDLR,Cholesterol in Medium LDL
GO,GO:0010721,negative regulation of cell development,3,LDLR,Cholesterol to Total Lipids in IDL percentage
GO,GO:0010721,negative regulation of cell development,3,LDLR,Concentration of LDL Particles
GO,GO:0010721,negative regulation of cell development,3,LDLR,Total Lipids in Small LDL
GO,GO:0010721,negative regulation of cell development,3,LDLR,Phospholipids in Medium LDL
GO,GO:0010721,negative regulation of cell development,3,LDLR,Cholesterol to Total Lipids in Medium VLDL percentage
GO,GO:0010721,negative regulation of cell development,3,LDLR,Cholesteryl Esters in HDL
GO,GO:0010721,negative regulation of cell development,3,LDLR,Omega-6 Fatty Acids
GO,GO:0010721,negative regulation of cell development,3,LDLR,Cholesteryl Esters to Total Lipids in Small HDL percentage
GO,GO:0010721,negative regulation of cell development,3,LDLR,Triglycerides to Total Lipids in Large LDL percentage
GO,GO:0010721,negative regulation of cell development,3,LDLR,Cholesterol in Small LDL
GO,GO:0010721,negative regulation of cell development,3,LDLR,Concentration of Very Large HDL Particles
GO,GO:0010721,negative regulation of cell development,3,LDLR,Free Cholesterol to Total Lipids in Small VLDL percentage
GO,GO:0010721,negative regulation of cell development,3,LDLR,HDL Cholesterol
GO,GO:0010721,negative regulation of cell development,3,LDLR,Concentration of Large LDL Particles
GO,GO:0010721,negative regulation of cell development,3,LDLR,Total Lipids in Small HDL
GO,GO:0010721,negative regulation of cell development,3,LDLR,Phospholipids to Total Lipids in Small VLDL percentage
GO,GO:0010721,negative regulation of cell development,3,LDLR,Cholesterol in Medium VLDL
GO,GO:0010721,negative regulation of cell development,3,LDLR,Cholesteryl Esters to Total Lipids in IDL percentage
GO,GO:0010721,negative regulation of cell development,3,LDLR,Phospholipids to Total Lipids in Medium LDL percentage
GO,GO:0010721,negative regulation of cell development,3,LDLR,Linoleic Acid
GO,GO:0010721,negative regulation of cell development,3,LDLR,Total Cholesterol Minus HDL-C
GO,GO:0010721,negative regulation of cell development,3,LDLR,Cholesteryl Esters in LDL
GO,GO:0010721,negative regulation of cell development,3,LDLR,Phospholipids in Small HDL
GO,GO:0010721,negative regulation of cell development,3,LDLR,Linoleic Acid to Total Fatty Acids percentage
GO,GO:0010721,negative regulation of cell development,3,LDLR,Triglycerides to Total Lipids in Medium VLDL percentage
GO,GO:0010721,negative regulation of cell development,3,LDLR,Phospholipids to Total Lipids in Large HDL percentage
GO,GO:0010721,negative regulation of cell development,3,LDLR,Total Lipids in LDL
GO,GO:0010721,negative regulation of cell development,3,LDLR,Phospholipids to Total Lipids in Very Large HDL percentage
GO,GO:0010721,negative regulation of cell development,3,LDLR,Free Cholesterol to Total Lipids in Medium HDL percentage
GO,GO:0010721,negative regulation of cell development,3,LDLR,Phospholipids to Total Lipids in Very Large VLDL percentage
GO,GO:0010721,negative regulation of cell development,3,LDLR,Phospholipids to Total Lipids in Very Small VLDL percentage
GO,GO:0010721,negative regulation of cell development,3,LDLR,Triglycerides to Total Lipids in Medium LDL percentage
GO,GO:0010721,negative regulation of cell development,3,LDLR,Cholesterol in Very Small VLDL
GO,GO:0010721,negative regulation of cell development,3,LDLR,Cholesterol to Total Lipids in Large LDL percentage
GO,GO:0010721,negative regulation of cell development,3,LDLR,Phospholipids in LDL
GO,GO:0010721,negative regulation of cell development,3,LDLR,Free Cholesterol to Total Lipids in Very Large VLDL percentage
GO,GO:0010721,negative regulation of cell development,3,LDLR,Triglycerides to Total Lipids in Very Large VLDL percentage
GO,GO:0010721,negative regulation of cell development,3,LDLR,Free Cholesterol in Small HDL
GO,GO:0010721,negative regulation of cell development,3,LDLR,Total Free Cholesterol
GO,GO:0010721,negative regulation of cell development,3,LDLR,LDL Cholesterol
GO,GO:0010721,negative regulation of cell development,3,LDLR,Degree of Unsaturation
GO,GO:0010721,negative regulation of cell development,3,LDLR,Omega-3 Fatty Acids
GO,GO:0010721,negative regulation of cell development,3,LDLR,Free Cholesterol to Total Lipids in IDL percentage
GO,GO:0010721,negative regulation of cell development,3,LDLR,Free Cholesterol to Total Lipids in Large VLDL percentage
GO,GO:0010721,negative regulation of cell development,3,LDLR,Phospholipids in Small LDL
GO,GO:0010721,negative regulation of cell development,3,LDLR,Free Cholesterol to Total Lipids in Very Large HDL percentage
GO,GO:0010721,negative regulation of cell development,3,LDLR,Total Phospholipids in Lipoprotein Particles
GO,GO:0010721,negative regulation of cell development,3,LDLR,Triglycerides in Large HDL
GO,GO:0010721,negative regulation of cell development,3,LDLR,Concentration of Small HDL Particles
GO,GO:0010721,negative regulation of cell development,3,LDLR,Phospholipids to Total Lipids in Chylomicrons and Extremely Large VLDL percentage
GO,GO:0010721,negative regulation of cell development,3,LDLR,Cholesteryl Esters in Large LDL
GO,GO:0010721,negative regulation of cell development,3,LDLR,Total Lipids in Large LDL
GO,GO:0010721,negative regulation of cell development,3,LDLR,Phosphoglycerides
GO,GO:0010721,negative regulation of cell development,3,LDLR,Cholesteryl Esters in Medium HDL
GO,GO:0010721,negative regulation of cell development,3,LDLR,Concentration of IDL Particles
GO,GO:0010721,negative regulation of cell development,3,LDLR,Docosahexaenoic Acid to Total Fatty Acids percentage
GO,GO:0010721,negative regulation of cell development,3,LDLR,Triglycerides to Total Lipids in Small VLDL percentage
GO,GO:0010721,negative regulation of cell development,3,LDLR,Free Cholesterol to Total Lipids in Medium VLDL percentage
GO,GO:0010721,negative regulation of cell development,3,LDLR,Phospholipids in Large LDL
GO,GO:0010721,negative regulation of cell development,3,LDLR,Cholesteryl Esters in Very Small VLDL
GO,GO:0010721,negative regulation of cell development,3,LDLR,Clinical LDL Cholesterol
GO,GO:0010721,negative regulation of cell development,3,LDLR,Triglycerides to Total Lipids in Large VLDL percentage
GO,GO:0010721,negative regulation of cell development,3,LDLR,Free Cholesterol to Total Lipids in Large HDL percentage
GO,GO:0010721,negative regulation of cell development,3,LDLR,Cholesteryl Esters to Total Lipids in Very Large HDL percentage
GO,GO:0010721,negative regulation of cell development,3,LDLR,Cholesteryl Esters in Medium VLDL
GO,GO:0010721,negative regulation of cell development,3,LDLR,Cholesterol in Large LDL
GO,GO:0010721,negative regulation of cell development,3,LDLR,Valine
GO,GO:0010721,negative regulation of cell development,3,LDLR,Phospholipids in IDL
GO,GO:0010721,negative regulation of cell development,3,LDLR,Free Cholesterol to Total Lipids in Chylomicrons and Extremely Large VLDL percentage
GO,GO:0010721,negative regulation of cell development,3,LDLR,Total Cholesterol
GO,GO:0010721,negative regulation of cell development,3,LDLR,Free Cholesterol in Medium LDL
GO,GO:0010721,negative regulation of cell development,3,NRP1,Triglycerides in Large HDL
GO,GO:0010721,negative regulation of cell development,3,RTN4R,Cholesteryl Esters in Large HDL
GO,GO:0010721,negative regulation of cell development,3,RTN4R,Cholesterol in Large HDL
GO,GO:0010721,negative regulation of cell development,3,RTN4R,Cholesteryl Esters in Very Large HDL
