protein,metabolite,n_pair,r,p,q,r_s,p_s,q_s,sign,abs_r,metabolite_label
AMBP,fid_23489,10420,0.26135977184785825,2.5866033292579536e-162,2.1751585688316913e-160,0.2792513376355221,5.967292920445998e-186,5.901830281844612e-184,+,0.26135977184785825,Total Lipids in Very Large VLDL
ACE2,fid_23487,10146,0.2647318400775116,2.6576338772365466e-162,2.2346322689087847e-160,0.22601952654186977,1.099552116075758e-117,4.157749989542137e-116,+,0.2647318400775116,Triglycerides in Chylomicrons and Extremely Large VLDL
CNTN3,fid_23420,10349,0.2622076744184737,2.709121675469958e-162,2.277661894065234e-160,0.2597557153416291,3.3314526239902703e-159,2.3227523411830314e-157,+,0.2622076744184737,Free Cholesterol in VLDL
PAG1,fid_23617,10146,-0.26470203245094087,2.896844941387342e-162,2.4352067026508722e-160,-0.25881149912913326,5.809700346664149e-155,3.8070196940771835e-153,-,0.26470203245094087,Free Cholesterol to Total Lipids in Large LDL percentage
GOLM2,fid_23636,10430,-0.2611936095690699,2.952421953782569e-162,2.4816403896012306e-160,-0.2815687305764427,2.5212315536960578e-189,2.596237122286277e-187,-,0.2611936095690699,Cholesteryl Esters to Total Lipids in Large HDL percentage
PRCP,fid_23554,10394,-0.26162105042482264,3.0291602077312615e-162,2.5458482523238116e-160,-0.29415131443564985,1.601240516981107e-206,2.0138691580314638e-204,-,0.26162105042482264,Cholesterol in Very Large HDL
IGFBP4,fid_23618,10251,0.2633705475002898,3.073830627468319e-162,2.583093088671498e-160,0.2533931941749884,6.315123546498608e-150,3.863425590886309e-148,+,0.2633705475002898,Triglycerides to Total Lipids in Large LDL percentage
CD99L2,fid_23576,10349,0.2621270187172181,3.4276307865118807e-162,2.8800764632354916e-160,0.2588248509624486,4.863719672948761e-158,3.332027954069351e-156,+,0.2621270187172181,Cholesteryl Esters in Small HDL
SUMF2,fid_23543,10430,0.2611239164223652,3.6203993735943846e-162,3.041699659338659e-160,0.2542490248779173,1.4594393041513604e-153,9.372799174292528e-152,+,0.2611239164223652,Triglycerides in Medium LDL
FGFBP1,fid_23437,10370,0.2618507626219208,3.6333736667597376e-162,3.052247755951915e-160,0.266140392255966,1.1806384194484429e-167,9.222931404013114e-166,+,0.2618507626219208,Phosphatidylcholines
OXT,fid_23628,10430,0.26112137641407995,3.6474071957365706e-162,3.0636831356622746e-160,0.24675125729699468,1.7897098845350322e-144,1.0153551922452871e-142,+,0.26112137641407995,Triglycerides to Total Lipids in Small LDL percentage
VWA1,fid_23522,10427,0.26115034259919434,3.726066757800651e-162,3.129393018843497e-160,0.2536559363363071,8.664062197204864e-153,5.504965863644718e-151,+,0.26115034259919434,Triglycerides in Very Small VLDL
F7,fid_23512,10318,0.2624768771089226,3.7388380366872357e-162,3.1397568613452874e-160,0.26439208590550634,1.3823748630228433e-164,1.0374610738598959e-162,+,0.2624768771089226,Cholesterol in Small VLDL
