metabolite,metabolite_label,module_protein,k,K,n,p_fisher,q_fisher
fid_23510,Total Lipids in Small VLDL,3,24,1099,25,1.2060274746612617e-7,4.21152451469012e-7
fid_23511,Phospholipids in Small VLDL,3,24,1099,25,1.2060274746612617e-7,4.21152451469012e-7
fid_23514,Free Cholesterol in Small VLDL,3,24,1099,25,1.2060274746612617e-7,4.21152451469012e-7
fid_23515,Triglycerides in Small VLDL,3,24,1099,25,1.2060274746612617e-7,4.21152451469012e-7
fid_23537,Concentration of Medium LDL Particles,3,24,1099,25,1.2060274746612617e-7,4.21152451469012e-7
fid_23538,Total Lipids in Medium LDL,3,24,1099,25,1.2060274746612617e-7,4.21152451469012e-7
fid_23539,Phospholipids in Medium LDL,3,24,1099,25,1.2060274746612617e-7,4.21152451469012e-7
fid_23540,Cholesterol in Medium LDL,3,24,1099,25,1.2060274746612617e-7,4.21152451469012e-7
fid_23544,Concentration of Small LDL Particles,3,24,1099,25,1.2060274746612617e-7,4.21152451469012e-7
fid_23545,Total Lipids in Small LDL,3,24,1099,25,1.2060274746612617e-7,4.21152451469012e-7
fid_23547,Cholesterol in Small LDL,3,24,1099,25,1.2060274746612617e-7,4.21152451469012e-7
fid_23548,Cholesteryl Esters in Small LDL,3,24,1099,25,1.2060274746612617e-7,4.21152451469012e-7
fid_23550,Triglycerides in Small LDL,3,24,1099,25,1.2060274746612617e-7,4.21152451469012e-7
fid_23551,Concentration of Very Large HDL Particles,3,24,1099,25,1.2060274746612617e-7,4.21152451469012e-7
fid_23555,Cholesteryl Esters in Very Large HDL,3,24,1099,25,1.2060274746612617e-7,4.21152451469012e-7
fid_23571,Triglycerides in Medium HDL,3,24,1099,25,1.2060274746612617e-7,4.21152451469012e-7
fid_23578,Triglycerides in Small HDL,3,24,1099,25,1.2060274746612617e-7,4.21152451469012e-7
fid_23611,Cholesteryl Esters to Total Lipids in IDL percentage,3,24,1099,25,1.2060274746612617e-7,4.21152451469012e-7
fid_23615,Cholesterol to Total Lipids in Large LDL percentage,3,24,1099,25,1.2060274746612617e-7,4.21152451469012e-7
fid_23621,Cholesteryl Esters to Total Lipids in Medium LDL percentage,3,24,1099,25,1.2060274746612617e-7,4.21152451469012e-7
fid_23622,Free Cholesterol to Total Lipids in Medium LDL percentage,3,24,1099,25,1.2060274746612617e-7,4.21152451469012e-7
fid_23626,Cholesteryl Esters to Total Lipids in Small LDL percentage,3,24,1099,25,1.2060274746612617e-7,4.21152451469012e-7
fid_23628,Triglycerides to Total Lipids in Small LDL percentage,3,24,1099,25,1.2060274746612617e-7,4.21152451469012e-7
fid_23632,Free Cholesterol to Total Lipids in Very Large HDL percentage,3,24,1099,25,1.2060274746612617e-7,4.21152451469012e-7
fid_23633,Triglycerides to Total Lipids in Very Large HDL percentage,3,24,1099,25,1.2060274746612617e-7,4.21152451469012e-7
fid_23638,Triglycerides to Total Lipids in Large HDL percentage,3,24,1099,25,1.2060274746612617e-7,4.21152451469012e-7
fid_23647,Free Cholesterol to Total Lipids in Small HDL percentage,3,24,1099,25,1.2060274746612617e-7,4.21152451469012e-7
fid_23464,Total Concentration of Branched-Chain Amino Acids (Leucine + Isoleucine + Valine),3,21,1099,21,8.916363562069018e-8,4.21152451469012e-7
fid_23409,Triglycerides in LDL,3,23,1099,24,2.5267657996108105e-7,8.174830528152623e-7
fid_23410,Triglycerides in HDL,3,23,1099,24,2.5267657996108105e-7,8.174830528152623e-7
fid_23436,Total Cholines,3,23,1099,24,2.5267657996108105e-7,8.174830528152623e-7
fid_23437,Phosphatidylcholines,3,23,1099,24,2.5267657996108105e-7,8.174830528152623e-7
fid_23439,Apolipoprotein B,3,23,1099,24,2.5267657996108105e-7,8.174830528152623e-7
fid_23522,Triglycerides in Very Small VLDL,3,23,1099,24,2.5267657996108105e-7,8.174830528152623e-7
fid_23529,Triglycerides in IDL,3,23,1099,24,2.5267657996108105e-7,8.174830528152623e-7
fid_23536,Triglycerides in Large LDL,3,23,1099,24,2.5267657996108105e-7,8.174830528152623e-7
fid_23543,Triglycerides in Medium LDL,3,23,1099,24,2.5267657996108105e-7,8.174830528152623e-7
fid_23564,Triglycerides in Large HDL,3,23,1099,24,2.5267657996108105e-7,8.174830528152623e-7
fid_23401,Total Cholesterol Minus HDL-C,3,22,1099,23,5.282647165911982e-7,1.6602605378580515e-6
fid_23415,Total Esterified Cholesterol,3,22,1099,23,5.282647165911982e-7,1.6602605378580515e-6
fid_23425,Total Lipids in LDL,3,22,1099,23,5.282647165911982e-7,1.6602605378580515e-6
fid_23429,Concentration of LDL Particles,3,22,1099,23,5.282647165911982e-7,1.6602605378580515e-6
fid_23419,Total Free Cholesterol,3,21,1099,22,1.1019379805967492e-6,3.438671712500494e-6
fid_23403,VLDL Cholesterol,3,23,1099,25,1.771525653653048e-6,4.902335142184536e-6
fid_23416,Cholesteryl Esters in VLDL,3,23,1099,25,1.771525653653048e-6,4.902335142184536e-6
fid_23457,Docosahexaenoic Acid to Total Fatty Acids percentage,3,23,1099,25,1.771525653653048e-6,4.902335142184536e-6
fid_23512,Cholesterol in Small VLDL,3,23,1099,25,1.771525653653048e-6,4.902335142184536e-6
fid_23513,Cholesteryl Esters in Small VLDL,3,23,1099,25,1.771525653653048e-6,4.902335142184536e-6
fid_23558,Concentration of Large HDL Particles,3,23,1099,25,1.771525653653048e-6,4.902335142184536e-6
fid_23559,Total Lipids in Large HDL,3,23,1099,25,1.771525653653048e-6,4.902335142184536e-6
fid_23560,Phospholipids in Large HDL,3,23,1099,25,1.771525653653048e-6,4.902335142184536e-6
fid_23561,Cholesterol in Large HDL,3,23,1099,25,1.771525653653048e-6,4.902335142184536e-6
fid_23562,Cholesteryl Esters in Large HDL,3,23,1099,25,1.771525653653048e-6,4.902335142184536e-6
fid_23563,Free Cholesterol in Large HDL,3,23,1099,25,1.771525653653048e-6,4.902335142184536e-6
fid_23589,Phospholipids to Total Lipids in Large VLDL percentage,3,23,1099,25,1.771525653653048e-6,4.902335142184536e-6
fid_23604,Phospholipids to Total Lipids in Very Small VLDL percentage,3,23,1099,25,1.771525653653048e-6,4.902335142184536e-6
fid_23624,Phospholipids to Total Lipids in Small LDL percentage,3,23,1099,25,1.771525653653048e-6,4.902335142184536e-6
fid_23627,Free Cholesterol to Total Lipids in Small LDL percentage,3,23,1099,25,1.771525653653048e-6,4.902335142184536e-6
fid_23641,Cholesteryl Esters to Total Lipids in Medium HDL percentage,3,23,1099,25,1.771525653653048e-6,4.902335142184536e-6
fid_23643,Triglycerides to Total Lipids in Medium HDL percentage,3,23,1099,25,1.771525653653048e-6,4.902335142184536e-6
fid_23648,Triglycerides to Total Lipids in Small HDL percentage,3,23,1099,25,1.771525653653048e-6,4.902335142184536e-6
fid_23590,Cholesterol to Total Lipids in Large VLDL percentage,3,17,1099,17,1.996781016132734e-6,5.491147794365019e-6
fid_23413,Phospholipids in LDL,3,20,1099,21,2.2930507181079877e-6,6.228038987453794e-6
fid_23449,Linoleic Acid,3,20,1099,21,2.2930507181079877e-6,6.228038987453794e-6
fid_23422,Free Cholesterol in HDL,3,22,1099,24,3.559734219522504e-6,9.323113432082748e-6
fid_23426,Total Lipids in HDL,3,22,1099,24,3.559734219522504e-6,9.323113432082748e-6
