protein,metabolite,metabolite_label,r,q,r_s,q_s,sign,abs_r
PON2,fid_23453,Polyunsaturated Fatty Acids to Total Fatty Acids percentage,-0.22642392929715296,1.2186179183105942e-116,-0.22631499504505956,1.403815327565051e-116,-,0.22642392929715296
PON2,fid_23458,Polyunsaturated Fatty Acids to Monounsaturated Fatty Acids ratio,-0.22623350156232752,1.9271950230405812e-116,-0.22443343949560632,1.2804190300688795e-114,-,0.22623350156232752
PON2,fid_23457,Docosahexaenoic Acid to Total Fatty Acids percentage,-0.2172618921679829,2.929848596805909e-107,-0.2176120339840976,1.1614707144463016e-107,-,0.2172618921679829
PON2,fid_23454,Monounsaturated Fatty Acids to Total Fatty Acids percentage,0.2079044531731807,4.056271468482894e-98,0.20842151925876143,1.1561566021662005e-98,+,0.2079044531731807
PON3,fid_23639,Phospholipids to Total Lipids in Medium HDL percentage,-0.4605423228042452,0,-0.4902674381372999,0,-,0.4605423228042452
PON3,fid_23636,Cholesteryl Esters to Total Lipids in Large HDL percentage,0.43943665336225246,0,0.48622953187648,0,+,0.43943665336225246
PON3,fid_23562,Cholesteryl Esters in Large HDL,0.4351506527004429,0,0.4999519043872225,0,+,0.4351506527004429
PON3,fid_23635,Cholesterol to Total Lipids in Large HDL percentage,0.43504258986631966,0,0.4949800148924848,0,+,0.43504258986631966
PON3,fid_23561,Cholesterol in Large HDL,0.4283751214504487,0,0.49206337243657344,0,+,0.4283751214504487
POSTN,fid_23596,Cholesteryl Esters to Total Lipids in Medium VLDL percentage,0.1668083576150404,4.056982721139445e-63,0.16304210340111197,2.305122477101837e-60,+,0.1668083576150404
POSTN,fid_23595,Cholesterol to Total Lipids in Medium VLDL percentage,0.1641783895783145,3.698088439647525e-61,0.16107568543199188,6.25379707156293e-59,+,0.1641783895783145
POSTN,fid_23635,Cholesterol to Total Lipids in Large HDL percentage,0.16061183869897455,1.4878831695010655e-58,0.16668241915276266,4.571644756134109e-63,+,0.16061183869897455
POSTN,fid_23598,Triglycerides to Total Lipids in Medium VLDL percentage,-0.15848951641910136,4.9424073613037345e-57,-0.15610292936496986,2.183941489406218e-55,-,0.15848951641910136
POSTN,fid_23636,Cholesteryl Esters to Total Lipids in Large HDL percentage,0.15570689152863915,4.539945618515499e-55,0.15770827932081577,1.6159775024513373e-56,+,0.15570689152863915
PPBP,fid_23471,Lactate,0.3238347655012299,2.8107340053164343e-244,0.3229844821161442,4.837850240245728e-243,+,0.3238347655012299
PPBP,fid_23480,Glycoprotein Acetyls,0.1998695286212374,1.2784028312031899e-90,0.19892514023110677,8.29642774064154e-90,+,0.1998695286212374
PPBP,fid_23453,Polyunsaturated Fatty Acids to Total Fatty Acids percentage,-0.1746966078319966,3.392839656453641e-69,-0.17108128054011287,2.0405284767303308e-66,-,0.1746966078319966
PPBP,fid_23458,Polyunsaturated Fatty Acids to Monounsaturated Fatty Acids ratio,-0.17322542492942877,4.8680573755028695e-68,-0.16736157047921463,1.4087426277317378e-63,-,0.17322542492942877
PPBP,fid_23447,Monounsaturated Fatty Acids,0.16866316406030132,1.6080749674696577e-64,0.16298029814457254,2.5583628642000297e-60,+,0.16866316406030132
PPCDC,fid_23471,Lactate,0.21475354083876955,9.12431648369759e-105,0.19907683415795377,6.037821596898008e-90,+,0.21475354083876955
PPCDC,fid_23461,Glutamine,-0.16837926537532802,2.6431898107166813e-64,-0.16110070762348408,5.9989851058999465e-59,-,0.16837926537532802
PPCDC,fid_23453,Polyunsaturated Fatty Acids to Total Fatty Acids percentage,-0.1429475761821939,1.5400471581570612e-46,-0.14049112060159882,5.08090718849664e-45,-,0.1429475761821939
PPCDC,fid_23458,Polyunsaturated Fatty Acids to Monounsaturated Fatty Acids ratio,-0.14267026770410016,2.313893323233544e-46,-0.1417035631403447,8.743058774995634e-46,-,0.14267026770410016
PPCDC,fid_23480,Glycoprotein Acetyls,0.1380941875597951,1.710236719590361e-43,0.1316259715237188,1.2214365109525978e-39,+,0.1380941875597951
