name,type,degree,strength,module_louvain,module_walktrap
ADGRG2,protein,32,7.3053763278721275,3,2
TIA1,protein,2,0.5005407557216432,5,1
GFER,protein,12,2.6539252778797846,2,2
AHNAK,protein,25,5.792895028547373,2,2
NAA80,protein,25,5.687061872623452,2,2
THTPA,protein,1,0.26204038998726303,5,1
SNCG,protein,25,5.606886441991529,6,2
SMAD2,protein,25,6.093536122252683,2,2
DAAM1,protein,11,2.3663762310065177,2,2
METAP1D,protein,2,0.48407289618395943,5,1
GPI,protein,2,0.5024687917165318,5,1
ATOX1,protein,2,0.4818604242135994,5,1
MIA,protein,1,0.2602636440407091,6,4
PARP1,protein,25,5.624913760170263,6,2
TOP2B,protein,22,4.686065390321455,6,2
FKBP14,protein,2,0.49523470600991026,5,1
FCN1,protein,5,1.1808693922695064,6,2
ELN,protein,25,6.110204498418006,2,2
GLOD4,protein,1,0.2553683792334502,5,1
FXN,protein,2,0.474274454014458,5,1
PHOSPHO1,protein,1,0.26077038277764103,6,4
NIT2,protein,6,1.3372897690227081,5,2
CD36,protein,21,4.4940441188242986,2,2
CD69,protein,2,0.49294439399031886,5,1
PDIA4,protein,2,0.5062140766361516,5,1
DECR1,protein,2,0.4809164040512829,5,1
PRKRA,protein,25,5.846527815298122,2,2
HNMT,protein,25,5.39853044137663,6,2
EIF4G1,protein,2,0.4581035077789599,5,1
CRYBB1,protein,2,0.50140528385445,5,1
PCYT2,protein,2,0.46770043880985473,5,1
SHISA5,protein,20,4.337483719838976,3,2
SULT2A1,protein,21,4.573399148572974,2,2
TPD52L2,protein,5,1.1284421329770034,5,2
LZTFL1,protein,2,0.48403823970354176,5,1
SELPLG,protein,25,5.900462740000849,2,2
NID1,protein,2,0.4763728941827803,5,1
DUT,protein,20,4.419137206489471,3,2
PDCD5,protein,2,0.45183019098010413,5,1
DOK2,protein,2,0.49210451119565046,5,1
SMNDC1,protein,25,5.773191400887823,6,2
HARS1,protein,2,0.4674514864421299,5,1
PARK7,protein,1,0.25142577342304534,5,1
CYB5R2,protein,1,0.25800023746468975,5,1
VPS4B,protein,2,0.46150228572920127,5,1
PCBP2,protein,5,1.088323669443705,2,2
HDGFL2,protein,8,1.7301147240145112,6,2
HSPA1A,protein,2,0.48234937443429254,5,1
GH1,protein,25,5.72410756606949,2,2
JPT2,protein,1,0.25639352321082864,5,1
UBE2L6,protein,2,0.48729361135764426,5,1
FADD,protein,2,0.4512479614111359,5,1
ACAA1,protein,25,5.6840552969642735,2,2
NFASC,protein,21,4.712692952449486,4,2
IST1,protein,2,0.4723890595401006,5,1
CACNB3,protein,9,1.9330416876847316,2,2
RNASE1,protein,15,3.2085641017113957,3,2
TMEM106A,protein,1,0.25555351439235957,5,1
PLPBP,protein,1,0.2505057820484444,5,1
DTD1,protein,1,0.25785747651256313,5,1
DTYMK,protein,26,6.249298977644309,2,2
CIRBP,protein,2,0.4968982895333897,5,1
GADD45GIP1,protein,2,0.4930098956642502,5,1
CRADD,protein,1,0.2501636563018102,5,1
SLC9A3R1,protein,2,0.49367774907015516,5,1
STK11,protein,2,0.4694007950324566,5,1
GALNT10,protein,19,4.164301242576892,2,2
VAMP8,protein,2,0.48613190010263974,5,1
C4BPB,protein,1,0.24799009571092548,5,2
CHMP1A,protein,1,0.24963012293019785,5,1
LRG1,protein,1,0.2531594365108942,5,2
AP3B1,protein,2,0.47851355350947067,5,1
TBCA,protein,1,0.25605423267441435,5,1
MANF,protein,2,0.47463695818970597,5,1
SUOX,protein,25,5.542421447399952,6,2
GRP,protein,26,5.7593719107719235,2,2
IMPA1,protein,1,0.24855919825967865,5,1
RGS10,protein,1,0.2528116390641146,5,1
MAN1A2,protein,23,4.950195135542829,1,2
SRPK2,protein,1,0.2477350841455062,5,2
LONP1,protein,2,0.4955138784189719,5,1
FUS,protein,8,1.7488724597021543,6,2
RWDD1,protein,1,0.24628147791750643,5,1
GTPBP2,protein,2,0.46111392008159235,5,1
NT5E,protein,20,4.124162043254006,2,2
GLRX5,protein,2,0.47756160496929073,5,1
IRAK4,protein,2,0.45789341172595155,5,1
PLA2G4A,protein,2,0.4518884855016595,5,1
FCN2,protein,25,5.334893627708656,2,2
STAT2,protein,2,0.47740200074359546,5,1
