protein,metabolite,r,p,q,r_s,p_s,q_s,sign,abs_r
MYDGF,fid_23471,0.28377824857678596,1.8636851076315608e-187,2.2050856429512535e-185,0.2742595160175581,9.775041578528053e-175,8.11606493667252e-173,+,0.28377824857678596
GPD1,fid_23648,0.2837727157948919,1.8963274072781736e-187,2.2433423596344438e-185,0.29344602145303433,6.745209062858688e-201,7.732850234016788e-199,+,0.2837727157948919
GPR37,fid_23529,0.28376373145218686,1.950553976270248e-187,2.3071165128177065e-185,0.29197541092593027,8.089842454343614e-199,9.021092790630597e-197,+,0.28376373145218686
BPIFB2,fid_23433,-0.28375801855488453,1.9858378047529062e-187,2.3484680726754956e-185,-0.3045758129921142,4.908557166360715e-217,6.794308729352743e-215,-,0.28375801855488453
CD4,fid_23605,-0.28375742275002946,1.989554105046054e-187,2.3524802338128005e-185,-0.3094277087447789,2.6901683607680735e-224,4.0199378285884455e-222,-,0.28375742275002946
CD300LG,fid_23570,0.28375525901380416,2.0031088002023905e-187,2.3681222712425238e-185,0.278989276418689,5.408382547577097e-181,4.87654149043296e-179,+,0.28375525901380416
CRHBP,fid_23458,-0.283713464451343,2.2837989363705283e-187,2.6995216534739426e-185,-0.27077592720348814,3.3058406768438705e-170,2.5858668585784625e-168,-,0.283713464451343
VMO1,fid_23494,0.28371166209648263,2.296749913842024e-187,2.7143886774434342e-185,0.32177919733793864,2.0621527357659466e-243,3.8739636471685156e-241,+,0.28371166209648263
LTBR,fid_23478,0.28370248231315603,2.363858964969802e-187,2.79324658651921e-185,0.2333919404866535,9.831145731482118e-126,4.073645449608847e-124,+,0.28370248231315603
LCAT,fid_23638,0.2836782212814015,2.550797514069223e-187,3.013651996015032e-185,0.3064503333534899,7.980200931361042e-220,1.1353019031399643e-217,+,0.2836782212814015
APCS,fid_23538,0.2836741412611115,2.5836547547927033e-187,3.0519752463525686e-185,0.28841181892209505,7.842306804334084e-194,8.268105159415357e-192,+,0.2836741412611115
EPHA2,fid_23478,0.2836625593897146,2.6792470199688e-187,3.1643805504890206e-185,0.2321121546740326,2.422132893120417e-124,9.816445147984866e-123,+,0.2836625593897146
SEMA3F,fid_23484,0.28365446935025124,2.748106590829363e-187,3.245181253483504e-185,0.29628374231168453,6.058366843197776e-205,7.309775615883603e-203,+,0.28365446935025124
PLA2G7,fid_23595,0.2836257055822701,3.007562109396116e-187,3.55098988878247e-185,0.26051415736783556,2.979061667302568e-157,1.952808775890325e-155,+,0.2836257055822701
NHLRC3,fid_23550,0.28362215389746226,3.041251011767251e-187,3.590182741812251e-185,0.28424814972411444,4.258939342465192e-188,4.175811602891296e-186,+,0.28362215389746226
TMPRSS15,fid_23648,0.28361860946548656,3.0752468220452683e-187,3.629725110285782e-185,0.2849933148486571,4.075154912153652e-189,4.0496977303193203e-187,+,0.28361860946548656
IGFBP1,fid_23605,0.28361606399476447,3.0998951621190243e-187,3.6582235761944026e-185,0.2839909967418416,9.556110533245758e-188,9.339353738052369e-186,+,0.28361606399476447
INHBC,fid_23638,0.2836155780940316,3.1046226204791567e-187,3.663207733547867e-185,0.3183679821618818,4.841008612237171e-238,8.558976236051948e-236,+,0.2836155780940316
FTCD,fid_23529,0.2836147496296641,3.1126995816091546e-187,3.672141778283661e-185,0.28361776723512233,3.0833805759969073e-187,3.000530977952079e-185,+,0.2836147496296641
CFP,fid_23558,-0.28360063126917207,3.253615171417514e-187,3.8377610656549224e-185,-0.3124537657902758,6.77277512695642e-229,1.0717750747443634e-226,-,0.28360063126917207
GPR37,fid_23493,0.28360000743078784,3.259986610483223e-187,3.844652487561466e-185,0.2871914767393084,3.849967390427278e-192,3.9703116463559147e-190,+,0.28360000743078784
ADGRD1,fid_23452,-0.2835864029032328,3.402074751149499e-187,4.011572669456103e-185,-0.26573378712308604,9.04706994425706e-164,6.466408589491891e-162,-,0.2835864029032328
INHBC,fid_23632,0.28357779947705264,3.4951058952393767e-187,4.12060229187791e-185,0.33522016435995095,2.901295175499669e-265,6.982620111601325e-263,+,0.28357779947705264
STAB2,fid_23488,0.2835682782441533,3.6010259012534563e-187,4.2446766560013714e-185,0.2810395032227677,9.594887826112752e-184,8.937411141280736e-182,+,0.2835682782441533
CES1,fid_23553,-0.2835682350104061,3.601514098540164e-187,4.2446766560013714e-185,-0.30886289112460835,1.9151016803295666e-223,2.8355169472715816e-221,-,0.2835682350104061
CPM,fid_23442,0.2835639881994216,3.649792819391489e-187,4.300879644473306e-185,0.2767971227463881,4.4520981852127163e-178,3.8578004006394185e-176,+,0.2835639881994216
PRCP,fid_23638,0.28356068115286653,3.6878352522395245e-187,4.345004026941977e-185,0.31403131821975155,2.580128365741047e-231,4.1953406715882125e-229,+,0.28356068115286653
ADAMTSL2,fid_23456,-0.2835590686448762,3.706528014670311e-187,4.3663200379754245e-185,-0.25282950358547807,6.331354149996814e-148,3.6303443264407813e-146,-,0.2835590686448762
PAMR1,fid_23543,0.2835578017099563,3.7212811266834015e-187,4.382988952501091e-185,0.2870485704239972,6.06636077119268e-192,6.241816344403661e-190,+,0.2835578017099563
ADAMTSL2,fid_23452,-0.2835448003885444,3.8761086359515714e-187,4.564607770540046e-185,-0.25270970978125507,8.798090321320311e-148,5.035612872143919e-146,-,0.2835448003885444
PROC,fid_23485,0.283537107182095,3.970736533903124e-187,4.67528657973974e-185,0.2794091482968719,1.4845368418521547e-181,1.3484221410900318e-179,+,0.283537107182095
LAMP2,fid_23515,0.28352361408333343,4.1423098139587324e-187,4.876513094249173e-185,0.2844707843973003,2.1141392590379437e-188,2.0782011790449114e-186,+,0.28352361408333343
DNAJB1,fid_23578,0.2835215223281481,4.169562727134074e-187,4.9078015328349574e-185,0.27876902002898013,1.0646648335701393e-180,9.56173737363917e-179,+,0.2835215223281481
RAB6A,fid_23642,0.2834838762374932,4.691823010692618e-187,5.5216360276630924e-185,0.30457972291421687,4.8434858703638745e-217,6.705515578366562e-215,+,0.2834838762374932
AGRN,fid_23643,0.2834808051756964,4.737205116850749e-187,5.574142030574303e-185,0.29064449480466004,6.008236118054854e-197,6.586685167303058e-195,+,0.2834808051756964
CCL23,fid_23483,0.28347212704821617,4.867828248280507e-187,5.726915625649027e-185,0.29047398890085896,1.0415708629000211e-196,1.1384150253420831e-194,+,0.28347212704821617
