name,type
COL18A1,protein
COL1A1,protein
COL24A1,protein
COL28A1,protein
COL2A1,protein
COL3A1,protein
COL4A1,protein
COL4A4,protein
COL5A1,protein
COL6A3,protein
COL9A1,protein
COL9A2,protein
COLEC12,protein
COMMD1,protein
COMMD9,protein
COMP,protein
COMT,protein
COPB2,protein
COPE,protein
COQ7,protein
CORO1A,protein
CORO6,protein
COX5B,protein
COX6B1,protein
CPA1,protein
CPA2,protein
CPA4,protein
CPB1,protein
CPB2,protein
CPE,protein
CPLX2,protein
CPM,protein
CPOX,protein
CPPED1,protein
CPQ,protein
CPTP,protein
CPVL,protein
CPXM1,protein
CPXM2,protein
CR1,protein
CR2,protein
CRACR2A,protein
CRADD,protein
CREB3,protein
CREBZF,protein
CREG1,protein
CRELD1,protein
CRELD2,protein
CRH,protein
CRHBP,protein
CRHR1,protein
CRIM1,protein
CRIP2,protein
CRISP2,protein
CRISP3,protein
CRKL,protein
CRLF1,protein
CRNN,protein
CRTAC1,protein
CRTAM,protein
CRTAP,protein
CRX,protein
CRYBB1,protein
CRYBB2,protein
CRYGD,protein
CRYM,protein
CRYZL1,protein
CSDE1,protein
CSF1,protein
CSF1R,protein
CSF2,protein
CSF2RA,protein
CSF2RB,protein
CSF3,protein
CSF3R,protein
CSH1,protein
CSNK1D,protein
CSNK2A1,protein
CSPG4,protein
CSPG5,protein
CSRP3,protein
CST3,protein
CST5,protein
CST6,protein
CST7,protein
CSTB,protein
CTAG1A_CTAG1B,protein
CTBS,protein
CTF1,protein
CTHRC1,protein
CTLA4,protein
CTNNA1,protein
CTRB1,protein
CTRC,protein
CTRL,protein
CTSB,protein
CTSC,protein
CTSD,protein
CTSE,protein
CTSF,protein
CTSH,protein
CTSL,protein
CTSO,protein
CTSS,protein
CTSV,protein
CTSZ,protein
CUZD1,protein
CWC15,protein
CX3CL1,protein
CXADR,protein
CXCL1,protein
CXCL10,protein
CXCL11,protein
CXCL12,protein
CXCL13,protein
CXCL14,protein
CXCL16,protein
CXCL17,protein
CXCL3,protein
CXCL5,protein
CXCL6,protein
CXCL8,protein
CXCL9,protein
CYB5A,protein
CYB5R2,protein
CYP24A1,protein
CYTH3,protein
CYTL1,protein
DAAM1,protein
DAB2,protein
DAG1,protein
DAND5,protein
DAPK2,protein
DAPP1,protein
DARS1,protein
DBH,protein
DBI,protein
DBN1,protein
DBNL,protein
DCBLD2,protein
DCC,protein
DCDC2C,protein
DCLRE1C,protein
DCN,protein
DCTD,protein
DCTN1,protein
DCTN2,protein
DCTN6,protein
DCTPP1,protein
DCUN1D1,protein
DCUN1D2,protein
DCXR,protein
DDA1,protein
DDAH1,protein
DDC,protein
DDHD2,protein
DDI2,protein
DDR1,protein
DDT,protein
DDX1,protein
DDX25,protein
DDX39A,protein
DDX4,protein
DDX53,protein
DDX58,protein
DECR1,protein
DEFA1_DEFA1B,protein
DEFB103A_DEFB103B,protein
DEFB104A_DEFB104B,protein
DEFB116,protein
DEFB118,protein
DEFB4A_DEFB4B,protein
DENND2B,protein
DENR,protein
DFFA,protein
DGCR6,protein
DGKA,protein
DGKZ,protein
DHODH,protein
DHPS,protein
DHRS4L2,protein
DIABLO,protein
DIPK1C,protein
DIPK2B,protein
DKK1,protein
DKK3,protein
DKK4,protein
DKKL1,protein
DLG4,protein
DLGAP5,protein
DLK1,protein
DLL1,protein
DLL4,protein
DMD,protein
DMP1,protein
DNAJA1,protein
DNAJA2,protein
DNAJA4,protein
DNAJB1,protein
DNAJB14,protein
DNAJB2,protein
DNAJB6,protein
DNAJB8,protein
DNAJC21,protein
DNAJC6,protein
DNAJC9,protein
DNER,protein
DNLZ,protein
DNM1,protein
DNM3,protein
DNMBP,protein
DNPEP,protein
DNPH1,protein
DOC2B,protein
DOCK9,protein
DOK1,protein
DOK2,protein
DPEP1,protein
DPEP2,protein
DPP10,protein
DPP4,protein
DPP6,protein
DPP7,protein
DPT,protein
DPY30,protein
DRAXIN,protein
DRG2,protein
DSC2,protein
DSCAM,protein
DSG2,protein
DSG3,protein
DSG4,protein
DTD1,protein
DTNB,protein
DTX2,protein
DTX3,protein
DTYMK,protein
DUOX2,protein
DUSP13,protein
DUSP29,protein
