protein,metabolite,r,p,q,r_s,p_s,q_s,sign,abs_r
IGSF9,fid_23453,-0.5180267386156059,0,0,-0.5096505104543197,0,0,-,0.5180267386156059
LDLR,fid_23453,-0.5224145035875795,0,0,-0.5301247552471692,0,0,-,0.5224145035875795
LPL,fid_23453,0.37007893481299836,0,0,0.37661648072055354,0,0,+,0.37007893481299836
MFGE8,fid_23453,-0.46058784983248935,0,0,-0.4213048790224278,0,0,-,0.46058784983248935
NHLRC3,fid_23453,-0.3719494413317129,0,0,-0.37868493253725505,0,0,-,0.3719494413317129
NPY,fid_23453,-0.37827771937420374,0,0,-0.38398358368565666,0,0,-,0.37827771937420374
PLAT,fid_23453,-0.3757103505645032,0,0,-0.3849504587330909,0,0,-,0.3757103505645032
PRAP1,fid_23453,-0.48509754910786607,0,0,-0.4968856684130441,0,0,-,0.48509754910786607
PRSS8,fid_23453,-0.43995606368756374,0,0,-0.438584222968345,0,0,-,0.43995606368756374
RARRES2,fid_23453,-0.3952767340091819,0,0,-0.4151288799162997,0,0,-,0.3952767340091819
RBP5,fid_23453,-0.41142008277895925,0,0,-0.4234501079878643,0,0,-,0.41142008277895925
SERPINF1,fid_23453,-0.3811542614547419,0,0,-0.3861427351232636,0,0,-,0.3811542614547419
UPB1,fid_23453,-0.370939544970427,0,0,-0.37473623348550356,0,0,-,0.370939544970427
FGFBP1,fid_23402,0.4793658459722729,0,0,0.4818044712819354,0,0,+,0.4793658459722729
LDLR,fid_23402,0.39267224445736393,0,0,0.3926279924141451,0,0,+,0.39267224445736393
PLA2G7,fid_23402,0.5378566980866565,0,0,0.5514380683894984,0,0,+,0.5378566980866565
CCN1,fid_23448,0.40586794554001643,0,0,0.40598131707748025,0,0,+,0.40586794554001643
CES1,fid_23448,0.39718547169578,0,0,0.38484175408899157,0,0,+,0.39718547169578
F7,fid_23448,0.39438212594844885,0,0,0.4015556453988119,0,0,+,0.39438212594844885
IGSF9,fid_23448,0.399812230802945,0,0,0.38530547715874364,0,0,+,0.399812230802945
LDLR,fid_23448,0.5629636786109413,0,0,0.5658341340418478,0,0,+,0.5629636786109413
MAMDC4,fid_23448,0.39818612457707536,0,0,0.40171681580967306,0,0,+,0.39818612457707536
MFGE8,fid_23448,0.4306082947754177,0,0,0.3994909414623986,0,0,+,0.4306082947754177
NPY,fid_23448,0.3773434122287816,0,0,0.3871715477881068,0,0,+,0.3773434122287816
PROC,fid_23448,0.37837949085655836,0,0,0.38931958273248035,0,0,+,0.37837949085655836
APOA1,fid_23438,0.4287172079380551,0,0,0.5038107384091101,0,0,+,0.4287172079380551
APOC1,fid_23438,0.4774942673941251,0,0,0.5453132970336214,0,0,+,0.4774942673941251
APOM,fid_23438,0.5094793954810539,0,0,0.5146914421990594,0,0,+,0.5094793954810539
FGFBP1,fid_23438,0.4432139263904814,0,0,0.44108024788213374,0,0,+,0.4432139263904814
APOC1,fid_23400,0.46250132340364514,0,0,0.5203247611573386,0,0,+,0.46250132340364514
APOM,fid_23400,0.498237728015764,0,0,0.5005729138106102,0,0,+,0.498237728015764
FGFBP1,fid_23400,0.499931904428346,0,0,0.4970572332407584,0,0,+,0.499931904428346
PLA2G7,fid_23400,0.41550677700949834,0,0,0.4117632778737134,0,0,+,0.41550677700949834
APOM,fid_23401,0.39567605938511674,0,0,0.3913794627666924,0,0,+,0.39567605938511674
FGFBP1,fid_23401,0.48649388667676013,0,0,0.48643578625382705,0,0,+,0.48649388667676013
PLA2G7,fid_23401,0.5387767115236878,0,0,0.5507328625382226,0,0,+,0.5387767115236878
APOA1,fid_23436,0.48374068925219427,0,0,0.5764483528643332,0,0,+,0.48374068925219427
APOC1,fid_23436,0.5211573660176373,0,0,0.6010253680160428,0,0,+,0.5211573660176373
APOM,fid_23436,0.49474922451402786,0,0,0.5056431890011825,0,0,+,0.49474922451402786
ERBB3,fid_23436,0.3710847281873483,0,0,0.3850031353122802,0,0,+,0.3710847281873483
GCG,fid_23464,0.4067660645743337,0,0,0.39573808590188014,0,0,+,0.4067660645743337
APOA1,fid_23427,0.5625152541669229,0,0,0.6758491773009628,0,0,+,0.5625152541669229
