name,wY_01,wY_02,wY_03,wY_04,wY_05,wY_06,wY_07,wY_08,wY_09,wY_10,metabolite_label
fid_23506,0.541938493019971,0.4504877837984713,-0.111418670958382,0.927609339232662,-0.05755852210701654,0.953993418880058,-2.8210151578214124,0.5222684164469319,1.3297940069201724,-2.521418132286769,Cholesteryl Esters in Medium VLDL
fid_23576,-0.9284931245766608,-0.5432740544549971,0.2832084201416959,-0.759745178893447,-1.2749069694325459,-1.5201157418957807,1.1132011023838628,0.29797021831435766,0.901990401079464,1.2777671702370943,Cholesteryl Esters in Small HDL
fid_23548,0.1477368389532504,-0.13004267521450869,0.5530391430056523,0.8662419334344051,-0.02976962036480624,-0.20331271568642656,0.19436514388723583,0.6765022139674219,0.6523965024472415,0.8019668980492752,Cholesteryl Esters in Small LDL
fid_23513,0.02054672400678954,0.3494733386459431,-0.15070033804514227,-0.35916286855399826,0.35650505263900767,0.18494310043005635,0.3576023679891027,-0.4974112022594091,2.328890974532739,-1.1271382147164768,Cholesteryl Esters in Small VLDL
fid_23416,0.24124506799460751,0.2717620327062672,-0.06178764814845072,-5.600788085470176e-4,-0.17177028928061433,0.05169234330803582,-0.647147463388327,-0.09065468618809518,0.6947431776903757,-0.5165361304680708,Cholesteryl Esters in VLDL
fid_23555,0.00260743464552616,0.16800776530732564,-0.3738427594328945,0.5664492833701311,0.470154950245752,0.9506150319592798,-0.22602641032904705,-0.8784498263075174,0.6214147633113551,0.9818678886239296,Cholesteryl Esters in Very Large HDL
fid_23492,0.09045296891692356,1.0453423752693736,-0.37937992694626155,0.6553731458645757,0.43327017322420097,-0.27159539457864756,-3.050582110036757,0.2530687292893854,-0.9758404616496724,-0.8168569254810811,Cholesteryl Esters in Very Large VLDL
fid_23520,0.3319122902873826,-0.0997310293936812,-0.09133740241889092,-0.38474612237918754,-0.3715629304921939,-0.33203949464346527,1.7370134642214388,-0.91529544638608,0.17467749449997644,1.1645521441639322,Cholesteryl Esters in Very Small VLDL
fid_23611,-0.01151294062029004,0.02103611867341313,-0.1240429405094488,0.07826070393527768,0.10319452134127977,-0.1228504608435124,-0.2774038547568685,0.18866330607599965,-0.18271285916145025,-0.09347726806977558,Cholesteryl Esters to Total Lipids in IDL percentage
fid_23636,0.00545934590276902,-0.00286685209942716,0.08507395370487403,-0.03315473881319935,0.04775525574392225,0.14739897738641064,0.0441200618067156,-0.05860412896046806,-0.06758544884764077,0.12039464659144222,Cholesteryl Esters to Total Lipids in Large HDL percentage
fid_23616,0.03953546362336728,-0.05561240856285131,0.05255054988625982,-0.04847945467712548,-0.04724380281962724,-0.14758585457086393,0.2090997351382759,-0.41358395814841353,-0.16378411547902058,-0.02297734039995278,Cholesteryl Esters to Total Lipids in Large LDL percentage
fid_23591,-0.0165377751340139,0.06188181356102536,-0.14351130588295066,-0.3186890454923733,-0.0010173804607034,-0.02729332384889492,0.05329250096148553,-0.2233578870336294,-0.01764927484320901,-0.1401182086489223,Cholesteryl Esters to Total Lipids in Large VLDL percentage
fid_23641,0.07185166431485056,0.04368305318304182,-0.01404058094700261,0.28200672736065874,-0.20619088965867197,-0.4517719427463279,-0.23511507640496743,-0.08768151069158475,-0.4917981973371373,-0.08093923077886422,Cholesteryl Esters to Total Lipids in Medium HDL percentage
fid_23621,-0.13580175113944726,0.04673061114565823,0.02662392742566123,-0.4000298931575215,-0.13596763284256666,0.3400512529672218,0.30217833892779744,0.14204409130262388,-0.1312191572444394,-0.10255210527447248,Cholesteryl Esters to Total Lipids in Medium LDL percentage
fid_23596,-0.2986805323800795,0.49477830982755694,0.14456729433926993,0.06978526763299768,-0.11849553884474764,0.13707484478725898,-0.5844705646797976,-0.1622892433682326,-0.23459180309642969,0.5363730490346182,Cholesteryl Esters to Total Lipids in Medium VLDL percentage
fid_23646,-0.1728647187595673,0.03409728827043297,0.07281737208432708,-0.20302068439305157,0.1358753660355846,0.1869652965569206,0.13293191456346537,-0.13222450302387856,0.1440679632168751,-0.4296943920591027,Cholesteryl Esters to Total Lipids in Small HDL percentage
fid_23626,0.01119775224617339,-0.14175768042585224,-0.08552299955080968,-0.26582913688225057,-0.00788732629341017,-0.07785166848899817,0.1117082386140818,-0.1219349020284112,-0.5758058268649481,0.22029506175111388,Cholesteryl Esters to Total Lipids in Small LDL percentage
fid_23601,0.1633286522269754,-0.20400925729615363,-0.17931958991727387,-0.4112678907661196,0.04703238721893958,0.2323182416155868,-0.15510822715572062,-0.4320854853451192,-0.3460092928825405,0.30803268208192164,Cholesteryl Esters to Total Lipids in Small VLDL percentage
fid_23631,0.03345854672188172,-0.02270928250044709,0.02723501705722069,0.03992020857431697,-0.00107211139027193,0.02382128406614268,-0.04933532198698893,-0.04575119823452594,-0.0582211771917214,-0.07215050195499027,Cholesteryl Esters to Total Lipids in Very Large HDL percentage
fid_23586,-0.01848449308713288,0.05643787770645776,-0.0031862436199074,-0.04843662297579608,0.062195102186199,0.05353513735650336,-0.01573335465072464,0.03099372569900642,0.00591220034742782,-0.00387594880165158,Cholesteryl Esters to Total Lipids in Very Large VLDL percentage
fid_23606,-0.04928345394901308,-0.19317301275326595,0.01432228953354386,-0.22866090502846195,0.06136209988074848,0.07219912782060517,0.00649451292075119,-0.28199491967217477,0.17113720692036716,0.12130025482305838,Cholesteryl Esters to Total Lipids in Very Small VLDL percentage
fid_23473,-0.01587403435736828,0.06748542479378156,-0.1889880265126373,0.03812020337880883,-0.04767486509671832,0.03487471205680374,0.02597066404244361,0.09476200426873972,0.05654249817194411,-0.18178243747259537,Citrate
fid_23404,-0.21894910338323187,-1.6925382397068864,-0.541078548801499,-1.725886162056929,-0.6802865866794519,-2.139340315722939,2.372587127633095,0.9451435423900388,-0.5069283739253175,0.0936002494812052,Clinical LDL Cholesterol
fid_23481,-0.7316991751809795,-1.1345045018242172,0.387850670561548,0.099313092908021,-1.756692865379918,0.04649320458816605,0.5307177570711259,0.3481944882324346,-1.7447629349892857,0.7346133120008639,Concentration of Chylomicrons and Extremely Large VLDL Particles
fid_23430,0.08856530330867039,0.5282567901938402,0.2223288168657119,-0.01452990062170367,-0.500084057740557,0.059888774265762,0.06124639498432449,1.4238140248600124,-0.5980064411873448,-0.4255373075579727,Concentration of HDL Particles
fid_23523,-0.3305805570271702,-0.49435343299223905,-0.00512650692567663,-0.6946983627871532,-0.3217351263484909,-1.0884789332659996,0.8135051856897921,-0.13450248380697866,-0.6334781084804311,0.4015202239327891,Concentration of IDL Particles
fid_23429,-0.445407539439614,0.00716205623324457,-0.01811136074495173,-1.0234816886098372,-0.7012035991223698,-1.3552788325638725,0.7619480975831939,0.0821396718651017,-0.4122403693251629,-0.04443988046914938,Concentration of LDL Particles
fid_23558,0.10569612010483193,0.04765590067558272,-0.15878774660200293,0.8612253386901477,-0.8108999913034642,-0.5809003036279418,0.8905524927710242,0.2323090477532944,-2.2346722952343514,0.35083300399040906,Concentration of Large HDL Particles
fid_23530,-0.5905874948849218,0.10324040462578618,0.02200797527361418,-1.1408035803227707,-0.8025458202606207,-1.8126352836825697,1.102715676399966,-0.12314851235133016,-0.42110614498751,-0.22044185680411257,Concentration of Large LDL Particles
fid_23495,0.6741725116635596,-0.124020574521732,-0.4274732066351443,0.8745945396675631,1.0964238400231905,-0.7228889528212027,1.389047921845278,-2.6632753000436833,-0.68142343223156,-1.483119107281342,Concentration of Large VLDL Particles
fid_23565,0.16532900713005622,-0.10649074043527716,1.1411993129900473,0.7038277411637951,-0.9639151930140948,0.1411872114366482,2.655428533747517,1.0738424985826676,-2.376503898003969,1.0161844924835446,Concentration of Medium HDL Particles
fid_23537,-0.13346549179284622,-0.20918188969305876,-0.0595812915470952,-0.7636947626907857,-0.5421878713113113,-0.7731398852056984,0.39636862245120097,0.4723911429585828,-0.2417050505050894,0.3490785880825513,Concentration of Medium LDL Particles
fid_23502,-0.642690352222008,0.05111481230099189,0.8420822519474979,0.1667066659178038,0.12083325058790928,-0.6548567514293171,0.07956222354556712,-0.15963386988978245,0.6219332796530215,1.0202469559828935,Concentration of Medium VLDL Particles
fid_23572,-0.04221509695343133,0.9482809424761744,-0.24163012072897871,-0.8765572686834909,0.19348158564567317,0.2384353323387602,-2.1146359896213784,1.72094150599557,1.715540250039768,-1.5441470671105415,Concentration of Small HDL Particles
