name,type,display_label,degree,strength,module_louvain,module_walktrap
BCHE,protein,BCHE,46,12.97962463555483,1,3
IGSF8,protein,IGSF8,25,6.90903495219286,2,3
GLA,protein,GLA,25,7.341174938196729,2,3
SERPINA3,protein,SERPINA3,1,0.32718566770463575,5,3
PCSK9,protein,PCSK9,25,6.385718499311898,2,3
PROS1,protein,PROS1,60,14.96720712432519,1,3
CKAP4,protein,CKAP4,2,0.534362350043142,6,1
CPB2,protein,CPB2,35,7.955490293488977,1,3
NOS3,protein,NOS3,27,7.628913185934042,6,3
C2,protein,C2,1,0.319168837218741,5,3
SCLY,protein,SCLY,25,6.982052180237642,2,3
C1RL,protein,C1RL,18,4.090992688123035,3,3
C9,protein,C9,31,8.383293194017153,2,3
GGH,protein,GGH,26,6.514774525738222,3,3
ADAMTSL2,protein,ADAMTSL2,26,7.235890645108601,4,3
RAB6A,protein,RAB6A,42,10.904508579390733,1,3
SMAD1,protein,SMAD1,27,7.881041149339619,2,3
IGSF3,protein,IGSF3,27,7.122531816503608,6,3
CCL16,protein,CCL16,25,6.914765346634598,6,3
KYNU,protein,KYNU,25,7.084014959833061,2,3
SORT1,protein,SORT1,25,6.4867409753477014,2,3
MME,protein,MME,25,6.869513271046457,2,3
EDA2R,protein,EDA2R,1,0.3197634279916089,6,1
LGALS4,protein,LGALS4,32,8.090996086985328,4,3
CRHBP,protein,CRHBP,25,6.296825067438755,6,3
TNFRSF10A,protein,TNFRSF10A,28,7.425684328790661,4,3
SCG2,protein,SCG2,3,0.7258974984192574,4,1
PCBD1,protein,PCBD1,25,7.352305067448751,2,3
AIFM1,protein,AIFM1,25,5.582993643547315,6,3
LGALS1,protein,LGALS1,25,6.0185229552502,3,3
PPBP,protein,PPBP,1,0.32007387349922733,5,2
ANXA3,protein,ANXA3,2,0.5166646853303044,5,2
TNFRSF11A,protein,TNFRSF11A,25,5.950605953758579,3,3
CPXM1,protein,CPXM1,1,0.31163071779807616,5,2
FABP5,protein,FABP5,9,2.116234510305912,6,3
GYS1,protein,GYS1,2,0.5167468946840388,5,2
CDHR5,protein,CDHR5,26,7.026089779695994,3,3
GZMB,protein,GZMB,1,0.31180485785752743,5,2
HSD11B1,protein,HSD11B1,31,8.400667259627017,3,3
DEFB4A_DEFB4B,protein,DEFB4A_DEFB4B,26,7.6599462831582725,2,3
SIAE,protein,SIAE,14,3.153106868240656,2,3
TRIAP1,protein,TRIAP1,2,0.5650497453423762,5,2
ITGA5,protein,ITGA5,25,6.242735495462428,2,3
VWC2,protein,VWC2,3,0.7327478555624978,6,1
ART3,protein,ART3,1,0.3153019467678864,6,1
SUMF2,protein,SUMF2,25,6.691728409768268,2,3
CANT1,protein,CANT1,25,6.341371777621969,2,3
PF4,protein,PF4,1,0.31516318776434965,5,2
NAGPA,protein,NAGPA,28,7.579389405599112,2,3
NID2,protein,NID2,1,0.3075593336380346,5,2
RSPO3,protein,RSPO3,1,0.3125947990174235,6,1
PLG,protein,PLG,10,2.4958166903124095,1,3
LAT,protein,LAT,4,0.9649423531018506,5,3
CDH2,protein,CDH2,25,6.61465742369144,6,3
ERBB2,protein,ERBB2,25,7.177467005595283,2,3
GDF15,protein,GDF15,26,6.442484364240304,4,3
CLEC1B,protein,CLEC1B,12,2.6838375528458838,2,3
HCLS1,protein,HCLS1,2,0.5279651052429007,5,2
TNFRSF14,protein,TNFRSF14,25,5.7472609837551385,6,3
BPIFB2,protein,BPIFB2,25,6.1509933882855075,3,3
C1S,protein,C1S,12,2.5792801388845294,1,3
LILRB4,protein,LILRB4,25,6.098899361094702,6,3
NUCB2,protein,NUCB2,24,5.303608104622816,2,3
CHMP6,protein,CHMP6,27,7.264353798187293,2,3
VSIG4,protein,VSIG4,25,5.572384110056061,3,3
IFI30,protein,IFI30,25,6.120996322816426,6,3
TGFB1,protein,TGFB1,25,5.934431058867374,2,3
NPC2,protein,NPC2,25,6.346068370509811,6,3
CDKN1A,protein,CDKN1A,25,6.863711241291683,2,3
GP6,protein,GP6,2,0.5080885235511711,5,2
F2R,protein,F2R,2,0.5300206830444858,5,2
EPHB4,protein,EPHB4,1,0.3035275020861547,6,1
DPT,protein,DPT,4,0.910800816386479,3,1
MFAP5,protein,MFAP5,18,3.9487607499278496,6,3
THY1,protein,THY1,5,1.1265100644939328,3,3
CTSO,protein,CTSO,25,6.145618194945174,6,3
RIDA,protein,RIDA,25,7.12952788883606,2,3
CD5,protein,CD5,26,6.725946721280562,3,3
ANGPTL2,protein,ANGPTL2,25,6.68529933842615,2,3
ADH1B,protein,ADH1B,25,7.384256316169519,2,3
CD226,protein,CD226,1,0.3055506288047609,5,2
LTBR,protein,LTBR,3,0.7286726023211565,6,1
TNFSF10,protein,TNFSF10,40,9.514821990050972,1,3
CD72,protein,CD72,28,7.366272916446043,3,3
SCARA5,protein,SCARA5,1,0.2996020595185136,6,1
PLA2G15,protein,PLA2G15,18,4.074734842528827,6,3
SPARC,protein,SPARC,1,0.29343383060344314,5,2
KLKB1,protein,KLKB1,58,14.278855779935064,1,3
HPSE,protein,HPSE,4,0.985970418699428,5,3
CLEC4D,protein,CLEC4D,7,1.663218421354117,6,3
LRP11,protein,LRP11,3,0.7240869881919492,6,1
KHK,protein,KHK,25,6.912201887440498,2,3
SELE,protein,SELE,25,6.239589315351484,6,3
CD300E,protein,CD300E,10,2.2772961631288675,6,3
CHI3L1,protein,CHI3L1,25,6.074549776816584,4,3
FGFBP2,protein,FGFBP2,28,7.031698884945516,3,3
GUCA2A,protein,GUCA2A,1,0.2994003716632591,6,1
CLEC14A,protein,CLEC14A,1,0.29860209795916426,6,1
HJV,protein,HJV,25,6.433193193503406,2,3
F11R,protein,F11R,25,5.861438731178998,2,3
MRC1,protein,MRC1,4,0.9244307104829325,3,1
LAIR1,protein,LAIR1,12,2.582022938185525,3,3
DLL1,protein,DLL1,2,0.5091020563438389,6,1
STX7,protein,STX7,1,0.3012789114709962,5,2
TIMP3,protein,TIMP3,9,1.9740678157370406,6,3
PALM2,protein,PALM2,25,6.175609158876972,6,3
MB,protein,MB,1,0.29535937104489,6,1
CCL7,protein,CCL7,5,1.1082580871196697,6,3
BSG,protein,BSG,2,0.4974583202393513,6,1
APLP1,protein,APLP1,5,1.1738422240311743,6,3
DBI,protein,DBI,2,0.5295292704167596,5,2
FETUB,protein,FETUB,25,5.4354658186516245,6,3
SORCS2,protein,SORCS2,1,0.29750663875561306,6,1
DNAJB1,protein,DNAJB1,25,6.723709327147394,2,3
EGLN1,protein,EGLN1,25,6.206630084958353,6,3
IL10RB,protein,IL10RB,25,5.86965500707671,6,3
HLA_E,protein,HLA_E,2,0.5054287909162377,6,1
TCTN3,protein,TCTN3,25,6.440890108242838,2,3
USP8,protein,USP8,2,0.5041038201277283,5,2
NRP1,protein,NRP1,26,6.482697190124126,2,3
AGR3,protein,AGR3,25,6.727838882169333,2,3
IFNGR1,protein,IFNGR1,1,0.2930848610710807,6,1
DSG2,protein,DSG2,25,6.820224309519481,2,3
LEPR,protein,LEPR,27,7.0414337660865005,3,3
SPINK1,protein,SPINK1,1,0.29268936724562905,6,1
EPHB6,protein,EPHB6,1,0.2938929869349313,6,1
ERP44,protein,ERP44,25,6.594904685218254,2,3
SERPINA4,protein,SERPINA4,26,6.71214678439189,2,3
TOMM20,protein,TOMM20,10,2.219146397113611,6,3
ERMAP,protein,ERMAP,3,0.7005249030020808,6,2
ADGRD1,protein,ADGRD1,25,6.145073942390673,2,3
S100A11,protein,S100A11,2,0.487611268386353,5,2
EFCAB14,protein,EFCAB14,25,6.292658798494443,2,3
NOTCH3,protein,NOTCH3,25,6.310618888582146,3,3
