protein,module_protein,ENTREZID
CTRC,5,11330
CHI3L1,3,1116
CTBS,3,1486
CTSD,3,1509
CTSL,3,1514
CTSF,3,8722
CTSO,3,1519
COQ7,3,10229
CTF1,1,1489
CXCL1,1,2919
CXCL10,3,3627
CXCL11,1,6373
CXCL3,1,2921
CXCL5,1,6374
CCL2,2,6347
CXCL6,1,6372
CRTAM,3,56253
CSTB,2,1476
CWC15,2,51503
CPTP,4,80772
CXCL8,2,3576
CYB5R2,1,51700
DAAM1,1,23002
DAB2,1,1601
DAG1,1,1605
DAPK2,1,23604
DAPP1,1,27071
DARS1,1,1615
DBI,1,1622
DBN1,1,1627
CREBZF,4,58487
DBNL,1,28988
DCTD,1,1635
DCTN1,1,1639
DCTN2,1,10540
CTHRC1,3,115908
CCAR2,4,57805
CDKL5,4,6792
CHCHD6,3,84303
DCTN6,1,10671
DCTPP1,3,79077
DCXR,3,51181
DDAH1,3,23576
CLNS1A,2,1207
DDI2,2,84301
CYTH3,4,9265
DCUN1D1,4,54165
CD164L2,4,388611
CHRM1,4,1128
DDX1,4,1653
DDHD2,1,23259
DDT,2,1652
DDX58,2,NA
CLEC5A,3,23601
CRISP3,3,10321
DECR1,1,1666
DENR,1,8562
DFFA,1,1676
DGKA,1,1606
DGKZ,1,8525
DHRS4L2,1,317749
CXCL12,1,6387
DIABLO,1,56616
DCN,3,1634
DKK1,1,22943
CLEC7A,3,64581
CTSS,3,1520
CTSZ,3,1522
CX3CL1,3,6376
DDR1,3,780
DEFA1_DEFA1B,3,NA
DLK1,3,8788
DLG4,1,1742
APOL1,3,8542
DMD,1,1756
DNAJA2,1,10294
DNAJB1,2,3337
DNAJA4,2,55466
DNAJB14,1,79982
DNAJB2,2,3300
DNAJB6,1,10049
DNAJB8,1,165721
DNAJC21,1,134218
DNAJC6,1,9829
CA6,3,765
DNAJC9,2,23234
DNM1,1,1759
DNM3,1,26052
DNMBP,1,23268
DNPEP,2,23549
DNPH1,2,10591
DOK1,1,1796
CNTNAP2,3,26047
CLEC3B,3,7123
DNER,3,92737
DPP10,3,57628
CTSC,3,1075
DOK2,1,9046
DLL1,3,28514
BCL2,2,596
DPP7,1,29952
DPY30,2,84661
DPT,3,1805
DSC2,3,1824
CST6,3,1474
DSG3,3,1830
DRG2,1,1819
DTD1,1,92675
DTNB,1,1838
DTYMK,2,1841
DUSP3,1,1845
DUT,1,1854
DXO,1,1797
DYNLT1,1,6993
DYNLT3,1,6990
C1QA,3,712
CSF1R,3,1436
CXADR,3,1525
EBAG9,1,9166
ECHDC3,3,79746
ECHS1,1,1892
DTX3,3,196403
ECI2,1,10455
EDAR,1,10913
CXCL17,3,284340
CEBPA,4,1050
EDF1,1,8721
EDA2R,3,60401
EDN1,3,1906
EEF1D,1,1936
CXCL16,3,58191
DSG2,3,1829
EFCAB14,3,9813
EFEMP1,3,2202
CALCA,3,796
CD7,3,924
CLEC10A,3,10462
CXCL9,3,4283
DKK4,3,27121
DRAXIN,3,374946
EFNA1,3,1942
EFCAB2,1,84288
EGF,1,1950
CNDP1,3,84735
DPP4,3,1803
CEBPB,2,1051
EGLN1,2,54583
EHBP1,1,23301
DDX25,4,29118
EHD3,1,30845
