id,label,type,degree,strength,module_louvain,module_walktrap
ANXA4,ANXA4,protein,1,0.26937161071900734,5,2
SERPINF2,SERPINF2,protein,48,11.547657948836846,1,3
MSRA,MSRA,protein,2,0.4975614585397349,5,2
TBCC,TBCC,protein,2,0.48754176955245954,5,2
NECTIN2,NECTIN2,protein,7,1.6760496423735491,6,3
NUMB,NUMB,protein,25,6.168298861063365,2,3
CA6,CA6,protein,25,5.903235847347975,3,3
PPP1R12A,PPP1R12A,protein,2,0.48413655797705774,5,2
LGALS8,LGALS8,protein,2,0.48927942091541055,5,2
TNFRSF1B,TNFRSF1B,protein,21,4.437357906634608,3,3
DCXR,DCXR,protein,25,6.104127242866063,2,3
IGF2R,IGF2R,protein,25,5.7926391523175536,2,3
VTA1,VTA1,protein,1,0.2648341349361879,5,2
YES1,YES1,protein,25,5.283314514073818,2,3
IPCEF1,IPCEF1,protein,25,5.423117244142481,2,3
NT5C1A,NT5C1A,protein,25,5.509649845929421,2,3
CDH3,CDH3,protein,1,0.2698508272683395,6,1
ESAM,ESAM,protein,2,0.4642393804137046,6,1
PLAUR,PLAUR,protein,8,1.8089425694916703,6,3
POLR2F,POLR2F,protein,14,3.117401599779889,6,3
AK2,AK2,protein,2,0.4710382693764732,5,2
CD74,CD74,protein,25,5.627330718055574,6,3
ATRN,ATRN,protein,31,7.780881770509108,2,3
SCPEP1,SCPEP1,protein,9,2.003355070172452,6,3
CNDP1,CNDP1,protein,11,2.5280289519037806,1,3
SNCA,SNCA,protein,25,6.559709342783642,2,3
MESD,MESD,protein,2,0.4981213768264827,5,2
NRGN,NRGN,protein,2,0.4794420156704702,5,2
SPINT2,SPINT2,protein,1,0.26374524646722436,5,2
CMC1,CMC1,protein,2,0.5130059903698002,5,2
ECHS1,ECHS1,protein,2,0.4773898479790789,5,2
CD14,CD14,protein,1,0.2673183653271456,5,3
CTSZ,CTSZ,protein,16,3.6354041266287958,6,3
DNAJB14,DNAJB14,protein,2,0.4952997057583166,5,2
SIGLEC7,SIGLEC7,protein,25,5.848877758421845,6,3
ULBP2,ULBP2,protein,3,0.6921564977407534,6,1
CXCL16,CXCL16,protein,1,0.2622458826669809,5,3
DDAH1,DDAH1,protein,25,5.5905745656798045,2,3
PDAP1,PDAP1,protein,2,0.48025378454282397,5,2
SERPINB1,SERPINB1,protein,2,0.46612180034708606,5,2
PLXNB3,PLXNB3,protein,2,0.49385309141625844,5,2
LYN,LYN,protein,2,0.4969563743834365,5,2
HEG1,HEG1,protein,25,6.379550461971231,2,3
NUDT5,NUDT5,protein,2,0.4865901041270042,5,2
ABL1,ABL1,protein,18,3.82284687838846,2,3
DNAJA2,DNAJA2,protein,2,0.4703227386110244,5,3
GRHPR,GRHPR,protein,5,1.0830615327874298,5,3
FGFBP3,FGFBP3,protein,53,12.599253856099894,1,3
PLIN1,PLIN1,protein,25,6.045917362430981,2,3
HAVCR2,HAVCR2,protein,24,5.1549527726808035,3,3
HAO1,HAO1,protein,25,5.808124456437312,2,3
CEP20,CEP20,protein,15,3.1866093676385407,2,3
LECT2,LECT2,protein,25,6.1423751762493,2,3
CCN5,CCN5,protein,1,0.2663409948732378,6,1
SCAMP3,SCAMP3,protein,3,0.6949059373505344,5,3
NUDT16,NUDT16,protein,2,0.4993496206447602,5,2
PPIB,PPIB,protein,2,0.5011474648422821,5,2
COL4A1,COL4A1,protein,25,5.80505062654369,1,3
DFFA,DFFA,protein,1,0.2591656579605099,5,2
KDR,KDR,protein,25,6.099199781380496,2,3
NCS1,NCS1,protein,25,5.346943256689584,2,3
ITGA11,ITGA11,protein,25,6.0229359221457415,3,3
CNPY4,CNPY4,protein,2,0.4830660950303165,5,2
TXLNA,TXLNA,protein,10,2.1612330353182587,2,3
SNAPIN,SNAPIN,protein,25,5.992002432784809,2,3
CD99,CD99,protein,1,0.26522101214821586,6,1
LGALS3,LGALS3,protein,1,0.259812575208122,5,3
FN1,FN1,protein,25,6.0967212142487135,2,3
STX8,STX8,protein,2,0.4658312936147846,5,2
